,Chiller 1,Chiller 2,Chiller 3,ep_1,ep_2,ep_3,cp_1,cp_2,cp_3,dist_pump,Obj_func
0,0,490.4961428,0,0,17.790842,0,0,112.842491,0,176.1363663,797.2658421
1,0,491.5460701,0,0,17.790842,0,0,112.842491,0,175.4512498,797.6306529
2,160.1146454,0,0,5.35391,0,0,34.213594,0,0,181.5390069,381.2211563
3,159.210331,0,0,5.35391,0,0,34.213594,0,0,430.4442785,629.2221135
4,141.1325324,0,0,5.35391,0,0,34.213594,0,0,271.8687008,452.5687372
5,134.687591,0,0,5.35391,0,0,34.213594,0,0,258.2490483,432.5041433
6,129.9821583,0,0,5.35391,0,0,34.213594,0,0,283.6744002,453.2240625
7,190.2911688,0,0,5.35391,0,0,34.213594,0,0,133.2457845,363.1044573
8,186.3371733,515.9118707,0,5.897715,18.83886,0,34.669997,113.259111,0,200.0894316,1075.004159
9,0,541.4427877,0,0,17.790842,0,0,112.842491,0,157.4449887,829.5211094
10,212.9931291,539.5901135,0,5.897715,18.83886,0,34.669997,113.259111,0,214.2878229,1139.536749
11,184.9411448,625.2554184,0,6.869861,39.071335,0,34.669997,113.259111,0,325.8090567,1329.875924
12,0,647.4741089,514.6477781,0,40.864261,23.576876,0,114.750474,114.750474,495.498024,1951.561996
13,191.8108759,646.5910729,0,6.869861,39.071335,0,34.669997,113.259111,0,329.2880349,1361.560288
14,0,635.7793394,512.0972508,0,40.864261,23.576876,0,114.750474,114.750474,493.0755488,1934.894224
15,0,657.9992785,518.9248493,0,40.864261,23.576876,0,114.750474,114.750474,495.6213131,1966.487526
16,0,643.9572149,513.6151079,0,40.864261,23.576876,0,114.750474,114.750474,493.3832912,1944.897699
17,0,648.6463678,514.991117,0,40.864261,23.576876,0,114.750474,114.750474,495.5227703,1953.10234
18,0,638.0953443,511.8851328,0,40.864261,23.576876,0,114.750474,114.750474,493.2519086,1937.174471
19,190.2340903,639.4056538,0,6.869861,39.071335,0,34.669997,113.259111,0,327.9345245,1351.444573
20,0,642.1977704,512.3550282,0,40.864261,23.576876,0,114.750474,114.750474,497.4566635,1945.951547
21,178.6570301,605.4105495,0,6.869861,39.071335,0,34.669997,113.259111,0,484.8827185,1462.820602
22,181.1220776,613.411672,0,6.869861,39.071335,0,34.669997,113.259111,0,487.4187718,1475.822825
23,177.5948075,498.3780083,0,5.897715,18.83886,0,34.669997,113.259111,0,208.8825027,1057.521002
