Day of week,Date,Month,Year ,Hour,T_db,Hum_r,T_wb
5,1,1,2016,0,11,81,8.760731228
5,1,1,2016,1,11,81,8.760731228
5,1,1,2016,2,10,81,7.79801812
5,1,1,2016,3,9,87,7.294715347
5,1,1,2016,4,9,87,7.294715347
5,1,1,2016,5,9,87,7.294715347
5,1,1,2016,6,9,81,6.835302359
5,1,1,2016,7,8,87,6.31685545
5,1,1,2016,8,9,81,6.835302359
5,1,1,2016,9,9,81,6.835302359
5,1,1,2016,10,10,81,7.79801812
5,1,1,2016,11,12,76,9.300428343
5,1,1,2016,12,15,82,12.70369122
5,1,1,2016,13,15,82,12.70369122
5,1,1,2016,14,16,77,13.19296557
5,1,1,2016,15,15,82,12.70369122
5,1,1,2016,16,14,87,12.18398227
5,1,1,2016,17,14,87,12.18398227
5,1,1,2016,18,13,87,11.20613301
5,1,1,2016,19,12,93,10.73139799
5,1,1,2016,20,11,100,10.31060645
5,1,1,2016,21,13,93,11.72330203
5,1,1,2016,22,13,93,11.72330203
5,1,1,2016,23,14,87,12.18398227
6,2,1,2016,0,14,87,12.18398227
6,2,1,2016,1,14,87,12.18398227
6,2,1,2016,2,14,87,12.18398227
6,2,1,2016,3,14,93,12.7152044
6,2,1,2016,4,14,93,12.7152044
6,2,1,2016,5,13,93,11.72330203
6,2,1,2016,6,12,93,10.73139799
6,2,1,2016,7,12,87,10.22828175
6,2,1,2016,8,12,81,9.723441767
6,2,1,2016,9,14,76,11.19872077
6,2,1,2016,10,14,67,10.37476523
6,2,1,2016,11,15,58,10.41661325
6,2,1,2016,12,15,51,9.702790074
6,2,1,2016,13,16,48,10.23789051
6,2,1,2016,14,16,41,9.43712914
6,2,1,2016,15,17,39,10.00605324
6,2,1,2016,16,16,41,9.43712914
6,2,1,2016,17,15,44,8.953704927
6,2,1,2016,18,14,41,7.800666776
6,2,1,2016,19,14,41,7.800666776
6,2,1,2016,20,12,46,6.645262026
6,2,1,2016,21,13,43,7.186871138
6,2,1,2016,22,10,53,5.548966972
6,2,1,2016,23,9,61,5.301123034
7,3,1,2016,0,9,61,5.301123034
7,3,1,2016,1,8,65,4.694077351
7,3,1,2016,2,8,65,4.694077351
7,3,1,2016,3,8,65,4.694077351
7,3,1,2016,4,8,65,4.694077351
7,3,1,2016,5,8,65,4.694077351
7,3,1,2016,6,7,70,4.130564192
7,3,1,2016,7,6,75,3.537476074
7,3,1,2016,8,8,65,4.694077351
7,3,1,2016,9,11,53,6.421165064
7,3,1,2016,10,12,50,7.018731134
7,3,1,2016,11,13,47,7.586259822
7,3,1,2016,12,14,44,8.12078383
7,3,1,2016,13,14,47,8.433020371
7,3,1,2016,14,14,50,8.738376105
7,3,1,2016,15,14,58,9.525237242
7,3,1,2016,16,14,54,9.136290092
7,3,1,2016,17,14,54,9.136290092
7,3,1,2016,18,14,58,9.525237242
7,3,1,2016,19,13,62,9.001043607
7,3,1,2016,20,13,66,9.362827893
7,3,1,2016,21,13,66,9.362827893
7,3,1,2016,22,13,66,9.362827893
7,3,1,2016,23,14,58,9.525237242
1,4,1,2016,0,13,62,9.001043607
1,4,1,2016,1,12,71,8.874278598
1,4,1,2016,2,12,71,8.874278598
1,4,1,2016,3,13,66,9.362827893
1,4,1,2016,4,13,71,9.808900366
1,4,1,2016,5,13,71,9.808900366
1,4,1,2016,6,13,71,9.808900366
1,4,1,2016,7,11,81,8.760731228
1,4,1,2016,8,13,71,9.808900366
1,4,1,2016,9,13,71,9.808900366
1,4,1,2016,10,13,76,10.24957598
1,4,1,2016,11,15,58,10.41661325
1,4,1,2016,12,15,58,10.41661325
1,4,1,2016,13,15,62,10.81230178
1,4,1,2016,14,15,67,11.29698187
1,4,1,2016,15,14,76,11.19872077
1,4,1,2016,16,13,76,10.24957598
1,4,1,2016,17,13,82,10.77307074
1,4,1,2016,18,12,87,10.22828175
1,4,1,2016,19,12,87,10.22828175
1,4,1,2016,20,12,93,10.73139799
1,4,1,2016,21,12,87,10.22828175
1,4,1,2016,22,11,93,9.739492213
1,4,1,2016,23,11,93,9.739492213
2,5,1,2016,0,11,87,9.250428431
2,5,1,2016,1,10,87,8.272572984
2,5,1,2016,2,10,87,8.272572984
2,5,1,2016,3,10,81,7.79801812
2,5,1,2016,4,9,87,7.294715347
2,5,1,2016,5,10,81,7.79801812
2,5,1,2016,6,10,76,7.402124169
2,5,1,2016,7,9,81,6.835302359
2,5,1,2016,8,9,81,6.835302359
2,5,1,2016,9,9,87,7.294715347
2,5,1,2016,10,12,71,8.874278598
2,5,1,2016,11,14,62,9.906674971
2,5,1,2016,12,15,54,10.01243455
2,5,1,2016,13,15,41,8.618903651
2,5,1,2016,14,15,41,8.618903651
2,5,1,2016,15,14,44,8.12078383
