,T_DB,T_WB,f0_c0,f0_c1,f0_c2,f0_c3,f1_c0,f1_c1,f1_c2,f1_c3,f2_c0,f2_c1,f2_c2,f2_c3,f3_c0,f3_c1,f3_c2,f3_c3,f4_c0,f4_c1,f4_c2,f4_c3
0,7.0,2.362028848,0.00034546625134646627,0.43019044088606867,-1.1761878445093465e-06,-122.03844198513625,-1.1295329503893218e-05,0.3050790231183529,6.242806926959332e-08,-87.56874144502204,-1.5727356756595152e-05,0.3011092881598896,7.388250122808415e-08,-86.47503171198345,-1.578992294617004e-05,0.2973572150590673,6.802643165437772e-08,-85.44129043906769,-1.4956709263455156e-05,0.296771251876452,6.370386113063731e-08,-85.27985053608363
1,6.0,1.725689478,0.0003640308292450819,0.4715838074033839,-1.2414716664133074e-06,-134.00295381068364,-5.930126938292774e-06,0.3464723896356679,4.4426364975702626e-08,-99.61286658949027,-1.150593761148501e-05,0.3425026546772047,5.977176542604212e-08,-98.52168295589507,-1.3083896485831523e-05,0.3387505815763825,5.9025579535187944e-08,-97.49032927586798,-1.2576069505747357e-05,0.33816461839376694,5.5793615338917135e-08,-97.32926224145658
2,5.0,0.874409359,0.00038880113222079744,0.5312666481304976,-1.3288068563266364e-06,-151.2416740916638,1.2294045728659892e-06,0.4061552303627815,2.034410057083491e-08,-116.95809173629866,-5.872661441454455e-06,0.40218549540431825,4.0894748809527925e-08,-115.87028745819946,-9.472793068522253e-06,0.3984334223034962,4.698444733275409e-08,-114.84212784408388,-9.399175697999528e-06,0.3978474591208809,4.521147117797497e-08,-114.68155962887363
3,4.0,0.433414603,0.00040160383711570997,0.564123117823229,-1.3740497321057532e-06,-160.725533283108,4.930247225614944e-06,0.4390117000555131,7.868592111215378e-09,-126.49712440183336,-2.960733491030013e-06,0.4350419650970496,3.111575230807517e-08,-125.41107075839135,-7.606137668099218e-06,0.43128989199622747,4.0746693075188745e-08,-124.38456578511216,-7.756968663990646e-06,0.430703928813612,3.9729527001597376e-08,-124.22425597817778
4,4.0,0.433414603,0.00040160383711570997,0.564123117823229,-1.3740497321057532e-06,-160.725533283108,4.930247225614944e-06,0.4390117000555131,7.868592111215378e-09,-126.49712440183336,-2.960733491030013e-06,0.4350419650970496,3.111575230807517e-08,-125.41107075839135,-7.606137668099218e-06,0.43128989199622747,4.0746693075188745e-08,-124.38456578511216,-7.756968663990646e-06,0.430703928813612,3.9729527001597376e-08,-124.22425597817778
5,4.0,0.433414603,0.00040160383711570997,0.564123117823229,-1.3740497321057532e-06,-160.725533283108,4.930247225614944e-06,0.4390117000555131,7.868592111215378e-09,-126.49712440183336,-2.960733491030013e-06,0.4350419650970496,3.111575230807517e-08,-125.41107075839135,-7.606137668099218e-06,0.43128989199622747,4.0746693075188745e-08,-124.38456578511216,-7.756968663990646e-06,0.430703928813612,3.9729527001597376e-08,-124.22425597817778
6,3.0,-0.22443459,0.0004206650538956828,0.6155953473568914,-1.4415403064571564e-06,-175.5735456476533,1.044071466674223e-05,0.4904839295891752,-1.0741613709619457e-08,-141.42744120995894,1.3750889581177907e-06,0.486514194630712,1.652803915952461e-08,-140.3439990516286,-4.826686941852695e-06,0.48276212152988945,3.144159022028248e-08,-139.31996238213242,-5.311716921159496e-06,0.48217615834727445,3.1551895651737993e-08,-139.16003804897363
7,3.0,-0.22443459,0.0004206650538956828,0.6155953473568914,-1.4415403064571564e-06,-175.5735456476533,1.044071466674223e-05,0.4904839295891752,-1.0741613709619457e-08,-141.42744120995894,1.3750889581177907e-06,0.486514194630712,1.652803915952461e-08,-140.3439990516286,-4.826686941852695e-06,0.48276212152988945,3.144159022028248e-08,-139.31996238213242,-5.311716921159496e-06,0.48217615834727445,3.1551895651737993e-08,-139.16003804897363
8,3.0,0.058060128,0.00041248519305132485,0.5931313617652265,-1.4125583893687121e-06,-169.0948214874182,8.075900223420671e-06,0.4680199439975111,-2.7499875154823883e-09,-134.91337373558085,-4.856316207428882e-07,0.46405020903904803,2.2792319753772716e-08,-133.82881015098835,-6.019493471233229e-06,0.4602981359382251,3.543740328959544e-08,-132.80371353607092,-6.3611020213011494e-06,0.45971217275561005,3.506354800952849e-08,-132.64362367311307
9,5.0,1.376481339,0.00037420098046434696,0.495470223991192,-1.2772978985053918e-06,-140.90404827575136,-2.9906975279872136e-06,0.37035880622347633,3.4547451399635776e-08,-106.55765098063513,-9.193137541237429e-06,0.36638907126501313,5.202812419780045e-08,-105.46785361075376,-1.160132659201748e-05,0.36263699816419087,5.408612274715452e-08,-104.43781018474732,-1.1271769286926214e-05,0.36205103498157537,5.1452657801043244e-08,-104.27694777456065
10,7.0,2.576956901,0.00033918655064628524,0.4168319083508886,-1.154137779069142e-06,-118.17581812333982,-1.311005196642526e-05,0.2917204905831726,6.850827022342187e-08,-83.67922762801967,-1.7155199036234052e-05,0.2877507556247095,7.864850048999728e-08,-82.58466468780583,-1.6705196194257096e-05,0.28399868252388705,7.106653215904757e-08,-81.55011699085452,-1.5761924100695563e-05,0.2834127193412718,6.637560168165635e-08,-81.3885511447393
11,9.0,3.791971814,0.00030359750209108026,0.34722445579916594,-1.0294860272597184e-06,-98.03878195693962,-2.3393477981914768e-05,0.22211303803145002,1.0288039961614537e-07,-63.390179223330804,-2.5246231673902473e-05,0.2181433030729868,1.0559128488241143e-07,-62.29079299681172,-2.1891636813384164e-05,0.21439122997216453,8.825259684153153e-08,-61.25168647351277,-2.0324702041890015e-05,0.21380526678954903,8.147928223789513e-08,-61.089408674280676
12,9.0,4.359476569,0.00028692280765191025,0.3181535020279294,-9.712641395043242e-07,-89.62468405559557,-2.82109319261655e-05,0.19304208426021327,1.1893480905689202e-07,-54.9050799977833,-2.9036577742386854e-05,0.18907234930175018,1.1817562281524197e-07,-53.80344092739864,-2.4321254995870607e-05,0.18532027620092775,9.627980157578264e-08,-52.762205085539286,-2.2462155256479578e-05,0.1847343130183125,8.853385452534113e-08,-52.59959474820718
13,11.0,5.530563542,0.0002524089320025972,0.2650893412600659,-8.511190769944221e-07,-74.26388596380589,-3.81808947048448e-05,0.13997792349234964,1.5206424025526744e-07,-39.39776555606353,-3.688080457185714e-05,0.13600818853388646,1.441443113203711e-07,-38.29147758102306,-2.9349346903824314e-05,0.13225611543306434,1.1284451717497035e-07,-37.24584773510116,-2.6885598929960028e-05,0.13167015225044876,1.0309147299714105e-07,-37.082551183897586
14,11.0,4.967963106,0.00026900726061007506,0.28941733477486764,-9.088378170041267e-07,-81.30622999694674,-3.3386395052732296e-05,0.16430591700715147,1.3614857141686088e-07,-46.510497324930114,-3.310857370517605e-05,0.1603361820486883,1.316687259778071e-07,-45.406442724721416,-2.6931386407145254e-05,0.15658410894786587,1.0488668275576707e-07,-44.362923796658514,-2.4758410099075086e-05,0.15599814576525065,9.609786563724576e-08,-44.19995691003872
15,12.0,5.765174194,0.0002454776498052347,0.2555805167399307,-8.270497190987491e-07,-71.511632083727,-4.018290004402042e-05,0.1304690989722143,1.587012515291697e-07,-36.616159202980086,-3.8455940613470024e-05,0.12649936401375128,1.4934676945133063e-07,-35.508939886581224,-3.0358986153882468e-05,0.12274729091292903,1.1616302281192148e-07,-34.46242976389327,-2.7773822878062392e-05,0.12216132773031338,1.0600788523384974e-07,-34.298995740594954
16,11.0,4.967963106,0.00026900726061007506,0.28941733477486764,-9.088378170041267e-07,-81.30622999694674,-3.3386395052732296e-05,0.16430591700715147,1.3614857141686088e-07,-46.510497324930114,-3.310857370517605e-05,0.1603361820486883,1.316687259778071e-07,-45.406442724721416,-2.6931386407145254e-05,0.15658410894786587,1.0488668275576707e-07,-44.362923796658514,-2.4758410099075086e-05,0.15599814576525065,9.609786563724576e-08,-44.19995691003872
17,10.0,4.702391039,0.0002768311171882758,0.30164936535584475,-9.360835923621913e-07,-84.84719836867416,-3.1126292039141344e-05,0.1765379475881287,1.2863567808163445e-07,-50.08469179450967,-3.133035394644177e-05,0.17256821262966562,1.257797028197949e-07,-48.981691443596546,-2.5791558555977746e-05,0.16881613952884325,1.0113023607427607e-07,-47.93916896176159,-2.3755650745508324e-05,0.1682301763462278,9.279657636751537e-08,-47.7763576897567
18,9.0,4.118448159,0.0002940088554688065,0.33023273034833955,-9.959919129998163e-07,-93.12102698059142,-2.6163768593117387e-05,0.2051213125806235,1.121162427897282e-07,-58.43157832961211,-2.742588424699966e-05,0.20115157762216027,1.1283085180058272e-07,-57.33089607785303,-2.328880049582072e-05,0.19739950452133792,9.287051844220073e-08,-56.29056459256434,-2.1553855356559404e-05,0.1968135413387225,8.553766406294017e-08,-56.12809548982102
19,8.0,3.804546407,0.0003032283873702782,0.34655657409338586,-1.0281959648694716e-06,-97.8454962851377,-2.350012291855931e-05,0.22144515632566988,1.0323612820162253e-07,-63.195320326445625,-2.5330139609182318e-05,0.21747542136720688,1.05870124722518e-07,-62.09588418295451,-2.1945422182616612e-05,0.21372334826638445,8.84304611481479e-08,-61.05673047886257,-2.0372019690802727e-05,0.21313738508376892,8.163559525597996e-08,-60.89444531119733
