,ma,Twi,Twb,delt_uem,delt_reg,delt_lp_relax
0,0.05,18.0,2.362028848,1.6299607906312965,1.1913683129065618,1.188577517222825
1,0.525,18.0,2.362028848,2.2768013154576616,1.8209225319380522,1.820922531937697
2,1.0,18.0,2.362028848,2.8531109822913865,2.4504767509695284,2.4532675466534215
3,0.05,23.0,2.362028848,2.3840518887873,2.6811031168160753,2.6811031168160753
4,0.525,23.0,2.362028848,3.1252580368056257,3.3665035088563258,3.366503508856212
5,1.0,23.0,2.362028848,3.773382173197928,4.0519039008965905,4.051903900897017
6,0.05,28.0,2.362028848,4.704522749296704,4.170837920725575,4.173628716409311
7,0.525,28.0,2.362028848,5.4856067737270005,4.912084485774599,4.912084485774727
8,1.0,28.0,2.362028848,6.151057632897894,5.653331050823638,5.650540255140143
9,0.05,18.0,1.725689478,1.6684244183637724,1.1950669206253082,1.1926226640590016
10,0.525,18.0,1.725689478,2.3303006532164647,1.8382218296235067,1.8382218296231798
11,1.0,18.0,1.725689478,2.9187759926973507,2.481376738621705,2.4838209951881396
12,0.05,23.0,1.725689478,2.5746377290806843,2.891038605572419,2.891038605572419
13,0.525,23.0,1.725689478,3.3239450474335963,3.583105147864103,3.5831051478640035
14,1.0,23.0,1.725689478,3.9773003167813217,4.275171690155815,4.275171690156199
15,0.05,28.0,1.725689478,5.155460139111239,4.587010290519515,4.589454547085822
16,0.525,28.0,1.725689478,5.93771079418439,5.327988466104713,5.327988466104827
17,1.0,28.0,1.725689478,6.601458246618961,6.068966641689926,6.066522385123832
18,0.05,18.0,0.874409359,1.741063915134126,1.2211985737134086,1.2192179091762938
19,0.525,18.0,0.874409359,2.421674530922429,1.8811681293678788,1.881168129367623
20,1.0,18.0,0.874409359,3.0250447815892003,2.541137685022335,2.543118349559549
21,0.05,23.0,0.874409359,2.8723215629295673,3.214607949969505,3.214607949969505
22,0.525,23.0,0.874409359,3.631086395105507,3.914212271815117,3.914212271815046
23,1.0,23.0,0.874409359,4.2900597085265355,4.613816593660729,4.613816593661042
24,0.05,28.0,0.874409359,5.822975018500204,5.208017326225615,5.20999799076273
