,ma,Twi,Twb,delt_uem,delt_reg,delt_lp_relax
0,0.05,18.0,2.362028848,2.1301795095675717,3.2672260506352444,3.318753538945387
1,0.525,18.0,2.362028848,4.913188361804102,3.796577182665061,3.796577182671669
2,1.0,18.0,2.362028848,2.892115827742794,4.325928314694821,4.274400826381978
3,0.05,23.0,2.362028848,2.958353102835004,5.30964052291516,5.3096405229151316
4,0.525,23.0,2.362028848,5.703114578868094,4.807883199515771,4.807883199517931
5,1.0,23.0,2.362028848,2.1077637667675155,4.306125876116425,4.306125876108354
6,0.05,28.0,2.362028848,5.311306089001674,7.352054995195033,7.300527506884862
7,0.525,28.0,2.362028848,7.56812893223678,5.81918921636651,5.819189216364151
8,1.0,28.0,2.362028848,1.948808585502388,4.286323437537959,4.337850925843611
9,0.05,18.0,1.725689478,2.180381751326021,3.346220509825173,3.4006080101526948
10,0.525,18.0,1.725689478,4.9834967166300626,3.797934062454516,3.797934062461536
11,1.0,18.0,1.725689478,2.787042908361307,4.249647615083859,4.1952601147534665
12,0.05,23.0,1.725689478,3.1553831665763172,5.589577472569232,5.589577472569204
13,0.525,23.0,1.725689478,5.863019505493739,4.9529513196063135,4.952951319608587
14,1.0,23.0,1.725689478,2.035056169002534,4.316325166643367,4.31632516663484
15,0.05,28.0,1.725689478,5.763393311686094,7.832934435313291,7.778546934985712
16,0.525,28.0,1.725689478,7.925859767622353,6.107968576758111,6.107968576755638
17,1.0,28.0,1.725689478,2.016695646314158,4.383002718202903,4.437390218525678
18,0.05,18.0,0.874409359,2.2676712566864845,3.472027582998095,3.5302411413811683
19,0.525,18.0,0.874409359,5.086294107567809,3.8084897619397395,3.808489761947243
20,1.0,18.0,0.874409359,2.643829671095849,4.144951940881413,4.08673838249527
21,0.05,23.0,0.874409359,3.4606342955234317,6.0057395235539275,6.005739523553899
22,0.525,23.0,0.874409359,6.107215874732727,5.177299351577119,5.177299351579535
23,1.0,23.0,0.874409359,1.95667926475291,4.348859179600311,4.348859179591159
24,0.05,28.0,0.874409359,6.431392772681414,8.539451464109732,8.481237905726601
25,0.525,28.0,0.874409359,8.456241823624136,6.54610894121447,6.5461089412117985
26,1.0,28.0,0.874409359,2.1479417835419174,4.55276641831918,4.610979976697195
27,0.05,18.0,0.433414603,2.3231954839840694,3.547505337244189,3.6077009359652266
28,0.525,18.0,0.433414603,5.1447265372311195,3.8191375653756268,3.8191375653834143
29,1.0,18.0,0.433414603,2.569693988572174,4.090769793507121,4.030574194782929
30,0.05,23.0,0.433414603,3.6387634432368072,6.24132464761891,6.241324647618882
31,0.525,23.0,0.433414603,6.2485909276163785,5.308392227706861,5.3083922277093905
32,1.0,23.0,0.433414603,1.925823908254125,4.37545980779484,4.375459807785404
33,0.05,28.0,0.433414603,6.807131739603527,8.93514395799366,8.874948359272565
34,0.525,28.0,0.433414603,8.755564398521079,6.797646890038152,6.797646890035395
35,1.0,28.0,0.433414603,2.2353716518609774,4.660149822082644,4.720345420798424
36,0.05,18.0,0.433414603,2.3231954839840694,3.547505337244189,3.6077009359652266
37,0.525,18.0,0.433414603,5.1447265372311195,3.8191375653756268,3.8191375653834143
38,1.0,18.0,0.433414603,2.569693988572174,4.090769793507121,4.030574194782929
39,0.05,23.0,0.433414603,3.6387634432368072,6.24132464761891,6.241324647618882
40,0.525,23.0,0.433414603,6.2485909276163785,5.308392227706861,5.3083922277093905
41,1.0,23.0,0.433414603,1.925823908254125,4.37545980779484,4.375459807785404
42,0.05,28.0,0.433414603,6.807131739603527,8.93514395799366,8.874948359272565
43,0.525,28.0,0.433414603,8.755564398521079,6.797646890038152,6.797646890035395
44,1.0,28.0,0.433414603,2.2353716518609774,4.660149822082644,4.720345420798424
45,0.05,18.0,0.433414603,2.3231954839840694,3.547505337244189,3.6077009359652266
46,0.525,18.0,0.433414603,5.1447265372311195,3.8191375653756268,3.8191375653834143
47,1.0,18.0,0.433414603,2.569693988572174,4.090769793507121,4.030574194782929
48,0.05,23.0,0.433414603,3.6387634432368072,6.24132464761891,6.241324647618882
49,0.525,23.0,0.433414603,6.2485909276163785,5.308392227706861,5.3083922277093905
50,1.0,23.0,0.433414603,1.925823908254125,4.37545980779484,4.375459807785404
51,0.05,28.0,0.433414603,6.807131739603527,8.93514395799366,8.874948359272565
52,0.525,28.0,0.433414603,8.755564398521079,6.797646890038152,6.797646890035395
53,1.0,28.0,0.433414603,2.2353716518609774,4.660149822082644,4.720345420798424
54,0.05,18.0,-0.22443459,2.420692989452321,3.6747683080026547,3.737920594124546
55,0.525,18.0,-0.22443459,5.240060923561103,3.8431897486246385,3.843189748632767
56,1.0,18.0,-0.22443459,2.460769917924736,4.011611189246679,3.948458903121434
57,0.05,23.0,-0.22443459,3.9314502405076213,6.619720786462466,6.6197207864624374
58,0.525,23.0,-0.22443459,6.479948799698949,5.524411773000452,5.524411773003067
59,1.0,23.0,-0.22443459,1.893757517309299,4.4291027595383525,4.429102759528462
60,0.05,28.0,-0.22443459,7.406895581242361,9.564673264922277,9.5015209788003
61,0.525,28.0,-0.22443459,9.234833508921694,7.20563379737618,7.205633797373309
62,1.0,28.0,-0.22443459,2.39205069318422,4.8465943298300544,4.90974661594646
63,0.05,18.0,-0.22443459,2.420692989452321,3.6747683080026547,3.737920594124546
64,0.525,18.0,-0.22443459,5.240060923561103,3.8431897486246385,3.843189748632767
65,1.0,18.0,-0.22443459,2.460769917924736,4.011611189246679,3.948458903121434
66,0.05,23.0,-0.22443459,3.9314502405076213,6.619720786462466,6.6197207864624374
67,0.525,23.0,-0.22443459,6.479948799698949,5.524411773000452,5.524411773003067
68,1.0,23.0,-0.22443459,1.893757517309299,4.4291027595383525,4.429102759528462
69,0.05,28.0,-0.22443459,7.406895581242361,9.564673264922277,9.5015209788003
70,0.525,28.0,-0.22443459,9.234833508921694,7.20563379737618,7.205633797373309
71,1.0,28.0,-0.22443459,2.39205069318422,4.8465943298300544,4.90974661594646
72,0.05,18.0,0.058060128,2.3765754305197673,3.617868812465929,3.679751432861451
73,0.525,18.0,0.058060128,5.197825921076463,3.831564870881124,3.8315648708891104
74,1.0,18.0,0.058060128,2.5072015951786923,4.04526092929629,3.983378308897528
75,0.05,23.0,0.058060128,3.8017106975789963,6.453175792539923,6.453175792539895
76,0.525,23.0,0.058060128,6.377498894161988,5.428548477809642,5.428548477812228
77,1.0,23.0,0.058060128,1.905381372454683,4.403921163079417,4.403921163069697
78,0.05,28.0,0.058060128,7.143487025538177,9.28848277261389,9.226600152218339
79,0.525,28.0,0.058060128,9.024121671552924,7.025532084738188,7.025532084735403
80,1.0,28.0,0.058060128,2.3208196974415434,4.762581396862458,4.824464017252609
81,0.05,18.0,1.376481339,2.213206348229631,3.3948456015660327,3.4508026094887327
82,0.525,18.0,1.376481339,5.0242597516140926,3.80085814324363,3.8008581432508493
83,1.0,18.0,1.376481339,2.7284654828904458,4.206870684921256,4.1509136769956
84,0.05,23.0,1.376481339,3.2746369662511063,5.754328629421337,5.754328629421309
85,0.525,23.0,1.376481339,5.95880457388096,5.040594296142729,5.040594296145088
86,1.0,23.0,1.376481339,2.000093607566875,4.326859962864177,4.326859962855394
87,0.05,28.0,1.376481339,6.028470038812477,8.11381165727667,8.057854649353914
88,0.525,28.0,1.376481339,8.136060594093177,6.2803304490418554,6.280330449039326
89,1.0,28.0,1.376481339,2.0647416735941144,4.446849240807069,4.502806248724909
90,0.05,18.0,2.576956901,2.1157784615192603,3.243100229325691,3.293661728661789
91,0.525,18.0,2.576956901,4.890350812583225,3.7970284742165603,3.797028474223069
92,1.0,18.0,2.576956901,2.92686900356523,4.350956719107387,4.300395219768632
93,0.05,23.0,2.576956901,2.8974717616855505,5.220756802430955,5.220756802430941
94,0.525,23.0,2.576956901,5.653126989792271,4.76290684515476,4.762906845156877
95,1.0,23.0,2.576956901,2.134697155981203,4.305056887878507,4.3050568878705775
96,0.05,28.0,2.576956901,5.1673892426001435,7.198413375536248,7.147851876200107
97,0.525,28.0,2.576956901,7.4544360911550775,5.728785216092959,5.728785216090671
98,1.0,28.0,2.576956901,1.9313669759563954,4.2591570566496415,4.30971855598132
99,0.05,18.0,3.791971814,2.054560325160624,3.1269067504061923,3.172007394391514
100,0.525,18.0,3.791971814,4.765814199793734,3.8041465638835064,3.8041465638893186
101,1.0,18.0,3.791971814,3.112274004856761,4.481386377360792,4.436285733373097
102,0.05,23.0,3.791971814,2.6030447044587466,4.7680288309210255,4.768028830921011
103,0.525,23.0,3.791971814,5.404657772736229,4.542766758828762,4.542766758830638
104,1.0,23.0,3.791971814,2.305445869607799,4.317504686736527,4.31750468672945
105,0.05,28.0,3.791971814,4.4331021210582495,6.4091509114358445,6.36405026745048
106,0.525,28.0,3.791971814,6.875383126385562,5.2813869537740175,5.281386953771971
107,1.0,28.0,3.791971814,1.880808258471132,4.153622996112219,4.198723640093618
108,0.05,18.0,4.359476569,2.035432759180664,3.0821015003485996,3.1246515078393315
109,0.525,18.0,4.359476569,4.70801402062928,3.8078391852175457,3.807839185223031
110,1.0,18.0,4.359476569,3.1901421806315526,4.533576870086506,4.491026862593543
111,0.05,23.0,4.359476569,2.492195974720321,4.583241484142889,4.583241484142874
112,0.525,23.0,4.359476569,5.3061768150931705,4.457517668730958,4.4575176687327485
113,1.0,23.0,4.359476569,2.3936736521838493,4.331793853319056,4.3317938533123765
114,0.05,28.0,4.359476569,4.134010361634027,6.0843814679371775,6.041831460446417
115,0.525,28.0,4.359476569,6.639699524336567,5.10719615224437,5.107196152242466
116,1.0,28.0,4.359476569,1.8828737819211099,4.130010836551605,4.172560844038628
117,0.05,18.0,5.530563542,2.008195250164216,3.0018762418699083,3.0391628270825493
118,0.525,18.0,5.530563542,4.582660979597831,3.809380971042472,3.8093809710472755
119,1.0,18.0,5.530563542,3.3264387634381793,4.616885700215008,4.579599115000406
120,0.05,23.0,5.530563542,2.310314472396411,4.248782318084523,4.248782318084494
121,0.525,23.0,5.530563542,5.131505295248235,4.310151061442568,4.310151061444131
122,1.0,23.0,5.530563542,2.5859772706709645,4.371519804800599,4.371519804794758
123,0.05,28.0,5.530563542,3.59830503746154,5.495688394299108,5.458401809086425
124,0.525,28.0,5.530563542,6.2165296971370285,4.810921151842663,4.8109211518409865
125,1.0,28.0,5.530563542,1.9320046075475958,4.12615390938619,4.163440494595591
126,0.05,18.0,4.967963106,2.019679940389075,3.038816709660594,3.0786318890216933
127,0.525,18.0,4.967963106,4.64436012976042,3.8101187352545764,3.8101187352597066
128,1.0,18.0,4.967963106,3.2655180425220474,4.581420760848516,4.5416055814853
129,0.05,23.0,4.967963106,2.390269021317004,4.402036511410159,4.402036511410131
130,0.525,23.0,4.967963106,5.211075004701466,4.376603251818722,4.37660325182037
131,1.0,23.0,4.967963106,2.49232780964038,4.351169992227312,4.35116999222106
132,0.05,28.0,4.967963106,3.8424171787502552,5.7652563131597105,5.725441133798569
133,0.525,28.0,4.967963106,6.409657699553289,4.943087768382924,4.943087768381105
134,1.0,28.0,4.967963106,1.901314140074948,4.120919223606066,4.160734402963698
135,0.05,18.0,5.765174194,2.003982298081299,2.9870479449835017,3.0232800782534497
136,0.525,18.0,5.765174194,4.555825885073538,3.807967453840348,3.8079674538450234
137,1.0,18.0,5.765174194,3.349055368746884,4.628886962697237,4.592654829425371
138,0.05,23.0,5.765174194,2.2807299256965217,4.188631000892016,4.188631000891988
139,0.525,23.0,5.765174194,5.100399077888638,4.284514995733019,4.284514995734526
140,1.0,23.0,5.765174194,2.625423224926035,4.380398990574037,4.380398990568352
141,0.05,28.0,5.765174194,3.5034460447624443,5.390214056800517,5.353981923530526
142,0.525,28.0,5.765174194,6.141249505559896,4.761062537625662,4.761062537624014
143,1.0,28.0,5.765174194,1.948377059366801,4.131911018450822,4.168143151717615
144,0.05,18.0,4.967963106,2.019679940389075,3.038816709660594,3.0786318890216933
145,0.525,18.0,4.967963106,4.64436012976042,3.8101187352545764,3.8101187352597066
146,1.0,18.0,4.967963106,3.2655180425220474,4.581420760848516,4.5416055814853
147,0.05,23.0,4.967963106,2.390269021317004,4.402036511410159,4.402036511410131
148,0.525,23.0,4.967963106,5.211075004701466,4.376603251818722,4.37660325182037
149,1.0,23.0,4.967963106,2.49232780964038,4.351169992227312,4.35116999222106
150,0.05,28.0,4.967963106,3.8424171787502552,5.7652563131597105,5.725441133798569
151,0.525,28.0,4.967963106,6.409657699553289,4.943087768382924,4.943087768381105
152,1.0,28.0,4.967963106,1.901314140074948,4.120919223606066,4.160734402963698
153,0.05,18.0,4.702391039,2.026043938238816,3.057196950967608,3.0982057376065057
154,0.525,18.0,4.702391039,4.67244945656373,3.809431615699637,3.809431615704895
155,1.0,18.0,4.702391039,3.2337473179636467,4.561666280431638,4.52065749379058
156,0.05,23.0,4.702391039,2.432694550005491,4.479062685906342,4.479062685906328
157,0.525,23.0,4.702391039,5.251340775038395,4.410676978153717,4.410676978155436
158,1.0,23.0,4.702391039,2.4488484413104703,4.342291270401105,4.342291270394668
159,0.05,28.0,4.702391039,3.966073042977676,5.9009284208450765,5.859919634206136
160,0.525,28.0,4.702391039,6.507268718124024,5.011922340607839,5.011922340605977
161,1.0,28.0,4.702391039,1.8912949326737165,4.122916260370573,4.163925047005904
162,0.05,18.0,4.118448159,2.042957738036751,3.1005322057960143,3.1441655096884773
163,0.525,18.0,4.118448159,4.732671605955939,3.806379787745641,3.8063797877512684
164,1.0,18.0,4.118448159,3.157886955232727,4.512227369695296,4.468594065800545
165,0.05,23.0,4.118448159,2.5373380392403764,4.659786470800029,4.6597864708
166,0.525,23.0,4.118448159,5.346773812370227,4.492494878741624,4.492494878743457
167,1.0,23.0,4.118448159,2.355680165021847,4.325203286683248,4.325203286676398
168,0.05,28.0,4.118448159,4.257763902912966,6.219040735804029,6.1754074319115375
169,0.525,28.0,4.118448159,6.737230324658933,5.178609969737593,5.178609969735604
170,1.0,28.0,4.118448159,1.8801364240908456,4.138179203671157,4.181812507559826
171,0.05,18.0,3.804546407,2.054080918353412,3.125858385637855,3.170902513417005
172,0.525,18.0,3.804546407,4.764540656409884,3.804235558757398,3.804235558763196
173,1.0,18.0,3.804546407,3.114069317581461,4.4826127318769835,4.437568604095475
174,0.05,23.0,3.804546407,2.600414285782364,4.763760103613606,4.763760103613578
175,0.525,23.0,3.804546407,5.402364154388673,4.540766328066923,4.540766328068813
176,1.0,23.0,3.804546407,2.307352044274256,4.3177725525202675,4.317772552513205
177,0.05,28.0,3.804546407,4.426181989173305,6.401661821589357,6.356617693810179
178,0.525,28.0,3.804546407,6.869930731734906,5.2772970973764615,5.277297097374429
179,1.0,28.0,3.804546407,1.880686593739952,4.15293237316358,4.197976500938793
180,0.05,18.0,3.804546407,2.054080918353412,3.125858385637855,3.170902513417005
181,0.525,18.0,3.804546407,4.764540656409884,3.804235558757398,3.804235558763196
182,1.0,18.0,3.804546407,3.114069317581461,4.4826127318769835,4.437568604095475
183,0.05,23.0,3.804546407,2.600414285782364,4.763760103613606,4.763760103613578
184,0.525,23.0,3.804546407,5.402364154388673,4.540766328066923,4.540766328068813
185,1.0,23.0,3.804546407,2.307352044274256,4.3177725525202675,4.317772552513205
186,0.05,28.0,3.804546407,4.426181989173305,6.401661821589357,6.356617693810179
187,0.525,28.0,3.804546407,6.869930731734906,5.2772970973764615,5.277297097374429
188,1.0,28.0,3.804546407,1.880686593739952,4.15293237316358,4.197976500938793
189,0.05,18.0,3.804546407,2.054080918353412,3.125858385637855,3.170902513417005
190,0.525,18.0,3.804546407,4.764540656409884,3.804235558757398,3.804235558763196
191,1.0,18.0,3.804546407,3.114069317581461,4.4826127318769835,4.437568604095475
192,0.05,23.0,3.804546407,2.600414285782364,4.763760103613606,4.763760103613578
193,0.525,23.0,3.804546407,5.402364154388673,4.540766328066923,4.540766328068813
194,1.0,23.0,3.804546407,2.307352044274256,4.3177725525202675,4.317772552513205
195,0.05,28.0,3.804546407,4.426181989173305,6.401661821589357,6.356617693810179
196,0.525,28.0,3.804546407,6.869930731734906,5.2772970973764615,5.277297097374429
197,1.0,28.0,3.804546407,1.880686593739952,4.15293237316358,4.197976500938793
198,0.05,18.0,2.5276793,2.118973686109928,3.2485250993030803,3.2993080756331636
199,0.525,18.0,2.5276793,4.895553730174705,3.7968918458985996,3.7968918459051366
200,1.0,18.0,2.5276793,2.9189412305766482,4.345258592494105,4.2944756161613356
201,0.05,23.0,2.5276793,2.9111849145305855,5.240890196385465,5.24089019638545
202,0.525,23.0,2.5276793,5.6644158943749865,4.773046799559268,4.773046799561385
203,1.0,23.0,2.5276793,2.128423428720723,4.305203402733042,4.305203402725084
204,0.05,28.0,2.5276793,5.200001515143391,7.233255293467863,7.182472317137737
205,0.525,28.0,2.5276793,7.480192174172872,5.7492017532199355,5.749201753217648
206,1.0,28.0,2.5276793,1.9351284858678608,4.265148212972008,4.3159311892976575
207,0.05,18.0,1.993284194,2.157827285985508,3.3115582828319816,3.3647430851342506
208,0.525,18.0,1.993284194,4.953374645837419,3.79680760508262,3.796807605089441
209,1.0,18.0,1.993284194,2.831559982705336,4.282056927333173,4.2288721250281185
210,0.05,23.0,1.993284194,3.0694061083619615,5.4687362431100155,5.468736243109987
211,0.525,23.0,1.993284194,5.7935418426464755,4.889712860583785,4.889712860586002
212,1.0,23.0,1.993284194,2.0642846521111653,4.310689478057554,4.310689478049227
213,0.05,28.0,1.993284194,5.5684808414134634,7.6259142033879925,7.572729401085667
214,0.525,28.0,1.993284194,7.771513693536036,5.982618116084893,5.982618116082506
215,1.0,28.0,1.993284194,1.9851227190029561,4.339322028781851,4.392506831079487
