,ma,Twi,Twb,delt_uem,delt_reg,delt_lp_relax
0,0.05,18.0,2.362028848,1.6860020203729023,1.2996775620707268,1.2964408514244354
1,0.525,18.0,2.362028848,2.7801796683501423,2.3137078119428054,2.3137078119423933
2,1.0,18.0,2.362028848,3.6499182080020756,3.327738061814898,3.330974772461346
3,0.05,23.0,2.362028848,2.4487329261882778,2.812041824671624,2.812041824671624
4,0.525,23.0,2.362028848,3.6921594870488836,3.890841381657495,3.890841381657367
5,1.0,23.0,2.362028848,4.63938599753365,4.96964093864338,4.969640938643877
6,0.05,28.0,2.362028848,4.773347749862141,4.324406087272521,4.327642797918813
7,0.525,28.0,2.362028848,6.068824954124442,5.467974951372199,5.467974951372341
8,1.0,28.0,2.362028848,6.996341165960381,6.611543815471862,6.608307104825855
9,0.05,18.0,1.725689478,1.7258148964954536,1.3067919379657127,1.3041734030449135
10,0.525,18.0,1.725689478,2.844385079252406,2.3406482915957554,2.3406482915954143
11,1.0,18.0,1.725689478,3.729383291153043,3.3745046452258123,3.3771231801467536
12,0.05,23.0,1.725689478,2.6400958383010362,3.024820905036435,3.024820905036435
13,0.525,23.0,1.725689478,3.8955447168279402,4.111076348671034,4.1110763486709345
14,1.0,23.0,1.725689478,4.845660682448003,5.197331792305661,5.197331792306073
15,0.05,28.0,1.725689478,5.224490034925345,4.7428498721071435,4.745468407027943
16,0.525,28.0,1.725689478,6.519619339740544,5.881504405746313,5.8815044057464405
17,1.0,28.0,1.725689478,7.43765478959836,7.020158939385496,7.017540404464938
18,0.05,18.0,0.874409359,1.800145517582472,1.337379261002539,1.3355877072970088
19,0.525,18.0,0.874409359,2.948885669623693,2.395296717232739,2.3952967172325117
20,1.0,18.0,0.874409359,3.851836118150934,3.4532141734629107,3.4550057271685404
21,0.05,23.0,0.874409359,2.9387053518592556,3.352080474773217,3.352080474773217
22,0.525,23.0,0.874409359,4.207775608788239,4.445848430119696,4.445848430119611
23,1.0,23.0,0.874409359,5.159295220152717,5.539616385466147,5.539616385466431
24,0.05,28.0,0.874409359,5.89216514941632,5.366781688543881,5.368573242249411
25,0.525,28.0,0.874409359,7.184367241751409,6.496400143006625,6.49640014300671
26,1.0,28.0,0.874409359,8.087257746471451,7.626018597469354,7.62422704376398
27,0.05,18.0,0.433414603,1.8493794682729106,1.3639525548181979,1.3625894081313703
28,0.525,18.0,0.433414603,3.0126409467346353,2.43322671925182,2.4332267192516497
29,1.0,18.0,0.433414603,3.923783481856403,3.502500883685471,3.5038640303723554
30,0.05,23.0,0.433414603,3.113816803151665,3.5420337185896216,3.5420337185896216
31,0.525,23.0,0.433414603,4.388835601074415,4.638585596741919,4.638585596741862
32,1.0,23.0,0.433414603,5.33997451360668,5.735137474894216,5.735137474894415
33,0.05,28.0,0.433414603,6.268159000103649,5.720114882361045,5.721478029047844
34,0.525,28.0,0.433414603,7.557736848005769,6.843944474231975,6.84394447423206
35,1.0,28.0,0.433414603,8.451673868466859,7.967774066102962,7.966410919416276
36,0.05,18.0,0.433414603,1.8493794682729106,1.3639525548181979,1.3625894081313703
37,0.525,18.0,0.433414603,3.0126409467346353,2.43322671925182,2.4332267192516497
38,1.0,18.0,0.433414603,3.923783481856403,3.502500883685471,3.5038640303723554
39,0.05,23.0,0.433414603,3.113816803151665,3.5420337185896216,3.5420337185896216
40,0.525,23.0,0.433414603,4.388835601074415,4.638585596741919,4.638585596741862
41,1.0,23.0,0.433414603,5.33997451360668,5.735137474894216,5.735137474894415
42,0.05,28.0,0.433414603,6.268159000103649,5.720114882361045,5.721478029047844
43,0.525,28.0,0.433414603,7.557736848005769,6.843944474231975,6.84394447423206
44,1.0,28.0,0.433414603,8.451673868466859,7.967774066102962,7.966410919416276
45,0.05,18.0,0.433414603,1.8493794682729106,1.3639525548181979,1.3625894081313703
46,0.525,18.0,0.433414603,3.0126409467346353,2.43322671925182,2.4332267192516497
47,1.0,18.0,0.433414603,3.923783481856403,3.502500883685471,3.5038640303723554
48,0.05,23.0,0.433414603,3.113816803151665,3.5420337185896216,3.5420337185896216
49,0.525,23.0,0.433414603,4.388835601074415,4.638585596741919,4.638585596741862
50,1.0,23.0,0.433414603,5.33997451360668,5.735137474894216,5.735137474894415
51,0.05,28.0,0.433414603,6.268159000103649,5.720114882361045,5.721478029047844
52,0.525,28.0,0.433414603,7.557736848005769,6.843944474231975,6.84394447423206
53,1.0,28.0,0.433414603,8.451673868466859,7.967774066102962,7.966410919416276
54,0.05,18.0,-0.22443459,1.9380299587756433,1.4187992588556142,1.418075183744179
55,0.525,18.0,-0.22443459,3.1215482287632916,2.5036094245033667,2.5036094245032814
56,1.0,18.0,-0.22443459,4.0435059798476045,3.588419590151176,3.589143665262668
57,0.05,23.0,-0.22443459,3.4025384218171784,3.852895427066784,3.852895427066784
58,0.525,23.0,-0.22443459,4.685025650637948,4.952194945761875,4.952194945761818
59,1.0,23.0,-0.22443459,5.634191418504859,6.051494464456965,6.051494464457079
60,0.05,28.0,-0.22443459,6.868839499497401,6.286991595277954,6.287715670389389
61,0.525,28.0,-0.22443459,8.153097417669636,7.400780467020354,7.4007804670203825
62,1.0,28.0,-0.22443459,9.032272932837472,8.514569338762783,8.513845263651405
63,0.05,18.0,-0.22443459,1.9380299587756433,1.4187992588556142,1.418075183744179
64,0.525,18.0,-0.22443459,3.1215482287632916,2.5036094245033667,2.5036094245032814
65,1.0,18.0,-0.22443459,4.0435059798476045,3.588419590151176,3.589143665262668
66,0.05,23.0,-0.22443459,3.4025384218171784,3.852895427066784,3.852895427066784
67,0.525,23.0,-0.22443459,4.685025650637948,4.952194945761875,4.952194945761818
68,1.0,23.0,-0.22443459,5.634191418504859,6.051494464456965,6.051494464457079
69,0.05,28.0,-0.22443459,6.868839499497401,6.286991595277954,6.287715670389389
70,0.525,28.0,-0.22443459,8.153097417669636,7.400780467020354,7.4007804670203825
71,1.0,28.0,-0.22443459,9.032272932837472,8.514569338762783,8.513845263651405
72,0.05,18.0,0.058060128,1.8976328119854151,1.3929181897755143,1.3919196834611114
73,0.525,18.0,0.058060128,3.072658505790572,2.4712629907034227,2.471262990703309
74,1.0,18.0,0.058060128,3.9901780981099906,3.549607791631331,3.550606297945791
75,0.05,23.0,0.058060128,3.2744229245679026,3.7152724931434022,3.7152724931434022
76,0.525,23.0,0.058060128,4.5539091767516435,4.813598246711393,4.8135982467113365
77,1.0,23.0,0.058060128,5.50412838539912,5.911924000279356,5.911924000279498
78,0.05,28.0,0.058060128,6.604958623009589,6.037626796511262,6.038625302825693
79,0.525,28.0,0.058060128,7.891707164090257,7.155933502719307,7.155933502719364
80,1.0,28.0,0.058060128,8.777427719584121,8.274240208927353,8.273241702613007
81,0.05,18.0,1.376481339,1.7531934516906544,1.3162263215417624,1.313947026976777
82,0.525,18.0,1.376481339,2.8844806486173753,2.360293739667867,2.3602937396675827
83,1.0,18.0,1.376481339,3.7771839736825097,3.4043611577939714,3.4066404523590847
84,0.05,23.0,1.376481339,2.756495036689316,3.152972794146706,3.152972794146706
85,0.525,23.0,1.376481339,4.0178724440260485,4.242650816931672,4.242650816931587
86,1.0,23.0,1.376481339,4.968905037450663,5.332328839716638,5.332328839716993
87,0.05,28.0,1.376481339,5.489303601187118,4.989719266751649,4.991998561316649
88,0.525,28.0,1.376481339,6.783572949452202,6.125007894195477,6.125007894195576
89,1.0,28.0,1.376481339,7.69573654175463,7.2602965216393045,7.258017227074504
90,0.05,18.0,2.576956901,1.6752458267136772,1.2999655149151863,1.2965200111136284
91,0.525,18.0,2.576956901,2.7608290558884403,2.30694368949041,2.3069436894899695
92,1.0,18.0,2.576956901,3.62505786464917,3.313921864065634,3.3173673678673765
93,0.05,23.0,2.576956901,2.389901478766514,2.745976917677581,2.745976917677581
94,0.525,23.0,2.576956901,3.6289117477875754,3.821902526321793,3.821902526321651
95,1.0,23.0,2.576956901,4.574806654344072,4.897828134966005,4.897828134966559
96,0.05,28.0,2.576956901,4.629885836526905,4.191988320439961,4.195433824241533
97,0.525,28.0,2.576956901,5.925124875912597,5.336861363153176,5.336861363153332
98,1.0,28.0,2.576956901,6.855487610783195,6.481734405866391,6.478288902065117
99,0.05,18.0,3.791971814,1.6359218133492646,1.3230754268801022,1.3184495894997639
100,0.525,18.0,3.791971814,2.669542278781778,2.2868098998013835,2.2868098998007866
101,1.0,18.0,3.791971814,3.4992464467527222,3.250544372722672,3.2551702101032447
102,0.05,23.0,3.791971814,2.10835203430088,2.423535826820512,2.423535826820512
103,0.525,23.0,3.791971814,3.3190190089672944,3.479837203208902,3.4798372032087173
104,1.0,23.0,3.791971814,4.254008744121609,4.536138579597306,4.536138579598031
105,0.05,28.0,3.791971814,3.8994598175131263,3.5239962267609286,3.528622064141274
106,0.525,28.0,3.791971814,5.189975031931773,4.672864506616435,4.672864506616648
107,1.0,28.0,3.791971814,6.133052064787794,5.821732786471941,5.8171069490920075
108,0.05,18.0,4.359476569,1.627771164992127,1.3440861895997287,1.3389090462959814
109,0.525,18.0,4.359476569,2.635154558549508,2.285656058640953,2.285656058640285
110,1.0,18.0,4.359476569,3.4467665898127104,3.227225927682177,3.2324030709862015
