,Name,Value,Unit
0,chiller1_nwk_choice_4_etret,276.3409090909091,K
1,chiller1_nwk_choice_4_ctin,293.03967741935486,K
2,chiller1_nwk_choice_4_tenwkflow,1627.86076717962,m3/h
3,chiller1_nwk_choice_4_tcnwkflow,528.5300936702486,m3/h
4,chiller1_nwk_choice_4_piecewise_steps,4.0,m3/h
5,chiller2_nwk_choice_4_etret,276.3409090909091,K
6,chiller2_nwk_choice_4_ctin,293.03967741935486,K
7,chiller2_nwk_choice_4_tenwkflow,1627.86076717962,m3/h
8,chiller2_nwk_choice_4_tcnwkflow,528.5300936702486,m3/h
9,chiller2_nwk_choice_4_piecewise_steps,4.0,m3/h
10,gv2_substation_nwk_choice_4_demand,376.51376150000004,kWh
11,gv2_substation_nwk_choice_4_totalflownwk,1627.86076717962,m3/h
12,hsb_substation_nwk_choice_4_demand,200.0,kWh
13,hsb_substation_nwk_choice_4_totalflownwk,1627.86076717962,m3/h
14,pfa_substation_nwk_choice_4_demand,50.0,kWh
15,pfa_substation_nwk_choice_4_totalflownwk,1627.86076717962,m3/h
16,chiller_ret_nwk_choice_4_etret,276.3409090909091,K
17,chiller_evap_flow_consol_nwk_choice_4_tf,1627.86076717962,m3/h
18,cp_network_nwk_choice_4_tf,1627.86076717962,m3/h
