,Variable,Parent_unit,Parent_eqn,Parent_stream,Coefficient,Grad,Cst
0,ch1_1_u0,ch1_1,ch1_1_u_activated,-,1,0,0
1,ch1_1_v0,ch1_1,ch1_1_v_activated,-,1,0,0
2,ch1_1_u0,ch1_1,ch1_1_uv_activated,-,1,0,0
3,ch1_1_v0,ch1_1,ch1_1_uv_activated,-,1,0,0
4,ch1_1_u0,ch1_1,ch1_1_bilin_cons_fmin,-,0,186.84016458333835,0.0
5,ch1_1_v0,ch1_1,ch1_1_bilin_cons_fmin,-,0,186.84016458333835,0.0
6,ch1_1_u0,ch1_1,ch1_1_bilin_cons_fmax,-,0,186.84016458333835,0.0
7,ch1_1_v0,ch1_1,ch1_1_bilin_cons_fmax,-,0,186.84016458333835,0.0
8,ch1_1_u0,ch1_1,ch1_flow_min,-,0,377.5,-109.19515675
9,ch1_1_v0,ch1_1,ch1_flow_min,-,0,377.5,0.0
10,ch1_1_u1,ch1_1,ch1_1_u_activated,-,1,0,0
11,ch1_1_v1,ch1_1,ch1_1_v_activated,-,1,0,0
12,ch1_1_u1,ch1_1,ch1_1_uv_activated,-,1,0,0
13,ch1_1_v1,ch1_1,ch1_1_uv_activated,-,1,0,0
14,ch1_1_u1,ch1_1,ch1_1_bilin_cons_fmin,-,0,-186.84016458333832,373.6803291666767
15,ch1_1_v1,ch1_1,ch1_1_bilin_cons_fmin,-,0,560.520493750015,0.0
16,ch1_1_u1,ch1_1,ch1_1_bilin_cons_fmax,-,0,-186.84016458333832,373.6803291666767
17,ch1_1_v1,ch1_1,ch1_1_bilin_cons_fmax,-,0,560.520493750015,0.0
18,ch1_1_u1,ch1_1,ch1_flow_min,-,0,377.5,-109.19515675
19,ch1_1_v1,ch1_1,ch1_flow_min,-,0,377.5,0.0
20,ch2_1_u0,ch2_1,ch2_1_u_activated,-,1,0,0
21,ch2_1_v0,ch2_1,ch2_1_v_activated,-,1,0,0
22,ch2_1_u0,ch2_1,ch2_1_uv_activated,-,1,0,0
23,ch2_1_v0,ch2_1,ch2_1_uv_activated,-,1,0,0
24,ch2_1_u0,ch2_1,ch2_1_bilin_cons_fmin,-,0,186.84016458333835,0.0
25,ch2_1_v0,ch2_1,ch2_1_bilin_cons_fmin,-,0,186.84016458333835,0.0
26,ch2_1_u0,ch2_1,ch2_1_bilin_cons_fmax,-,0,186.84016458333835,0.0
27,ch2_1_v0,ch2_1,ch2_1_bilin_cons_fmax,-,0,186.84016458333835,0.0
28,ch2_1_u0,ch2_1,ch2_flow_min,-,0,377.5,-410.22658895
29,ch2_1_v0,ch2_1,ch2_flow_min,-,0,377.5,0.0
30,ch2_1_u1,ch2_1,ch2_1_u_activated,-,1,0,0
31,ch2_1_v1,ch2_1,ch2_1_v_activated,-,1,0,0
32,ch2_1_u1,ch2_1,ch2_1_uv_activated,-,1,0,0
33,ch2_1_v1,ch2_1,ch2_1_uv_activated,-,1,0,0
34,ch2_1_u1,ch2_1,ch2_1_bilin_cons_fmin,-,0,-186.84016458333832,373.6803291666767
35,ch2_1_v1,ch2_1,ch2_1_bilin_cons_fmin,-,0,560.520493750015,0.0
36,ch2_1_u1,ch2_1,ch2_1_bilin_cons_fmax,-,0,-186.84016458333832,373.6803291666767
37,ch2_1_v1,ch2_1,ch2_1_bilin_cons_fmax,-,0,560.520493750015,0.0
38,ch2_1_u1,ch2_1,ch2_flow_min,-,0,377.5,-410.22658895
39,ch2_1_v1,ch2_1,ch2_flow_min,-,0,377.5,0.0
40,cp_nwk_u0,cp_nwk,cp_nwk_u_activated,-,1,0,0
41,cp_nwk_v0,cp_nwk,cp_nwk_v_activated,-,1,0,0
42,cp_nwk_u0,cp_nwk,cp_nwk_uv_activated,-,1,0,0
43,cp_nwk_v0,cp_nwk,cp_nwk_uv_activated,-,1,0,0
44,cp_nwk_u1,cp_nwk,cp_nwk_u_activated,-,1,0,0
45,cp_nwk_v1,cp_nwk,cp_nwk_v_activated,-,1,0,0
46,cp_nwk_u1,cp_nwk,cp_nwk_uv_activated,-,1,0,0
47,cp_nwk_v1,cp_nwk,cp_nwk_uv_activated,-,1,0,0
48,gv2_ss_u0,gv2_ss,gv2_ss_u_activated,-,1,0,0
49,gv2_ss_v0,gv2_ss,gv2_ss_v_activated,-,1,0,0
50,gv2_ss_u0,gv2_ss,gv2_ss_uv_activated,-,1,0,0
51,gv2_ss_v0,gv2_ss,gv2_ss_uv_activated,-,1,0,0
52,gv2_ss_u0,gv2_ss,gv2_ss_tout_max,-,0,0.8808333333333335,-0.2
53,gv2_ss_v0,gv2_ss,gv2_ss_tout_max,-,0,0.8808333333333335,0.0
54,gv2_ss_u1,gv2_ss,gv2_ss_u_activated,-,1,0,0
55,gv2_ss_v1,gv2_ss,gv2_ss_v_activated,-,1,0,0
56,gv2_ss_u1,gv2_ss,gv2_ss_uv_activated,-,1,0,0
57,gv2_ss_v1,gv2_ss,gv2_ss_uv_activated,-,1,0,0
58,gv2_ss_u1,gv2_ss,gv2_ss_tout_max,-,0,0.8808333333333335,-0.2
59,gv2_ss_v1,gv2_ss,gv2_ss_tout_max,-,0,0.8808333333333335,0.0
60,hsb_ss_u0,hsb_ss,hsb_ss_u_activated,-,1,0,0
61,hsb_ss_v0,hsb_ss,hsb_ss_v_activated,-,1,0,0
62,hsb_ss_u0,hsb_ss,hsb_ss_uv_activated,-,1,0,0
63,hsb_ss_v0,hsb_ss,hsb_ss_uv_activated,-,1,0,0
64,hsb_ss_u0,hsb_ss,hsb_ss_tout_max,-,0,1.4654130555555558,-0.1
65,hsb_ss_v0,hsb_ss,hsb_ss_tout_max,-,0,1.4654130555555558,0.0
66,hsb_ss_u1,hsb_ss,hsb_ss_u_activated,-,1,0,0
67,hsb_ss_v1,hsb_ss,hsb_ss_v_activated,-,1,0,0
68,hsb_ss_u1,hsb_ss,hsb_ss_uv_activated,-,1,0,0
69,hsb_ss_v1,hsb_ss,hsb_ss_uv_activated,-,1,0,0
70,hsb_ss_u1,hsb_ss,hsb_ss_tout_max,-,0,1.4654130555555558,-0.1
71,hsb_ss_v1,hsb_ss,hsb_ss_tout_max,-,0,1.4654130555555558,0.0
72,ch1_1,ch1_1,totaluse_ch1,-,1,0,0
73,ch2_1,ch2_1,totaluse_ch2,-,1,0,0
74,ch1_1,ch1_1,ch1_1_uv_activated,-,-2,0,0
75,ch2_1,ch2_1,ch2_1_uv_activated,-,-2,0,0
