,Parent,Variable,Type,Name,Layer,Flow_min,Flow_grad,InOut
0,ch1_enwk_1,m_perc,flow,ch1_enwk_1_flow_in,ch1_2_ch1evapnwk_flow,0,755.0,in
1,ch1_enwk_1,m_perc,flow,ch1_enwk_1_flow_out,ch1evapnwk_2_ch1pump_flow,0,755.0,out
2,ch1_enwk_1,m_perc,pressure,ch1_enwk_1_delp_out,ch1evapnwk_2_ch1pump_delp,3.5629306781598657,24.000586233825587,out
3,ch2_enwk_1,m_perc,flow,ch2_enwk_1_flow_in,ch2_2_ch2evapnwk_flow,0,755.0,in
4,ch2_enwk_1,m_perc,flow,ch2_enwk_1_flow_out,ch2evapnwk_2_ch2pump_flow,0,755.0,out
5,ch2_enwk_1,m_perc,pressure,ch2_enwk_1_delp_out,ch2evapnwk_2_ch2pump_delp,3.5629306781598675,8.351813213711074,out
6,ch1_ep_1,m_flow,flow,ch1_ep_1_flow_in,ch1evapnwk_2_ch1pump_flow,0,1.0,in
7,ch1_ep_1,delp,flow,ch1_ep_1_flow_in,ch1evapnwk_2_ch1pump_flow,0,0.0,in
8,ch1_ep_1,m_flow,pressure,ch1_ep_1_delp_in,ch1evapnwk_2_ch1pump_delp,0,0.0,in
9,ch1_ep_1,delp,pressure,ch1_ep_1_delp_in,ch1evapnwk_2_ch1pump_delp,0,1.0,in
10,ch1_ep_1,m_flow,flow,ch1_ep_1_flow_out,evap_nwk_flow,0,1.0,out
11,ch1_ep_1,delp,flow,ch1_ep_1_flow_out,evap_nwk_flow,0,0.0,out
12,ch2_ep_1,m_flow,flow,ch2_ep_1_flow_in,ch2evapnwk_2_ch2pump_flow,0,1.0,in
13,ch2_ep_1,delp,flow,ch2_ep_1_flow_in,ch2evapnwk_2_ch2pump_flow,0,0.0,in
14,ch2_ep_1,m_flow,pressure,ch2_ep_1_delp_in,ch2evapnwk_2_ch2pump_delp,0,0.0,in
15,ch2_ep_1,delp,pressure,ch2_ep_1_delp_in,ch2evapnwk_2_ch2pump_delp,0,1.0,in
16,ch2_ep_1,m_flow,flow,ch2_ep_1_flow_out,evap_nwk_flow,0,1.0,out
17,ch2_ep_1,delp,flow,ch2_ep_1_flow_out,evap_nwk_flow,0,0.0,out
18,sp1_temp,t_inout,temp_chil,chil2sp1_temp_tin,chil2sp1_temp,273.15,30.0,in
19,sp1_temp,t_inout,temp_chil,sp1_temp_2cp_nwk_tout,sp12cp_temp,273.15,30.0,out
20,sp1_temp,t_inout,temp_chil,sp1_temp_2gv2_ss_tout,sp12gv2_temp,273.15,30.0,out
21,sp1_temp,t_inout,temp_chil,sp1_temp_2hsb_ss_tout,sp12hsb_temp,273.15,30.0,out
22,ice_nwk_1,m_perc,flow,ice_nwk_1_flow_in,evap_nwk_flow,0,755.0,in
23,ice_nwk_1,m_perc,flow,ice_nwk_1_flow_out,ice_outlet_flow,0,755.0,out
24,ice_nwk_1,m_perc,pressure,ice_nwk_1_2_gv2_nwk_delp_out,gv2_consol_delp,0.0,2.2281195562364466,out
25,ice_nwk_1,m_perc,pressure,ice_nwk_1_2_hsb_nwk_delp_out,hsb_consol_delp,0.0,2.2281195562364466,out
26,gv2_nwk_1,m_perc,flow,gv2_nwk_1_flow_in,ice_outlet_flow,0,755.0,in
27,gv2_nwk_1,m_perc,flow,gv2_nwk_1_flow_out,gv2nwk2ss_flow,0,755.0,out
28,gv2_nwk_1,m_perc,pressure,gv2_nwk_1_delp_out,gv2_consol_delp,0.0,14.376128730059445,out
29,hsb_nwk_1,m_perc,flow,hsb_nwk_1_flow_in,ice_outlet_flow,0,755.0,in
30,hsb_nwk_1,m_perc,flow,hsb_nwk_1_flow_out,hsbnwk2ss_flow,0,755.0,out
31,hsb_nwk_1,m_perc,pressure,hsb_nwk_1_delp_out,hsb_consol_delp,0.0,740.8246107170422,out
32,para_nwk_con,delp,pressure,gv2_cdp_2_para_nwk_con_delp,gv2_consol_delp,0,1.0,in
33,para_nwk_con,delp,pressure,hsb_cdp_2_para_nwk_con_delp,hsb_consol_delp,0,1.0,in
34,para_nwk_con,delp,pressure,para_nwk_con_2_dist_nwk_pump_delp,paranwk2distpump_delp,0,1.0,out
35,dist_np_combi_0_0,m_flow,flow,dist_np_combi_0_0_flow_in,distnwk_consol_flow,0,1.0,in
36,dist_np_combi_0_0,delp,flow,dist_np_combi_0_0_flow_in,distnwk_consol_flow,0,0.0,in
37,dist_np_combi_0_0,m_flow,pressure,dist_np_combi_0_0_delp_in,paranwk2distpump_delp,0,0.0,in
38,dist_np_combi_0_0,delp,pressure,dist_np_combi_0_0_delp_in,paranwk2distpump_delp,0,1.0,in
39,dist_np_combi_0_0,m_flow,balancing_only,dist_np_combi_0_0_flow_out,evapnwk_consol_flow,0,1.0,out
40,dist_np_combi_0_0,delp,balancing_only,dist_np_combi_0_0_flow_out,evapnwk_consol_flow,0,0.0,out
41,dist_np_combi_1_0,m_flow,flow,dist_np_combi_1_0_flow_in,distnwk_consol_flow,0,1.0,in
42,dist_np_combi_1_0,delp,flow,dist_np_combi_1_0_flow_in,distnwk_consol_flow,0,0.0,in
43,dist_np_combi_1_0,m_flow,pressure,dist_np_combi_1_0_delp_in,paranwk2distpump_delp,0,0.0,in
44,dist_np_combi_1_0,delp,pressure,dist_np_combi_1_0_delp_in,paranwk2distpump_delp,0,1.0,in
45,dist_np_combi_1_0,m_flow,balancing_only,dist_np_combi_1_0_flow_out,evapnwk_consol_flow,0,1.0,out
46,dist_np_combi_1_0,delp,balancing_only,dist_np_combi_1_0_flow_out,evapnwk_consol_flow,0,0.0,out
47,dist_np_combi_2_0,m_flow,flow,dist_np_combi_2_0_flow_in,distnwk_consol_flow,0,1.0,in
48,dist_np_combi_2_0,delp,flow,dist_np_combi_2_0_flow_in,distnwk_consol_flow,0,0.0,in
49,dist_np_combi_2_0,m_flow,pressure,dist_np_combi_2_0_delp_in,paranwk2distpump_delp,0,0.0,in
50,dist_np_combi_2_0,delp,pressure,dist_np_combi_2_0_delp_in,paranwk2distpump_delp,0,1.0,in
51,dist_np_combi_2_0,m_flow,balancing_only,dist_np_combi_2_0_flow_out,evapnwk_consol_flow,0,1.0,out
52,dist_np_combi_2_0,delp,balancing_only,dist_np_combi_2_0_flow_out,evapnwk_consol_flow,0,0.0,out
53,dist_np_combi_3_0,m_flow,flow,dist_np_combi_3_0_flow_in,distnwk_consol_flow,0,1.0,in
54,dist_np_combi_3_0,delp,flow,dist_np_combi_3_0_flow_in,distnwk_consol_flow,0,0.0,in
55,dist_np_combi_3_0,m_flow,pressure,dist_np_combi_3_0_delp_in,paranwk2distpump_delp,0,0.0,in
56,dist_np_combi_3_0,delp,pressure,dist_np_combi_3_0_delp_in,paranwk2distpump_delp,0,1.0,in
57,dist_np_combi_3_0,m_flow,balancing_only,dist_np_combi_3_0_flow_out,evapnwk_consol_flow,0,1.0,out
58,dist_np_combi_3_0,delp,balancing_only,dist_np_combi_3_0_flow_out,evapnwk_consol_flow,0,0.0,out
59,dist_np_combi_4_0,m_flow,flow,dist_np_combi_4_0_flow_in,distnwk_consol_flow,0,1.0,in
60,dist_np_combi_4_0,delp,flow,dist_np_combi_4_0_flow_in,distnwk_consol_flow,0,0.0,in
61,dist_np_combi_4_0,m_flow,pressure,dist_np_combi_4_0_delp_in,paranwk2distpump_delp,0,0.0,in
62,dist_np_combi_4_0,delp,pressure,dist_np_combi_4_0_delp_in,paranwk2distpump_delp,0,1.0,in
63,dist_np_combi_4_0,m_flow,balancing_only,dist_np_combi_4_0_flow_out,evapnwk_consol_flow,0,1.0,out
64,dist_np_combi_4_0,delp,balancing_only,dist_np_combi_4_0_flow_out,evapnwk_consol_flow,0,0.0,out
65,dist_np_combi_5_0,m_flow,flow,dist_np_combi_5_0_flow_in,distnwk_consol_flow,0,1.0,in
66,dist_np_combi_5_0,delp,flow,dist_np_combi_5_0_flow_in,distnwk_consol_flow,0,0.0,in
67,dist_np_combi_5_0,m_flow,pressure,dist_np_combi_5_0_delp_in,paranwk2distpump_delp,0,0.0,in
