,Variable,Parent_unit,Parent_eqn,Parent_stream,Coefficient,Grad,Cst
0,-,ch1_enwk_1,totaluse_ch1_enwk,-,1,0,0
1,-,ch1_enwk_2,totaluse_ch1_enwk,-,1,0,0
2,-,ch1_enwk_3,totaluse_ch1_enwk,-,1,0,0
3,-,ch1_enwk_4,totaluse_ch1_enwk,-,1,0,0
4,-,ch2_enwk_1,totaluse_ch2_enwk,-,1,0,0
5,-,ch2_enwk_2,totaluse_ch2_enwk,-,1,0,0
6,-,ch2_enwk_3,totaluse_ch2_enwk,-,1,0,0
7,-,ch2_enwk_4,totaluse_ch2_enwk,-,1,0,0
8,-,ch1_ep_1,totaluse_ch1_ep,-,1,0,0
9,m_flow,ch1_ep_1,ch1_ep_1_max_pressure,-,0,-0.004313017575800811,0
10,delp,ch1_ep_1,ch1_ep_1_max_pressure,-,0,1,0
11,-,ch1_ep_2,totaluse_ch1_ep,-,1,0,0
12,m_flow,ch1_ep_2,ch1_ep_2_max_pressure,-,0,0.009515511672597569,0
13,delp,ch1_ep_2,ch1_ep_2_max_pressure,-,0,1,0
14,-,ch1_ep_3,totaluse_ch1_ep,-,1,0,0
15,m_flow,ch1_ep_3,ch1_ep_3_max_pressure,-,0,0.023344040920995922,0
16,delp,ch1_ep_3,ch1_ep_3_max_pressure,-,0,1,0
17,-,ch1_ep_4,totaluse_ch1_ep,-,1,0,0
18,m_flow,ch1_ep_4,ch1_ep_4_max_pressure,-,0,0.03717257016939432,0
19,delp,ch1_ep_4,ch1_ep_4_max_pressure,-,0,1,0
20,-,ch2_ep_1,totaluse_ch2_ep,-,1,0,0
21,m_flow,ch2_ep_1,ch2_ep_1_max_pressure,-,0,0.0026300103825396617,0
22,delp,ch2_ep_1,ch2_ep_1_max_pressure,-,0,1,0
23,-,ch2_ep_2,totaluse_ch2_ep,-,1,0,0
24,m_flow,ch2_ep_2,ch2_ep_2_max_pressure,-,0,0.008219511747618997,0
25,delp,ch2_ep_2,ch2_ep_2_max_pressure,-,0,1,0
26,-,ch2_ep_3,totaluse_ch2_ep,-,1,0,0
27,m_flow,ch2_ep_3,ch2_ep_3_max_pressure,-,0,0.01380901311269833,0
28,delp,ch2_ep_3,ch2_ep_3_max_pressure,-,0,1,0
29,-,ch2_ep_4,totaluse_ch2_ep,-,1,0,0
30,m_flow,ch2_ep_4,ch2_ep_4_max_pressure,-,0,0.019398514477777663,0
31,delp,ch2_ep_4,ch2_ep_4_max_pressure,-,0,1,0
32,-,ice_nwk_1,totaluse_ice_nwk,-,1,0,0
33,-,ice_nwk_2,totaluse_ice_nwk,-,1,0,0
34,-,ice_nwk_3,totaluse_ice_nwk,-,1,0,0
35,-,ice_nwk_4,totaluse_ice_nwk,-,1,0,0
36,-,gv2_nwk_1,totaluse_gv2_nwk,-,1,0,0
37,-,gv2_nwk_2,totaluse_gv2_nwk,-,1,0,0
38,-,gv2_nwk_3,totaluse_gv2_nwk,-,1,0,0
39,-,gv2_nwk_4,totaluse_gv2_nwk,-,1,0,0
40,-,hsb_nwk_1,totaluse_hsb_nwk,-,1,0,0
41,-,hsb_nwk_2,totaluse_hsb_nwk,-,1,0,0
42,-,hsb_nwk_3,totaluse_hsb_nwk,-,1,0,0
43,-,hsb_nwk_4,totaluse_hsb_nwk,-,1,0,0
44,-,dist_np_combi_0_0,totaluse_dist_np,-,1,0,0
45,m_flow,dist_np_combi_0_0,dist_np_combi_0_0_max_pressure,-,0,-0.0029829050536658215,0
46,delp,dist_np_combi_0_0,dist_np_combi_0_0_max_pressure,-,0,1,0
47,-,dist_np_combi_0_1,totaluse_dist_np,-,1,0,0
48,m_flow,dist_np_combi_0_1,dist_np_combi_0_1_max_pressure,-,0,0.009439207639002531,0
49,delp,dist_np_combi_0_1,dist_np_combi_0_1_max_pressure,-,0,1,0
50,-,dist_np_combi_0_2,totaluse_dist_np,-,1,0,0
51,m_flow,dist_np_combi_0_2,dist_np_combi_0_2_max_pressure,-,0,0.02186132033167085,0
52,delp,dist_np_combi_0_2,dist_np_combi_0_2_max_pressure,-,0,1,0
53,-,dist_np_combi_0_3,totaluse_dist_np,-,1,0,0
