,Name,Type,Sign,RHS_value
0,ch1_1_u_activated,unit_binary,less_than_equal_to,1
1,ch1_1_v_activated,unit_binary,less_than_equal_to,1
2,ch1_1_uv_activated,unit_binary_equality,equal_to,0
3,ch1_1_bilin_cons_fmin,bilinear_limits_fmin_util,greater_than_equal_to,0.0
4,ch1_1_bilin_cons_fmax,bilinear_limits_fmax_util,less_than_equal_to,2000.0
5,ch2_1_u_activated,unit_binary,less_than_equal_to,1
6,ch2_1_v_activated,unit_binary,less_than_equal_to,1
7,ch2_1_uv_activated,unit_binary_equality,equal_to,0
8,ch2_1_bilin_cons_fmin,bilinear_limits_fmin_util,greater_than_equal_to,0.0
9,ch2_1_bilin_cons_fmax,bilinear_limits_fmax_util,less_than_equal_to,7330.0
10,cp_nwk_u_activated,unit_binary,less_than_equal_to,1
11,cp_nwk_v_activated,unit_binary,less_than_equal_to,1
12,cp_nwk_uv_activated,unit_binary_equality,equal_to,0
13,gv2_ss_u_activated,unit_binary,less_than_equal_to,1
14,gv2_ss_v_activated,unit_binary,less_than_equal_to,1
15,gv2_ss_uv_activated,unit_binary_equality,equal_to,0
16,hsb_ss_u_activated,unit_binary,less_than_equal_to,1
17,hsb_ss_v_activated,unit_binary,less_than_equal_to,1
18,hsb_ss_uv_activated,unit_binary_equality,equal_to,0
19,totaluse_ch1,unit_binary,less_than_equal_to,1
20,ch1_flow_min,stream_limit_modified,greater_than_equal_to,0
21,totaluse_ch2,unit_binary,less_than_equal_to,1
22,ch2_flow_min,stream_limit_modified,greater_than_equal_to,0
23,totaluse_ch1_enwk,unit_binary,less_than_equal_to,1
24,totaluse_ch2_enwk,unit_binary,less_than_equal_to,1
25,totaluse_ch1_ep,unit_binary,less_than_equal_to,1
26,ch1_ep_1_max_pressure,stream_limit_modified,less_than_equal_to,12.3463827922
27,totaluse_ch2_ep,unit_binary,less_than_equal_to,1
28,ch2_ep_1_max_pressure,stream_limit_modified,less_than_equal_to,21.4327511013
29,totaluse_ice_nwk,unit_binary,less_than_equal_to,1
30,totaluse_gv2_nwk,unit_binary,less_than_equal_to,1
31,totaluse_hsb_nwk,unit_binary,less_than_equal_to,1
32,totaluse_dist_np,unit_binary,less_than_equal_to,1
33,dist_np_combi_0_0_max_pressure,stream_limit_modified,less_than_equal_to,34.0585340963
34,dist_np_combi_1_0_max_pressure,stream_limit_modified,less_than_equal_to,46.1796318122
35,dist_np_combi_2_0_max_pressure,stream_limit_modified,less_than_equal_to,50.3198893609
36,dist_np_combi_3_0_max_pressure,stream_limit_modified,less_than_equal_to,58.2250275059
37,dist_np_combi_4_0_max_pressure,stream_limit_modified,less_than_equal_to,73.1928514998
38,dist_np_combi_5_0_max_pressure,stream_limit_modified,less_than_equal_to,35.2618445622
39,dist_np_combi_6_0_max_pressure,stream_limit_modified,less_than_equal_to,34.0585340963
40,gv2_ss_tout_max,stream_limit_modified,greater_than_equal_to,0
41,hsb_ss_tout_max,stream_limit_modified,greater_than_equal_to,0
