,Type,Name
0,flow,ch1_2_ch1evapnwk_flow
1,flow,ch2_2_ch2evapnwk_flow
2,temp_chil,chil2sp1_temp
3,flow,ch1evapnwk_2_ch1pump_flow
4,flow,ch2evapnwk_2_ch2pump_flow
5,pressure,ch1evapnwk_2_ch1pump_delp
6,pressure,ch2evapnwk_2_ch2pump_delp
7,flow,evap_nwk_flow
8,temp_chil,sp12cp_temp
9,temp_chil,sp12gv2_temp
10,temp_chil,sp12hsb_temp
11,flow,ice_outlet_flow
12,flow,gv2nwk2ss_flow
13,pressure,gv2_consol_delp
14,flow,hsbnwk2ss_flow
15,pressure,hsb_consol_delp
16,flow,distnwk_consol_flow
17,pressure,paranwk2distpump_delp
18,temp_chil,ss2sp2_temp
19,balancing_only,evapnwk_consol_flow
20,balancing_only,sp22chilret_temp
