,Name,Variable1,Variable2,Fmin_v1,Fmax_v1,Fmin_v2,Fmax_v2,Coeff_v1_2,Coeff_v1_1,Coeff_v2_2,Coeff_v2_1,Coeff_v1_v2,Coeff_cst,Fmin,Fmax,Cost_v1_2,Cost_v1_1,Cost_v2_2,Cost_v2_1,Cost_v1_v2,Cost_cst,Cinv_v1_2,Cinv_v1_1,Cinv_v2_2,Cinv_v2_1,Cinv_v1_v2,Cinv_cst,Power_v1_2,Power_v1_1,Power_v2_2,Power_v2_1,Power_v1_v2,Power_cst,Impact_v1_2,Impact_v1_1,Impact_v2_2,Impact_v2_1,Impact_v1_v2,Impact_cst
0,ch1_1,m_perc,t_out,0,1,0,1,0,747.3606583333534,0,0,-747.3606583333534,0,0.0,2000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.28800429508541,0,0,-221.28800429508541,134.3364448846704,0,0,0,0,0,0
1,ch2_1,m_perc,t_out,0,1,0,1,0,747.3606583333534,0,0,-747.3606583333534,0,0.0,7330.0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.63064298141643,0,0,-180.63064298141643,393.4258332671286,0,0,0,0,0,0
2,ch1_enwk_1,m_perc,-,0.0,1.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0
3,ch2_enwk_1,m_perc,-,0.0,1.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0
4,ch1_ep_1,m_flow,delp,0.0,218.3903135,0,15,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017967538,0,0.259072758,0.0,0.208225612,0,0,0,0,0,0
5,ch2_ep_1,m_flow,delp,0.0,820.4531779,0,23,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032272906000000004,0,0.79445631,0.0,1.518957414,0,0,0,0,0,0
6,sp1_temp,t_inout,-,0,1,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0
7,cp_nwk,m_perc,tinout,0,1,0,1,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0
8,ice_nwk_1,m_perc,-,0.0,1.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0
9,gv2_nwk_1,m_perc,-,0.0,1.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0
