,Parent,Type,Name,Layer,Stream_coeff_v1_2,Stream_coeff_v1_1,Stream_coeff_v2_2,Stream_coeff_v2_1,Stream_coeff_v1_v2,Stream_coeff_cst,InOut
0,ch1_1,temp_chil,ch1_1_tout,chil2sp1_temp,0,274.15,0,0,0.8500000000000227,0,out
1,ch1_1,flow,ch1_1_mfout,ch1_2_ch1evapnwk_flow,0,755.0,0,0,0.0,0,out
2,ch2_1,temp_chil,ch2_1_tout,chil2sp1_temp,0,274.15,0,0,0.8500000000000227,0,out
3,ch2_1,flow,ch2_1_mfout,ch2_2_ch2evapnwk_flow,0,755.0,0,0,0.0,0,out
4,ch1_enwk_1,flow,ch1_enwk_1_flow_in,ch1_2_ch1evapnwk_flow,0,755.0,0,0,0.0,0,in
5,ch1_enwk_1,flow,ch1_enwk_1_flow_out,ch1evapnwk_2_ch1pump_flow,0,755.0,0,0,0.0,0,out
6,ch1_enwk_1,pressure,ch1_enwk_1_delp_out,ch1evapnwk_2_ch1pump_delp,0,24.000586233825587,0,0,0.0,3.5629306781598657,out
7,ch2_enwk_1,flow,ch2_enwk_1_flow_in,ch2_2_ch2evapnwk_flow,0,755.0,0,0,0.0,0,in
8,ch2_enwk_1,flow,ch2_enwk_1_flow_out,ch2evapnwk_2_ch2pump_flow,0,755.0,0,0,0.0,0,out
9,ch2_enwk_1,pressure,ch2_enwk_1_delp_out,ch2evapnwk_2_ch2pump_delp,0,8.351813213711074,0,0,0.0,3.5629306781598675,out
10,ch1_ep_1,flow,ch1_ep_1_flow_in,ch1evapnwk_2_ch1pump_flow,0,1.0,0,0,0.0,0,in
11,ch1_ep_1,pressure,ch1_ep_1_delp_in,ch1evapnwk_2_ch1pump_delp,0,0.0,0,1,0.0,0,in
12,ch1_ep_1,flow,ch1_ep_1_flow_out,evap_nwk_flow,0,1.0,0,0,0.0,0,out
13,ch2_ep_1,flow,ch2_ep_1_flow_in,ch2evapnwk_2_ch2pump_flow,0,1.0,0,0,0.0,0,in
14,ch2_ep_1,pressure,ch2_ep_1_delp_in,ch2evapnwk_2_ch2pump_delp,0,0.0,0,1,0.0,0,in
15,ch2_ep_1,flow,ch2_ep_1_flow_out,evap_nwk_flow,0,1.0,0,0,0.0,0,out
16,sp1_temp,temp_chil,chil2sp1_temp_tin,chil2sp1_temp,0,30.0,0,0,0.0,273.15,in
17,sp1_temp,temp_chil,sp1_temp_2cp_nwk_tout,sp12cp_temp,0,30.0,0,0,0.0,273.15,out
18,sp1_temp,temp_chil,sp1_temp_2gv2_ss_tout,sp12gv2_temp,0,30.0,0,0,0.0,273.15,out
19,sp1_temp,temp_chil,sp1_temp_2hsb_ss_tout,sp12hsb_temp,0,30.0,0,0,0.0,273.15,out
20,cp_nwk,temp_chil,cp_nwk_tin,sp12cp_temp,0,0.0,0,30,0.0,273.15,in
21,cp_nwk,temp_chil,cp_nwk_tout,sp22chilret_temp,0,273.15,0,0,30.0,0,out
22,cp_nwk,flow,cp_nwk_flow_in,evap_nwk_flow,0,755.0,0,0,0.0,0,in
23,cp_nwk,balancing_only,cp_nwk_flow_out,evapnwk_consol_flow,0,755.0,0,0,0.0,0,out
24,ice_nwk_1,flow,ice_nwk_1_flow_in,evap_nwk_flow,0,755.0,0,0,0.0,0,in
25,ice_nwk_1,flow,ice_nwk_1_flow_out,ice_outlet_flow,0,755.0,0,0,0.0,0,out
26,ice_nwk_1,pressure,ice_nwk_1_2_gv2_nwk_delp_out,gv2_consol_delp,0,2.2281195562364466,0,0,0.0,0.0,out
27,ice_nwk_1,pressure,ice_nwk_1_2_hsb_nwk_delp_out,hsb_consol_delp,0,2.2281195562364466,0,0,0.0,0.0,out
28,gv2_nwk_1,flow,gv2_nwk_1_flow_in,ice_outlet_flow,0,755.0,0,0,0.0,0,in
29,gv2_nwk_1,flow,gv2_nwk_1_flow_out,gv2nwk2ss_flow,0,755.0,0,0,0.0,0,out
30,gv2_nwk_1,pressure,gv2_nwk_1_delp_out,gv2_consol_delp,0,14.376128730059445,0,0,0.0,0.0,out
31,hsb_nwk_1,flow,hsb_nwk_1_flow_in,ice_outlet_flow,0,755.0,0,0,0.0,0,in
32,hsb_nwk_1,flow,hsb_nwk_1_flow_out,hsbnwk2ss_flow,0,755.0,0,0,0.0,0,out
33,hsb_nwk_1,pressure,hsb_nwk_1_delp_out,hsb_consol_delp,0,740.8246107170422,0,0,0.0,0.0,out
