,Parent_unit,Parent_eqn,Parent_stream,Coefficient,Coeff_v1_2,Coeff_v1_1,Coeff_v2_2,Coeff_v2_1,Coeff_v1_v2,Coeff_cst
0,ch1_1,totaluse_ch1,-,1,0,0,0,0,0,0
1,ch1_1,ch1_flow_min,-,0,0,755.0,0,0,0,-109.19515675
2,ch2_1,totaluse_ch2,-,1,0,0,0,0,0,0
3,ch2_1,ch2_flow_min,-,0,0,755.0,0,0,0,-410.22658895
4,ch1_enwk_1,totaluse_ch1_enwk,-,1,0,0,0,0,0,0
5,ch2_enwk_1,totaluse_ch2_enwk,-,1,0,0,0,0,0,0
6,ch1_ep_1,totaluse_ch1_ep,-,1,0,0,0,0,0,0
7,ch1_ep_1,ch1_ep_1_max_pressure,-,0,0,0.01642977629679675,0,1,0,0
8,ch2_ep_1,totaluse_ch2_ep,-,1,0,0,0,0,0,0
9,ch2_ep_1,ch2_ep_1_max_pressure,-,0,0,0.011014262430158663,0,1,0,0
10,ice_nwk_1,totaluse_ice_nwk,-,1,0,0,0,0,0,0
11,gv2_nwk_1,totaluse_gv2_nwk,-,1,0,0,0,0,0,0
12,hsb_nwk_1,totaluse_hsb_nwk,-,1,0,0,0,0,0,0
13,dist_np_combi_0_0,totaluse_dist_np,-,1,0,0,0,0,0,0
14,dist_np_combi_0_0,dist_np_combi_0_0_max_pressure,-,0,0,0.015650263985336702,0,1,0,0
15,dist_np_combi_1_0,totaluse_dist_np,-,1,0,0,0,0,0,0
16,dist_np_combi_1_0,dist_np_combi_1_0_max_pressure,-,0,0,0.0483851457282987,0,1,0,0
17,dist_np_combi_2_0,totaluse_dist_np,-,1,0,0,0,0,0,0
18,dist_np_combi_2_0,dist_np_combi_2_0_max_pressure,-,0,0,0.019894118806164172,0,1,0,0
19,dist_np_combi_3_0,totaluse_dist_np,-,1,0,0,0,0,0,0
20,dist_np_combi_3_0,dist_np_combi_3_0_max_pressure,-,0,0,0.01381832039734728,0,1,0,0
21,dist_np_combi_4_0,totaluse_dist_np,-,1,0,0,0,0,0,0
22,dist_np_combi_4_0,dist_np_combi_4_0_max_pressure,-,0,0,0.007755557609803185,0,1,0,0
23,dist_np_combi_5_0,totaluse_dist_np,-,1,0,0,0,0,0,0
24,dist_np_combi_5_0,dist_np_combi_5_0_max_pressure,-,0,0,0.04639114698064178,0,1,0,0
25,dist_np_combi_6_0,totaluse_dist_np,-,1,0,0,0,0,0,0
26,dist_np_combi_6_0,dist_np_combi_6_0_max_pressure,-,0,0,0.015650263985336702,0,1,0,0
27,gv2_ss,gv2_ss_tout_max,-,0,0,1.761666666666667,0,0,0,-0.2
28,hsb_ss,hsb_ss_tout_max,-,0,0,2.9308261111111116,0,0,0,-0.1
