,Name,Values
0,ch1_enwk_1_y,0.0
1,ch1_enwk_2_y,0.0
2,ch1_enwk_3_y,0.0
3,ch1_enwk_4_y,0.0
4,ch2_enwk_1_y,0.0
5,ch2_enwk_2_y,0.0
6,ch2_enwk_3_y,0.0
7,ch2_enwk_4_y,1.0
8,ch1_ep_1_y,0.0
9,ch1_ep_2_y,0.0
10,ch1_ep_3_y,0.0
11,ch1_ep_4_y,0.0
12,ch2_ep_1_y,0.0
13,ch2_ep_2_y,0.0
14,ch2_ep_3_y,0.0
15,ch2_ep_4_y,1.0
16,sp1_temp_y,1.0
17,ice_nwk_1_y,1.0
18,ice_nwk_2_y,0.0
19,ice_nwk_3_y,0.0
20,ice_nwk_4_y,0.0
21,gv2_nwk_1_y,1.0
22,gv2_nwk_2_y,0.0
23,gv2_nwk_3_y,0.0
24,gv2_nwk_4_y,0.0
25,hsb_nwk_1_y,1.0
26,hsb_nwk_2_y,0.0
27,hsb_nwk_3_y,0.0
28,hsb_nwk_4_y,0.0
29,para_nwk_con_y,1.0
30,dist_np_combi_0_0_y,0.0
31,dist_np_combi_0_1_y,0.0
32,dist_np_combi_0_2_y,0.0
33,dist_np_combi_0_3_y,0.0
34,dist_np_combi_1_0_y,0.0
35,dist_np_combi_1_1_y,0.0
36,dist_np_combi_1_2_y,0.0
37,dist_np_combi_1_3_y,0.0
38,dist_np_combi_2_0_y,0.0
39,dist_np_combi_2_1_y,0.0
40,dist_np_combi_2_2_y,0.0
41,dist_np_combi_2_3_y,0.0
42,dist_np_combi_3_0_y,0.0
43,dist_np_combi_3_1_y,0.0
44,dist_np_combi_3_2_y,0.0
45,dist_np_combi_3_3_y,0.0
46,dist_np_combi_4_0_y,0.0
47,dist_np_combi_4_1_y,0.0
48,dist_np_combi_4_2_y,0.0
49,dist_np_combi_4_3_y,0.0
50,dist_np_combi_5_0_y,0.0
51,dist_np_combi_5_1_y,1.0
52,dist_np_combi_5_2_y,0.0
53,dist_np_combi_5_3_y,0.0
54,dist_np_combi_6_0_y,0.0
55,dist_np_combi_6_1_y,0.0
56,dist_np_combi_6_2_y,0.0
57,dist_np_combi_6_3_y,0.0
58,ch_e_f_c_y,1.0
59,ch_evap_ret_y,1.0
60,ch1_1_y,0.0
61,ch1_2_y,0.0
62,ch1_3_y,0.0
63,ch1_4_y,0.0
64,ch2_1_y,1.0
65,ch2_2_y,0.0
66,ch2_3_y,0.0
67,ch2_4_y,0.0
68,cp_nwk_y,1.0
69,gv2_ss_y,1.0
70,hsb_ss_y,1.0
