,Name,Values
0,ch1_enwk_1_m_perc,0.0
1,ch1_enwk_2_m_perc,0.0
2,ch1_enwk_3_m_perc,0.0
3,ch1_enwk_4_m_perc,0.0
4,ch2_enwk_1_m_perc,0.0
5,ch2_enwk_2_m_perc,0.0
6,ch2_enwk_3_m_perc,0.0
7,ch2_enwk_4_m_perc,1.0
8,ch1_ep_1_m_flow,0.0
9,ch1_ep_1_delp,0.0
10,ch1_ep_2_m_flow,0.0
11,ch1_ep_2_delp,0.0
12,ch1_ep_3_m_flow,0.0
13,ch1_ep_3_delp,0.0
14,ch1_ep_4_m_flow,0.0
15,ch1_ep_4_delp,0.0
16,ch2_ep_1_m_flow,0.0
17,ch2_ep_1_delp,0.0
18,ch2_ep_2_m_flow,0.0
19,ch2_ep_2_delp,0.0
20,ch2_ep_3_m_flow,0.0
21,ch2_ep_3_delp,0.0
22,ch2_ep_4_m_flow,755.0
23,ch2_ep_4_delp,10.1473
24,sp1_temp_t_inout,0.0335925
25,ice_nwk_1_m_perc,0.233592
26,ice_nwk_2_m_perc,0.0
27,ice_nwk_3_m_perc,0.0
28,ice_nwk_4_m_perc,0.0
29,gv2_nwk_1_m_perc,0.199472
30,gv2_nwk_2_m_perc,0.0
31,gv2_nwk_3_m_perc,0.0
32,gv2_nwk_4_m_perc,0.0
33,hsb_nwk_1_m_perc,0.0341201
34,hsb_nwk_2_m_perc,0.0
35,hsb_nwk_3_m_perc,0.0
36,hsb_nwk_4_m_perc,0.0
37,para_nwk_con_delp,7.91812
38,dist_np_combi_0_0_m_flow,0.0
39,dist_np_combi_0_0_delp,0.0
40,dist_np_combi_0_1_m_flow,0.0
41,dist_np_combi_0_1_delp,0.0
42,dist_np_combi_0_2_m_flow,0.0
43,dist_np_combi_0_2_delp,0.0
44,dist_np_combi_0_3_m_flow,0.0
45,dist_np_combi_0_3_delp,0.0
46,dist_np_combi_1_0_m_flow,0.0
47,dist_np_combi_1_0_delp,0.0
48,dist_np_combi_1_1_m_flow,0.0
49,dist_np_combi_1_1_delp,0.0
50,dist_np_combi_1_2_m_flow,0.0
51,dist_np_combi_1_2_delp,0.0
52,dist_np_combi_1_3_m_flow,0.0
53,dist_np_combi_1_3_delp,0.0
54,dist_np_combi_2_0_m_flow,0.0
55,dist_np_combi_2_0_delp,0.0
56,dist_np_combi_2_1_m_flow,0.0
57,dist_np_combi_2_1_delp,0.0
58,dist_np_combi_2_2_m_flow,0.0
59,dist_np_combi_2_2_delp,0.0
60,dist_np_combi_2_3_m_flow,0.0
61,dist_np_combi_2_3_delp,0.0
62,dist_np_combi_3_0_m_flow,0.0
63,dist_np_combi_3_0_delp,0.0
64,dist_np_combi_3_1_m_flow,0.0
65,dist_np_combi_3_1_delp,0.0
66,dist_np_combi_3_2_m_flow,0.0
67,dist_np_combi_3_2_delp,0.0
68,dist_np_combi_3_3_m_flow,0.0
69,dist_np_combi_3_3_delp,0.0
70,dist_np_combi_4_0_m_flow,0.0
71,dist_np_combi_4_0_delp,0.0
72,dist_np_combi_4_1_m_flow,0.0
73,dist_np_combi_4_1_delp,0.0
74,dist_np_combi_4_2_m_flow,0.0
75,dist_np_combi_4_2_delp,0.0
76,dist_np_combi_4_3_m_flow,0.0
77,dist_np_combi_4_3_delp,0.0
78,dist_np_combi_5_0_m_flow,0.0
79,dist_np_combi_5_0_delp,0.0
80,dist_np_combi_5_1_m_flow,176.362
81,dist_np_combi_5_1_delp,7.91812
82,dist_np_combi_5_2_m_flow,0.0
83,dist_np_combi_5_2_delp,0.0
84,dist_np_combi_5_3_m_flow,0.0
85,dist_np_combi_5_3_delp,0.0
86,dist_np_combi_6_0_m_flow,0.0
87,dist_np_combi_6_0_delp,0.0
88,dist_np_combi_6_1_m_flow,0.0
89,dist_np_combi_6_1_delp,0.0
90,dist_np_combi_6_2_m_flow,0.0
91,dist_np_combi_6_2_delp,0.0
92,dist_np_combi_6_3_m_flow,0.0
93,dist_np_combi_6_3_delp,0.0
94,ch1_1_m_perc,0.0
95,ch1_1_t_out,0.0
96,ch1_2_m_perc,0.0
97,ch1_2_t_out,0.0
98,ch1_3_m_perc,0.0
99,ch1_3_t_out,0.0
100,ch1_4_m_perc,0.0
101,ch1_4_t_out,0.0
102,ch2_1_m_perc,1.0000025
103,ch2_1_t_out,0.009147499999999975
104,ch2_2_m_perc,0.0
105,ch2_2_t_out,0.0
106,ch2_3_m_perc,0.0
107,ch2_3_t_out,0.0
108,ch2_4_m_perc,0.0
109,ch2_4_t_out,0.0
110,cp_nwk_m_perc,0.7664075
111,cp_nwk_tinout,0.033592500000000025
112,gv2_ss_m_perc,0.1994725
113,gv2_ss_t_in,0.0019435000000000008
114,hsb_ss_m_perc,0.0341201
115,hsb_ss_t_in,0.001943399999999998
116,ch_e_f_c_m_perc,1.0
117,ch_evap_ret_t_in,1.0
