,Unit_name,v1_name,v2_name,v1_value,v2_value,y_value,Coeff_v1_2,Coeff_v1_1,Coeff_v2_2,Coeff_v2_1,Coeff_v1_v2,Coeff_cst,obj_contri
0,ch1_1_time0,q_out,-,0.0,0,0.0,0,0.04561868726143179,0,0,0,42.41245015609836,0.0
1,ch1_2_time0,q_out,-,849.1,0,1.0,0,0.08174098947252223,0,0,0,24.351299050553134,93.75757321167177
2,ch1_3_time0,q_out,-,0.0,0,0.0,0,0.12225591644194778,0,0,0,-16.1636279188724,0.0
3,ch1_4_time0,q_out,-,0.0,0,0.0,0,0.16790576839562568,0,0,0,-84.63840584938929,0.0
4,ch2_1_time0,q_out,-,0.0,0,0.0,0,0.04110318037955801,0,0,0,166.23163330664457,0.0
5,ch2_2_time0,q_out,-,0.0,0,0.0,0,0.06817130370037446,0,0,0,116.62929732124843,0.0
6,ch2_3_time0,q_out,-,0.0,0,0.0,0,0.0977059092721935,0,0,0,8.384967900531668,0.0
7,ch2_4_time0,q_out,-,0.0,0,0.0,0,0.13001604868309427,0,0,0,-169.24002351089536,0.0
8,ch3_1_time0,q_out,-,0.0,0,0.0,0,0.04110318037955801,0,0,0,166.23163330664457,0.0
9,ch3_2_time0,q_out,-,0.0,0,0.0,0,0.06817130370037446,0,0,0,116.62929732124843,0.0
10,ch3_3_time0,q_out,-,0.0,0,0.0,0,0.0977059092721935,0,0,0,8.384967900531668,0.0
11,ch3_4_time0,q_out,-,0.0,0,0.0,0,0.13001604868309427,0,0,0,-169.24002351089536,0.0
12,ep1_1_time0,m_flow,delp,0.0,2.6535971958638016,1.0,0,0.007510700397070001,0,0.10829629893537002,0,0.08704142920018,0.37441618437750585
13,ep1_2_time0,m_flow,delp,0.0,0.0,0.0,0,0.007510700397070001,0,0.10829629893537002,0,0.08704142920018,0.0
14,ep1_3_time0,m_flow,delp,0.0,0.0,0.0,0,0.007510700397070001,0,0.10829629893537002,0,0.08704142920018,0.0
15,ep1_4_time0,m_flow,delp,0.0,0.0,0.0,0,0.007510700397070001,0,0.10829629893537002,0,0.08704142920018,0.0
16,ep2_1_time0,m_flow,delp,0.0,0.0,0.0,0,0.013490558801590002,0,0.33209465442465,0,0.63494698341321,0.0
17,ep2_2_time0,m_flow,delp,0.0,0.0,0.0,0,0.013490558801590002,0,0.33209465442465,0,0.63494698341321,0.0
18,ep2_3_time0,m_flow,delp,0.0,0.0,0.0,0,0.013490558801590002,0,0.33209465442465,0,0.63494698341321,0.0
19,ep2_4_time0,m_flow,delp,0.0,0.0,0.0,0,0.013490558801590002,0,0.33209465442465,0,0.63494698341321,0.0
20,ep3_1_time0,m_flow,delp,0.0,0.0,0.0,0,0.013490558801590002,0,0.33209465442465,0,0.63494698341321,0.0
21,ep3_2_time0,m_flow,delp,0.0,0.0,0.0,0,0.013490558801590002,0,0.33209465442465,0,0.63494698341321,0.0
22,ep3_3_time0,m_flow,delp,0.0,0.0,0.0,0,0.013490558801590002,0,0.33209465442465,0,0.63494698341321,0.0
23,ep3_4_time0,m_flow,delp,0.0,0.0,0.0,0,0.013490558801590002,0,0.33209465442465,0,0.63494698341321,0.0
24,cp1_1_time0,m_flow,delp,0.0,2.665965170807825,1.0,0,0.026319544491369997,0,0.2809893653086,0,0.82244066508994,1.5715485263700641
25,cp1_2_time0,m_flow,delp,0.0,0.0,0.0,0,0.026319544491369997,0,0.2809893653086,0,0.82244066508994,0.0
