,Chiller 1_s,Chiller 2_s,Chiller 3_s,COP1_s,COP2_s,COP3_s,ep_1_s,ep_2_s,ep_3_s,cp_1_s,cp_2_s,cp_3_s,dist_pump_s,ct_s,Obj_func_s,Chiller 1_o,Chiller 2_o,Chiller 3_o,COP1_o,COP2_o,COP3_o,ep_1_o,ep_2_o,ep_3_o,cp_1_o,cp_2_o,cp_3_o,dist_pump_o,ct_o,Obj_func_o
0,0,399.8143992,0,0,1.365499605,0,0,17.790842,0,0,112.842491,0,27.64769157,27.90477119,586.000195,0,407.0927251,0,0,1.366612354,0,0,18.80869563,0,0,106.3142019,0,7.92424979,27.88203152,568.021904
1,48.40847973,0,0,5.408799384,0,0,5.35391,0,0,34.213594,0,0,15.06930818,5.152264595,108.1975565,48.40847973,0,0,5.408799384,0,0,5.35391,0,0,34.213594,0,0,15.06930818,5.152264595,108.1975565
2,43.11680021,0,0,4.887266445,0,0,5.35391,0,0,34.213594,0,0,12.49441606,4.758936014,99.93765628,43.11680021,0,0,4.887266445,0,0,5.35391,0,0,34.213594,0,0,12.49441606,4.758936014,99.93765628
3,37.40158722,0,0,1.489696575,0,0,5.35391,0,0,34.213594,0,0,9.732514535,4.335080288,91.03668605,37.40158722,0,0,1.489696575,0,0,5.35391,0,0,34.213594,0,0,9.732514535,4.335080288,91.03668605
4,37.28140737,0,0,1.372409462,0,0,5.35391,0,0,34.213594,0,0,9.982730566,4.341582097,91.17322404,37.28140737,0,0,1.372409462,0,0,5.35391,0,0,34.213594,0,0,9.982730566,4.341582097,91.17322404
5,37.26942194,0,0,1.360695924,0,0,5.35391,0,0,34.213594,0,0,10.01740734,4.342716664,91.19704994,37.26942194,0,0,1.360695924,0,0,5.35391,0,0,34.213594,0,0,10.01740734,4.342716664,91.19704994
6,34.24200593,0,0,1.063831211,0,0,5.35391,0,0,34.213594,0,0,9.632492687,4.172100131,87.61410275,34.24200593,0,0,1.063831211,0,0,5.35391,0,0,34.213594,0,0,9.632492687,4.172100131,87.61410275
7,34.49960279,0,0,1.366436475,0,0,5.35391,0,0,34.213594,0,0,9.17932213,4.162321446,87.40875037,34.49960279,0,0,1.366436475,0,0,5.35391,0,0,34.213594,0,0,9.17932213,4.162321446,87.40875037
8,39.19659988,0,0,5.287447691,0,0,5.35391,0,0,34.213594,0,0,12.77459392,4.57693489,96.11563269,39.19659988,0,0,5.287447691,0,0,5.35391,0,0,34.213594,0,0,12.77459392,4.57693489,96.11563269
9,43.55710186,0,0,3.122001314,0,0,5.35391,0,0,34.213594,0,0,10.05883165,4.659171876,97.84260939,43.55710186,0,0,3.122001314,0,0,5.35391,0,0,34.213594,0,0,10.05883165,4.659171876,97.84260939
