,Chiller 1_s,Chiller 2_s,Chiller 3_s,COP1_s,COP2_s,COP3_s,ep_1_s,ep_2_s,ep_3_s,cp_1_s,cp_2_s,cp_3_s,dist_pump_s,ct_s,Obj_func_s,Chiller 1_o,Chiller 2_o,Chiller 3_o,COP1_o,COP2_o,COP3_o,ep_1_o,ep_2_o,ep_3_o,cp_1_o,cp_2_o,cp_3_o,dist_pump_o,ct_o,Obj_func_o
0,133.3165791,0,0,2.18994459,0,0,5.35391,0,0,34.213594,0,0,246.0691723,20.94766277,439.9009182,133.3165791,0,0,2.18994459,0,0,5.35391,0,0,34.213594,0,0,246.0691723,20.94766277,439.9009182
1,127.8574018,0,0,1.807229597,0,0,5.35391,0,0,34.213594,0,0,313.3493962,24.0387151,504.8130171,147.8307319,0,0,1.597048691,0,0,5.552418157,0,0,33.72093551,0,0,4.640667983,26.83441905,218.5791726
2,122.6183045,0,0,1.816600296,0,0,5.35391,0,0,34.213594,0,0,332.2563123,24.72210604,519.1642268,122.6183045,0,0,1.816600296,0,0,5.35391,0,0,34.213594,0,0,332.2563123,24.72210604,519.1642268
3,119.8184099,0,0,1.823317449,0,0,5.35391,0,0,34.213594,0,0,347.3051539,25.33455339,532.0256212,139.1935577,0,0,1.592270114,0,0,4.414658044,0,0,33.72093551,0,0,2.397044312,28.54490003,208.2710956
4,126.0849015,0,0,2.321988271,0,0,5.35391,0,0,34.213594,0,0,244.4890781,20.50707418,430.6485578,126.0849015,0,0,2.321988271,0,0,5.35391,0,0,34.213594,0,0,244.4890781,20.50707418,430.6485578
5,117.7074299,0,0,1.851710172,0,0,5.35391,0,0,34.213594,0,0,348.3318644,25.28033992,530.8871382,136.8915849,0,0,1.599002531,0,0,4.467288954,0,0,33.72093551,0,0,2.616292736,28.7304128,206.4265149
6,111.0825914,0,0,1.072690559,0,0,5.35391,0,0,34.213594,0,0,168.0891533,15.93696244,334.6762111,125.7223594,0,0,0.97559131,0,0,5.526475544,0,0,33.72093551,0,0,15.02737269,17.37956587,197.376709
7,124.7928489,0,0,1.790887555,0,0,5.35391,0,0,34.213594,0,0,337.5581884,25.09592707,527.0144684,144.4295693,0,0,1.583410433,0,0,5.345850446,0,0,33.72093551,0,0,4.522790795,28.00332943,216.0224755
8,0,502.8690373,0,0,2.333516644,0,0,17.790842,0,0,112.842491,0,151.1587149,39.23305426,823.8941395,0,522.9859787,0,0,2.245715769,0,0,35.19653578,0,0,106.3142019,0,36.01252642,40.70923679,741.2184796
9,211.4599413,0,0,4.015599529,0,0,5.35391,0,0,34.213594,0,0,136.8273723,19.39274088,407.2475585,211.4599413,0,0,4.015599529,0,0,5.35391,0,0,34.213594,0,0,136.8273723,19.39274088,407.2475585
