,dist_pump,ep_1,ep_2,ep_3,cp_1,cp_2,cp_3
0,7.92424979,0,18.80869563,0,0,106.3142019,0
1,5.850717117,5.434888683,0,0,33.72093551,0,0
2,8.454599033,5.556091606,0,0,33.72093551,0,0
3,1.326637188,0,27.61222483,0,0,106.3142019,0
4,1.158881681,0,0,20.07466689,0,0,106.3142019
5,1.203051048,0,0,29.29364189,5.337772266,0,125.6538182
6,0.898386419,5.208667225,0,0,33.72093551,0,0
7,1.081578321,0,19.4165632,0,0,106.3142019,0
8,4.929035613,0,29.52293511,0,5.337772266,125.6538182,0
9,3.145715097,6.087293658,34.16245351,0,32.0435154,105.5263097,0
10,8.232507574,6.162388951,0,35.65735443,29.88060223,0,107.0026505
11,5.729688937,0,36.70418349,0,0,106.3142019,0
12,7.222498724,6.197009644,0,36.33656586,29.88060223,0,107.0026505
13,16.2015485,6.107481433,0,34.56732432,32.0435154,0,105.5263097
14,34.17528042,6.209576264,36.58161083,0,29.88060223,107.0026505,0
15,8.124923222,6.159098642,0,35.59248326,29.88060223,0,107.0026505
16,11.0254775,6.227884811,0,36.93722587,29.88060223,0,107.0026505
17,19.59057764,0,37.31309132,0,0,106.3142019,0
18,10.15891633,6.198441679,36.36452981,0,29.88060223,107.0026505,0
19,8.966089291,0,29.61296113,0,0,106.3142019,0
20,8.295549667,0,35.13953842,0,0,106.3142019,0
21,7.025988287,0,0,21.49167004,0,0,106.3142019
22,13.32204914,0,0,35.97662827,0,0,106.3142019
23,3.730840104,0,0,29.68303909,0,0,106.3142019
