gv2,hsb,pfa,ser,total
0.961643798,0.012042223,0.022020066,0.004293913,222.8327316
0.940216179,0.026326544,0.024069983,0.009387294,101.9276026
0.874441978,0.047580454,0.065253195,0.012724373,75.19618679
0.324572315,0.19530708,0.401774565,0.07834604,12.21279751
0.203291517,0.231063945,0.475331544,0.090312993,10.32288193
0.184431162,0.235830381,0.485136784,0.094601673,10.11424318
0.258106915,0.270031801,0.33946855,0.132392734,7.227166419
0.211681507,0.196854646,0.494948825,0.096515021,9.913734826
0.620195086,0.029661665,0.335600558,0.014542691,65.79417349
0.589208768,0.07445467,0.312000521,0.024336041,39.31717316
0.915550209,0.009348882,0.070517285,0.004583624,208.7484544
0.85873157,0.014469142,0.119060364,0.007738924,123.6379068
0.797161342,0.032976074,0.162807588,0.007054995,135.623662
0.929680345,0.009701633,0.058542427,0.002075595,460.9879416
0.707888408,0.016949821,0.268614298,0.006547474,146.1364175
0.784642048,0.017535117,0.19104927,0.006773565,141.2586015
0.872738558,0.013450959,0.109913549,0.003896935,245.5325394
0.948938615,0.005484518,0.043458276,0.002118591,451.6324046
0.896172854,0.007481574,0.092343998,0.004001573,239.1120343
0.911467369,0.011413887,0.073048878,0.004069866,235.0997101
0.934627526,0.007802607,0.053503594,0.004066273,229.2739175
0.965519465,0.008060504,0.022108812,0.004311218,221.9382644
0.980446908,0.006138843,0.011225313,0.002188936,437.1184459
0.925716549,0.016322958,0.048502504,0.009457988,101.1657334
