,dist_pump
0,27.647691568489087
1,15.069308179667406
2,12.494416056086127
3,9.732514534874628
4,9.982730566446318
5,10.017407340771848
6,9.6324926873772
7,9.17932213019128
8,12.774593919166453
9,10.058831646732187
10,24.949935138582383
11,16.20812613276006
12,16.681129047434585
13,62.726204753660035
14,18.085896863251897
15,16.971848402635285
16,28.841218928135817
17,62.22843087719173
18,28.488358852275002
19,28.302459319821025
20,27.978083416814872
21,27.578885950363855
22,61.538877729882145
23,14.885849206133438
