,Chiller 1,Chiller 2,Chiller 3,ep_1,ep_2,ep_3,cp_1,cp_2,cp_3,dist_pump,Obj_func
0,133.3165791,0,0,5.35391,0,0,34.213594,0,0,246.0691723,418.9532554
1,127.8574018,0,0,5.35391,0,0,34.213594,0,0,313.3493962,480.774302
2,122.6183045,0,0,5.35391,0,0,34.213594,0,0,332.2563123,494.4421208
3,119.8184099,0,0,5.35391,0,0,34.213594,0,0,347.3051539,506.6910678
4,126.0849015,0,0,5.35391,0,0,34.213594,0,0,244.4890781,410.1414836
5,117.7074299,0,0,5.35391,0,0,34.213594,0,0,348.3318644,505.6067983
6,111.0825914,0,0,5.35391,0,0,34.213594,0,0,168.0891533,318.7392487
7,124.7928489,0,0,5.35391,0,0,34.213594,0,0,337.5581884,501.9185413
8,0,502.8690373,0,0,17.790842,0,0,112.842491,0,151.1587149,784.6610852
9,211.4599413,0,0,5.35391,0,0,34.213594,0,0,136.8273723,387.8548176
10,0,502.8531703,0,0,17.790842,0,0,112.842491,0,125.6613004,759.1478037
11,155.1233599,579.3866125,0,6.869861,39.071335,0,34.669997,113.259111,0,324.0464095,1252.426686
12,147.431406,566.9030808,0,6.869861,39.071335,0,34.669997,113.259111,0,322.3259512,1230.530742
13,152.3462402,580.2853218,0,6.869861,39.071335,0,34.669997,113.259111,0,325.5221715,1252.024038
14,146.7989883,565.3171134,0,6.869861,39.071335,0,34.669997,113.259111,0,322.3322166,1228.318622
15,0,578.6490326,0,0,37.349337,0,0,112.842491,0,197.4401724,926.281033
16,146.4394695,563.1633484,0,6.869861,39.071335,0,34.669997,113.259111,0,322.3449767,1225.818099
17,147.4138493,565.3753001,0,6.869861,39.071335,0,34.669997,113.259111,0,322.3374968,1228.99695
18,177.4220577,508.5292969,0,5.897715,18.83886,0,34.669997,113.259111,0,196.8258226,1055.44286
19,0,630.6150314,0,0,37.349337,0,0,112.842491,0,322.3360977,1103.142957
20,0,638.3537704,0,0,37.349337,0,0,112.842491,0,324.0561593,1112.601758
21,0,569.0246535,0,0,37.349337,0,0,112.842491,0,321.812024,1041.028506
22,145.0440639,469.4183127,0,5.897715,18.83886,0,34.669997,113.259111,0,191.1303831,978.2584427
23,0,463.9780573,0,0,17.790842,0,0,112.842491,0,121.8131494,716.4245397
