ss_gv2_demand,ss_hsb_demand,ss_pfa_demand,ss_ser_demand,ss_fir_demand
136.2776025,50,50,23,0
45.42586751,50,0,13.9,0
45.42586751,30,0,14,0
45.42586751,40,0,13.9,0
45.42586751,30,0,14,0
45.42586751,37.5,0,13.9,0
45.42586751,25,0,13.9,0
45.42586751,37.5,0,14,0
738.170347,20,0,13.9,0
45.42586751,20,0,13.9,0
193.0599369,33.33333333,0,14,0
369.0851735,26.66666667,0,13.9,0
65.54621849,36.36363636,0,14,0
95.79831933,27.27272727,0,13.9,0
211.7647059,36.36363636,0,13.9,0
85.71428571,23.07692308,0,14,0
65.54621849,30.76923077,0,13.9,0
337.8151261,23.07692308,0,13.9,0
80.67226891,23.07692308,0,14,0
156.302521,14.28571429,0,13.9,0
282.3529412,28.57142857,0,14,0
75.6302521,28.57142857,0,13.9,0
191.5966387,28.57142857,0,13.9,0
151.2605042,55.55555556,0,14,0
256.4383562,44.44444444,10,13.9,0
39.45205479,28.57142857,90,14,0
39.45205479,21.42857143,60,13.9,0
39.45205479,28.57142857,40,13.9,0
39.45205479,21.42857143,50,14,0
34.52054795,23.07692308,60,13.9,0
39.45205479,23.07692308,50,13.9,0
39.45205479,23.07692308,40,14,0
793.9726027,30.76923077,50,13.9,0
39.45205479,16.66666667,60,14,0
192.3287671,33.33333333,100,13.9,0
246.5753425,50,70,13.9,0
1800,33.33333333,80,14,0
1800,25,70,13.9,0
1800,16.66666667,60,14,0
1800,25,60,13.9,0
1800,30.76923077,0,13.9,0
1800,15.38461538,0,14,0
1800,23.07692308,0,13.9,0
3600,15.38461538,0,13.9,0
3600,15.38461538,0,14,0
1800,18.18181818,0,13.9,0
3600,27.27272727,0,14,0
451.4106583,27.27272727,0,13.9,0
78.9968652,27.27272727,0,13.9,0
45.14106583,27.27272727,0,14,0
45.14106583,27.27272727,0,13.9,0
45.14106583,18.18181818,0,13.9,0
45.14106583,27.27272727,0,14,0
45.14106583,15.38461538,0,13.9,0
45.14106583,15.38461538,0,14,0
45.14106583,23.07692308,0,13.9,0
953.6050157,7.692307692,0,13.9,0
89.1509434,15.38461538,0,14,0
157.0754717,23.07692308,0,13.9,0
1086.792453,20,0,14,0
466.9811321,30,0,13.9,0
938.8489209,20,0,13.9,0
861.1510791,20,0,14,0
1800,10,0,13.9,0
1800,14.28571429,0,13.9,0
1800,14.28571429,0,14,0
1800,7.142857143,0,13.9,0
1800,7.142857143,0,14,0
3600,21.42857143,0,13.9,0
1800,14.28571429,0,13.9,0
1800,21.42857143,0,14,0
1800,18.18181818,0,13.9,0
77.64705882,27.27272727,0,13.9,0
56.47058824,36.36363636,100,14,0
63.52941176,18.18181818,70,13.9,0
56.47058824,21.42857143,40,14,0
56.47058824,21.42857143,50,13.9,0
56.47058824,21.42857143,50,13.9,0
56.47058824,14.28571429,50,14,0
56.47058824,21.42857143,50,13.9,0
56.47058824,18.18181818,170,14,0
1263.529412,18.18181818,70,13.9,0
1150.632911,18.18181818,80,13.9,0
649.3670886,18.18181818,80,14,0
1800,27.27272727,90,13.9,0
1800,10,80,13.9,0
1800,20,60,14,0
1800,10,50,13.9,0
1800,20,90,14,0
1800,20,110,13.9,0
3600,20,70,13.9,0
1800,7.142857143,60,14,0
3600,14.28571429,40,13.9,0
3600,14.28571429,20,14,0
1800,28.57142857,20,13.9,0
1800,21.42857143,20,13.9,0
81.40703518,14.28571429,10,14,0
40.70351759,27.27272727,20,13.9,0
36.18090452,27.27272727,20,13.9,0
36.18090452,9.090909091,10,14,0
36.18090452,18.18181818,10,13.9,0
36.18090452,18.18181818,20,14,0
36.18090452,14.28571429,10,13.9,0
36.18090452,14.28571429,20,13.9,0
36.18090452,14.28571429,80,14,0
696.4824121,14.28571429,40,13.9,0
728.1407035,14.28571429,50,13.9,0
1049.658314,7.142857143,40,14,0
750.3416856,21.42857143,40,13.9,0
1800,27.27272727,60,14,0
1800,27.27272727,80,13.9,0
1800,18.18181818,80,13.9,0
1800,27.27272727,70,14,0
1800,18.18181818,60,13.9,0
3600,18.18181818,60,14,0
1800,9.090909091,30,13.9,0
1800,18.18181818,50,13.9,0
1800,18.18181818,20,14,0
1800,18.18181818,20,13.9,0
1336.633663,15.38461538,10,13.9,0
463.3663366,23.07692308,20,14,0
45,23.07692308,20,13.9,0
36,23.07692308,20,14,0
36,15.38461538,10,13.9,0
36,16.66666667,10,13.9,0
36,16.66666667,20,14,0
36,16.66666667,10,13.9,0
36,16.66666667,20,13.9,0
36,16.66666667,90,14,0
909,16.66666667,70,13.9,0
54,25,50,14,0
540,16.66666667,60,13.9,0
385.7873792,25,60,13.9,0
394.9971575,16.66666667,70,14,0
394.9971575,16.66666667,60,13.9,0
178.0557135,18.18181818,80,14,0
18.41955657,27.27272727,80,13.9,0
12.27970438,18.18181818,70,13.9,0
15.34963047,9.090909091,70,14,0
16.37293917,18.18181818,70,13.9,0
16.37293917,9.090909091,60,13.9,0
37.86242183,14.28571429,20,14,0
29.67595225,14.28571429,10,13.9,0
32.74587834,7.142857143,20,14,0
40.93234792,21.42857143,10,13.9,0
18.41955657,21.42857143,20,13.9,0
8.186469585,21.42857143,20,14,0
7.163160887,15.38461538,10,13.9,0
8.186469585,15.38461538,10,13.9,0
8.186469585,15.38461538,10,14,0
8.186469585,23.07692308,20,13.9,0
8.186469585,15.38461538,10,14,0
159.6361569,15.38461538,90,13.9,0
127.4336283,15.38461538,60,13.9,0
892.0353982,7.692307692,100,14,0
780.5309735,15.38461538,70,13.9,0
612.371134,7.692307692,90,14,0
1187.628866,15.38461538,50,13.9,0
1800,15.38461538,50,13.9,0
1800,23.07692308,50,14,0
1800,13.33333333,50,13.9,0
1800,13.33333333,50,13.9,0
3600,20,60,14,0
1800,13.33333333,50,13.9,0
3600,13.33333333,40,14,0
3600,26.66666667,20,13.9,0
1800,21.42857143,20,13.9,0
1800,21.42857143,20,14,0
118.6046512,21.42857143,20,13.9,0
55.81395349,21.42857143,20,14,0
55.81395349,14.28571429,10,13.9,0
55.81395349,16.66666667,20,13.9,0
55.81395349,16.66666667,10,14,0
55.81395349,25,20,13.9,0
48.8372093,8.333333333,10,13.9,0
55.81395349,16.66666667,20,14,0
55.81395349,16.66666667,90,13.9,0
1241.860465,14.28571429,50,14,0
812.7753304,14.28571429,30,13.9,0
987.2246696,21.42857143,70,13.9,0
1800,14.28571429,90,14,0
1800,35.71428571,120,13.9,0
3600,50,110,13.9,0
1800,50,100,14,0
3600,53.84615385,110,13.9,0
3600,46.15384615,80,14,0
1800,33.33333333,60,13.9,0
3600,33.33333333,50,13.9,0
3600,33.33333333,40,14,0
3600,36.36363636,20,13.9,0
3600,36.36363636,20,14,0
1800,27.27272727,20,13.9,0
97.97468354,33.33333333,20,13.9,0
22.78481013,22.22222222,20,14,0
18.2278481,22.22222222,20,13.9,0
18.2278481,22.22222222,10,13.9,0
18.2278481,8.333333333,20,14,0
18.2278481,16.66666667,20,13.9,0
18.2278481,8.333333333,10,14,0
18.2278481,16.66666667,20,13.9,0
273.4177215,8.333333333,20,13.9,0
806.5822785,8.333333333,20,14,0
489.8734177,16.66666667,10,13.9,0
1841.584158,16.66666667,20,13.9,0
1758.415842,20,10,14,0
1800,20,30,13.9,0
3600,10,20,14,0
1800,20,30,13.9,0
3600,20,20,13.9,0
3600,10,30,14,0
1800,15.38461538,20,13.9,0
3600,7.692307692,20,14,0
3600,15.38461538,20,13.9,0
3600,15.38461538,20,13.9,0
3600,15.38461538,20,14,0
1800,15.38461538,20,13.9,0
26.71232877,15.38461538,20,13.9,0
16.43835616,18.18181818,0,14,0
18.49315068,27.27272727,0,13.9,0
16.43835616,18.18181818,0,14,0
16.43835616,9.090909091,0,13.9,0
16.43835616,18.18181818,0,13.9,0
16.43835616,9.090909091,0,14,0
16.43835616,15.38461538,0,13.9,0
287.6712329,7.692307692,0,14,0
772.6027397,15.38461538,0,13.9,0
369.8630137,15.38461538,0,13.9,0
226.0273973,15.38461538,0,14,0
1800,23.07692308,0,13.9,0
1800,7.692307692,0,13.9,0
1800,15.38461538,0,14,0
3600,15.38461538,0,13.9,0
1800,15.38461538,0,14,0
3600,15.38461538,0,13.9,0
1800,15.38461538,0,13.9,0
3600,23.07692308,0,14,0
3600,18.18181818,0,13.9,0
1800,27.27272727,0,13.9,0
3600,27.27272727,0,14,0
298.6725664,27.27272727,0,13.9,0
83.62831858,16.66666667,4.663212435,14,0
31.85840708,25,45.33678756,13.9,0
31.85840708,25,30,13.9,0
31.85840708,16.66666667,10,14,0
31.85840708,16.66666667,10,13.9,0
31.85840708,15.38461538,10,14,0
35.84070796,15.38461538,20,13.9,0
31.85840708,15.38461538,10,13.9,0
374.3362832,15.38461538,150,14,0
816.3716814,7.692307692,40,13.9,0
1800,7.692307692,50,13.9,0
1800,23.07692308,40,14,0
1800,30,50,13.9,0
1800,40,60,14,0
1800,30,80,13.9,0
1800,28.57142857,110,13.9,0
1080,35.71428571,120,14,0
1800,35.71428571,110,13.9,0
1800,36.36363636,120,13.9,0
3600,36.36363636,110,14,0
1800,27.27272727,110,13.9,0
1800,27.27272727,60,14,0
1800,27.27272727,50,13.9,0
1800,18.18181818,60,13.9,0
92.64705882,27.27272727,50,14,0
59.55882353,30,50,13.9,0
52.94117647,20,40,14,0
52.94117647,10,50,13.9,0
59.55882353,20,50,13.9,0
52.94117647,10,50,14,0
52.94117647,10,50,13.9,0
59.55882353,18.18181818,30,13.9,0
52.94117647,9.090909091,110,14,0
1263.970588,18.18181818,70,13.9,0
776.7123288,18.18181818,80,14,0
591.7808219,36.36363636,110,13.9,0
665.7534247,23.07692308,130,13.9,0
1565.753425,30.76923077,150,14,0
1800,23.07692308,160,13.9,0
1800,23.07692308,150,14,0
3600,50,150,13.9,0
