T_DB,T_WB
284.15,281.9107312
284.15,281.9107312
283.15,280.9480181
282.15,280.4447153
282.15,280.4447153
282.15,280.4447153
282.15,279.9853024
281.15,279.4668554
282.15,279.9853024
282.15,279.9853024
283.15,280.9480181
285.15,282.4504283
288.15,285.8536912
288.15,285.8536912
289.15,286.3429656
288.15,285.8536912
287.15,285.3339823
287.15,285.3339823
286.15,284.356133
285.15,283.881398
284.15,283.4606064
286.15,284.873302
286.15,284.873302
287.15,285.3339823
287.15,285.3339823
287.15,285.3339823
287.15,285.3339823
287.15,285.8652044
287.15,285.8652044
286.15,284.873302
285.15,283.881398
285.15,283.3782818
285.15,282.8734418
287.15,284.3487208
287.15,283.5247652
288.15,283.5666132
288.15,282.8527901
289.15,283.3878905
289.15,282.5871291
290.15,283.1560532
289.15,282.5871291
288.15,282.1037049
287.15,280.9506668
287.15,280.9506668
285.15,279.795262
286.15,280.3368711
283.15,278.698967
282.15,278.451123
282.15,278.451123
281.15,277.8440774
281.15,277.8440774
281.15,277.8440774
281.15,277.8440774
281.15,277.8440774
280.15,277.2805642
279.15,276.6874761
281.15,277.8440774
284.15,279.5711651
285.15,280.1687311
286.15,280.7362598
287.15,281.2707838
287.15,281.5830204
287.15,281.8883761
287.15,282.6752372
287.15,282.2862901
287.15,282.2862901
287.15,282.6752372
286.15,282.1510436
286.15,282.5128279
286.15,282.5128279
286.15,282.5128279
287.15,282.6752372
286.15,282.1510436
285.15,282.0242786
285.15,282.0242786
286.15,282.5128279
286.15,282.9589004
286.15,282.9589004
286.15,282.9589004
284.15,281.9107312
286.15,282.9589004
286.15,282.9589004
286.15,283.399576
288.15,283.5666132
288.15,283.5666132
288.15,283.9623018
288.15,284.4469819
287.15,284.3487208
286.15,283.399576
286.15,283.9230707
285.15,283.3782818
285.15,283.3782818
285.15,283.881398
285.15,283.3782818
284.15,282.8894922
284.15,282.8894922
284.15,282.4004284
283.15,281.422573
283.15,281.422573
283.15,280.9480181
282.15,280.4447153
283.15,280.9480181
283.15,280.5521242
282.15,279.9853024
282.15,279.9853024
282.15,280.4447153
285.15,282.0242786
287.15,283.056675
288.15,283.1624346
288.15,281.7689037
288.15,281.7689037
287.15,281.2707838
286.15,280.7362598
284.15,279.5711651
284.15,279.3088963
283.15,278.698967
283.15,278.698967
283.15,278.698967
282.15,278.451123
282.15,278.451123
281.15,277.8440774
282.15,278.451123
281.15,277.5489413
282.15,278.1403459
283.15,278.3650597
282.15,277.5094766
282.15,277.5094766
281.15,277.252644
282.15,277.8267609
283.15,278.698967
284.15,278.9530017
285.15,279.5087233
286.15,280.028865
286.15,280.3368711
287.15,280.9506668
287.15,280.9506668
286.15,280.3368711
286.15,280.028865
285.15,279.795262
285.15,279.5087233
285.15,279.795262
285.15,280.1687311
285.15,280.1687311
285.15,280.5339818
284.15,279.5711651
285.15,280.1687311
285.15,280.5339818
284.15,279.9157292
284.15,280.3397665
284.15,280.674808
283.15,279.7557915
283.15,279.7557915
286.15,282.5128279
289.15,284.1444015
290.15,285.0244407
291.15,285.561012
290.15,285.878143
291.15,286.3513257
292.15,287.2463334
291.15,286.7871795
291.15,286.7871795
291.15,286.3513257
292.15,286.7845032
292.15,286.7845032
291.15,286.3513257
292.15,286.7845032
290.15,285.878143
289.15,285.8602325
290.15,286.2914044
288.15,285.3910401
291.15,285.9044745
291.15,286.3513257
290.15,286.7978299
289.15,285.8602325
289.15,286.3429656
289.15,285.3691949
288.15,285.3910401
291.15,286.3513257
292.15,287.6962122
292.15,287.6962122
292.15,287.2463334
293.15,287.7850477
291.15,287.2136105
291.15,287.2136105
293.15,287.7850477
291.15,287.2136105
289.15,286.3429656
289.15,286.8189981
288.15,286.3118296
287.15,285.8652044
286.15,283.9230707
286.15,283.9230707
287.15,284.8883821
288.15,286.3118296
288.15,286.3118296
288.15,285.8536912
287.15,284.8883821
287.15,284.3487208
288.15,285.8536912
287.15,284.8883821
286.15,283.9230707
288.15,286.3118296
288.15,284.9226322
291.15,286.7871795
290.15,286.2914044
290.15,286.2914044
291.15,285.9044745
291.15,285.9044745
290.15,285.4563136
291.15,284.7261195
290.15,284.5807796
289.15,284.1444015
288.15,283.5666132
288.15,283.5666132
287.15,283.5247652
287.15,283.056675
288.15,282.4297721
288.15,282.4297721
288.15,282.4297721
285.15,282.0242786
287.15,282.2862901
286.15,282.1510436
286.15,282.5128279
