Name,Value,Unit,LB,UB,Type
chiller1_em,205,m3/h,0,290,continuous
chiller1_cm,320,m3/h,0,660,continuous
chiller2_em,576,m3/h,0,930,continuous
chiller2_cm,1476,m3/h,0,1830,continuous
chiller3_em,576,m3/h,0,930,continuous
chiller3_cm,1476,m3/h,0,1830,continuous
split_cp,0.1,%,0,1,continuous
split_gv2,0.3,%,0,1,continuous
split_hsb,0.2,%,0,1,continuous
split_pfa,0.2,%,0,1,continuous
split_ser,0.2,%,0,1,continuous
split_fir,0,%,0,1,continuous
ct_t_out,293,K,,,continuous
ct_dt,294,K,0.05,10,continuous
chiller_ret_etret,279,K,274.15,293.15,continuous
network_select,1,-,0,1,continuous 
pumpaf_select,0,-,0,1,continuous 
