,Day,Date,Month,Year,Hour,Tin_cond,Tout_cond,mcond,Tin_evap,Tout_evap,mevap,Qe,Qc,T_DB,T_WB,E
0,5,15,1,2016,7,292.95,294.35,320.2,279.75,277.95,207.4,434.756028,522.0519453,282.15,279.1437798,130
1,5,15,1,2016,10,294.95,297.55,323.7,280.95,277.75,206.8,770.6636373,980.122598,282.15,279.1437798,217
2,5,15,1,2016,11,294.95,297.05,324.6,280.95,277.75,210.7,785.1974293,793.838514,283.15,279.7557915,205
3,6,16,1,2016,11,293.15,295.75,326.2,281.45,277.85,207.6,870.350544,987.6922813,283.15,275.524039,171
4,6,16,1,2016,12,294.65,297.25,327.3,281.45,277.85,207.1,868.254324,991.022942,284.15,276.1964237,213
5,6,16,1,2016,13,294.65,297.25,327.6,281.45,277.85,205.2,860.288688,991.931304,286.15,276.4908102,212
6,6,16,1,2016,14,294.65,297.25,326.7,281.45,277.85,203.8,854.419272,989.206218,286.15,276.4908102,228
7,6,16,1,2016,15,294.65,296.75,324.8,280.95,277.85,206.6,745.8583673,794.327632,286.15,276.4908102,200
8,6,16,1,2016,16,294.65,296.75,325.5,280.95,277.85,206.6,745.8583673,796.039545,285.15,276.7371478,191
9,6,16,1,2016,17,294.15,296.25,325.2,280.45,277.85,208.8,632.219952,795.305868,283.15,275.9602513,179
10,7,17,1,2016,12,294.15,295.65,326.2,279.95,277.85,203.1,496.699329,569.82247,284.15,277.8257899,132
11,7,17,1,2016,13,294.65,296.15,329.5,279.95,277.85,201.5,492.786385,575.587075,284.15,278.4025257,147
12,7,17,1,2016,17,294.65,295.65,323.7,278.95,277.35,199.6,371.9160107,376.97023,283.15,279.0280409,122
13,7,17,1,2016,18,294.65,295.65,325.3,278.95,277.35,200.6,373.7793173,378.8335367,282.15,278.451123,123
14,4,21,1,2016,8,293.15,294.65,324.1,279.85,277.25,174.8,529.2722587,566.154085,278.15,275.7411291,98
15,5,22,1,2016,9,292.85,294.85,325.7,280.85,277.85,204.5,714.46165,758.5987267,280.15,277.2805642,139
16,5,22,1,2016,10,294.85,297.35,326.6,281.35,277.95,204.5,809.7232033,950.8686833,281.15,278.2121741,190
17,5,22,1,2016,11,294.85,297.35,328.3,281.85,277.95,204.7,929.708507,955.8180917,282.15,279.1437798,225
18,6,23,1,2016,9,294.85,296.15,323.3,279.35,277.45,203.8,450.9435047,489.4557243,283.15,280.5521242,134
19,7,24,1,2016,11,295.05,296.85,328.1,280.25,277.65,204.8,620.1084587,687.769782,285.15,282.8734418,171
20,7,24,1,2016,23,294.55,295.95,324.8,279.75,277.65,204,498.90036,529.5517547,286.15,284.356133,141
21,1,25,1,2016,1,294.55,295.95,326.5,279.75,277.65,203.3,497.188447,532.3234233,286.15,284.356133,132
22,1,25,1,2016,2,294.55,295.95,323.8,279.75,277.65,203.1,496.699329,527.9213613,286.15,284.356133,131
23,1,25,1,2016,10,295.15,296.75,323.2,279.95,277.85,203.2,496.943888,602.2207147,288.15,285.8536912,213
24,4,28,1,2016,9,294.45,296.65,323,280.85,277.85,201.9,705.37803,827.5410733,283.15,281.422573,149
25,4,28,1,2016,10,294.95,297.55,323.7,281.35,277.85,203,827.4246167,980.122598,285.15,282.8734418,206
26,6,30,1,2016,7,294.05,295.45,327.2,279.65,277.75,207.6,459.351676,533.4646987,283.15,280.5521242,131
27,2,2,2,2016,12,294.95,297.65,323.8,281.85,278.05,208.3,921.8010993,1018.134054,288.15,284.9226322,137
28,2,2,2,2016,13,294.95,297.65,324.3,281.35,277.55,208.8,924.013776,1019.706219,288.15,284.9226322,239
29,5,12,2,2016,16,296.05,298.05,329.7,280.55,277.75,201.9,658.352828,767.91526,290.15,286.2914044,174
30,5,12,2,2016,17,296.55,298.05,323,280.05,277.75,202.6,542.6647753,564.23255,289.15,286.3429656,172
31,5,12,2,2016,19,296.55,298.05,329.3,280.05,277.75,202.9,543.4683263,575.237705,288.15,286.3118296,174
32,7,14,2,2016,16,295.45,297.15,329.2,280.15,277.65,203.9,593.6378583,651.7380893,288.15,283.9623018,162
33,2,16,2,2016,10,294.15,296.55,327.5,281.35,277.85,201.2,820.0878467,915.3494,283.15,277.3207339,162
34,3,23,3,2016,11,297.05,299.55,327.8,281.65,277.65,203.3,947.0256133,954.3623833,288.15,281.7689037,223
35,3,23,3,2016,13,296.65,298.65,318.6,281.65,277.85,154.1,681.9469487,742.06188,288.15,282.4297721,141
36,4,24,3,2016,8,295.55,297.65,326.5,280.65,277.85,203.1,662.265772,798.485135,284.15,279.3088963,171
37,5,25,3,2016,11,294.85,296.65,328.6,280.35,277.45,203.6,687.6067427,688.817892,288.15,283.9623018,113
38,6,26,3,2016,9,296.35,299.35,329.2,282.05,277.65,207.6,1063.761776,1150.12604,287.15,284.8883821,196
39,7,27,3,2016,12,296.05,297.25,322.7,279.35,277.75,203.2,378.6239147,450.966796,289.15,285.3691949,157
40,7,27,3,2016,14,296.55,298.15,324,279.85,277.95,205.4,454.4837873,603.71136,288.15,284.4469819,151
41,1,28,3,2016,2,295.55,296.95,324.8,279.85,277.85,204.4,476.0748533,529.5517547,285.15,282.8734418,129
42,1,28,3,2016,9,296.45,298.85,327.3,281.55,277.85,206.8,891.0798307,914.790408,286.15,282.9589004,163
43,1,28,3,2016,10,296.45,297.85,325.5,279.95,277.85,204.9,501.101391,530.69303,289.15,283.7167881,173
44,4,31,3,2016,0,296.65,297.55,320.2,278.85,277.55,202.4,306.4207813,335.604822,287.15,284.3487208,140
45,4,31,3,2016,1,296.65,297.55,329.7,278.85,277.55,203.9,308.6916863,345.561867,286.15,283.399576,125
46,4,31,3,2016,2,296.65,297.55,326.3,278.85,277.55,204.5,309.6000483,341.998293,285.15,284.467696,124
47,4,31,3,2016,9,295.15,296.25,327.6,279.25,277.55,204.3,404.465649,419.663244,288.15,285.3910401,110
48,4,31,3,2016,14,297.05,299.55,324.1,281.55,277.85,207.9,895.819617,943.5901417,289.15,286.8189981,228.5
49,4,31,3,2016,16,296.95,300.25,324.8,282.25,277.85,209,1070.935507,1248.229136,294.15,284.9754733,274
50,5,1,4,2016,0,296.55,298.45,326.7,280.45,277.85,202.2,612.235988,722.881467,286.15,283.9230707,182
51,5,1,4,2016,1,296.55,297.95,323.2,279.95,277.85,202.9,496.210211,526.9431253,286.15,283.9230707,165
52,5,1,4,2016,2,296.55,298.05,324,279.95,277.85,203.2,496.943888,565.9794,286.15,283.9230707,154
