Day of week,Date,Month,Year ,Hour,tcond_in,tcond_out,mcond,tevap_in,tevap_out,mevap,elect,qe,qc,qe-qc,cop
5,15,1,2016,7,292.95,294.35,320.2,279.75,277.95,207.4,434.756028,522.0519453,87.29591733,130,3.344277138
5,15,1,2016,10,294.95,297.55,323.7,280.95,277.75,206.8,770.6636373,980.122598,209.4589607,217,3.551445333
5,15,1,2016,11,294.95,297.05,324.6,280.95,277.75,210.7,785.1974293,793.838514,8.641084667,205,3.830231363
6,16,1,2016,11,293.15,295.75,326.2,281.45,277.85,207.6,870.350544,987.6922813,117.3417373,171,5.089769263
6,16,1,2016,12,294.65,297.25,327.3,281.45,277.85,207.1,868.254324,991.022942,122.768618,213,4.07631138
6,16,1,2016,13,294.65,297.25,327.6,281.45,277.85,205.2,860.288688,991.931304,131.642616,212,4.057965509
6,16,1,2016,14,294.65,297.25,326.7,281.45,277.85,203.8,854.419272,989.206218,134.786946,228,3.747452947
6,16,1,2016,15,294.65,296.75,324.8,280.95,277.85,206.6,745.8583673,794.327632,48.46926467,200,3.729291837
6,16,1,2016,16,294.65,296.75,325.5,280.95,277.85,206.6,745.8583673,796.039545,50.18117767,191,3.90501763
6,16,1,2016,17,294.15,296.25,325.2,280.45,277.85,208.8,632.219952,795.305868,163.085916,179,3.531955039
7,17,1,2016,12,294.15,295.65,326.2,279.95,277.85,203.1,496.699329,569.82247,73.123141,132,3.762873705
7,17,1,2016,13,294.65,296.15,329.5,279.95,277.85,201.5,492.786385,575.587075,82.80069,147,3.352288333
7,17,1,2016,17,294.65,295.65,323.7,278.95,277.35,199.6,371.9160107,376.97023,5.054219333,122,3.048491891
7,17,1,2016,18,294.65,295.65,325.3,278.95,277.35,200.6,373.7793173,378.8335367,5.054219333,123,3.038856238
4,21,1,2016,8,293.15,294.65,324.1,279.85,277.25,174.8,529.2722587,566.154085,36.88182633,98,5.400737333
5,22,1,2016,9,292.85,294.85,325.7,280.85,277.85,204.5,714.46165,758.5987267,44.13707667,139,5.140011871
5,22,1,2016,10,294.85,297.35,326.6,281.35,277.95,204.5,809.7232033,950.8686833,141.14548,190,4.26170107
5,22,1,2016,11,294.85,297.35,328.3,281.85,277.95,204.7,929.708507,955.8180917,26.10958467,225,4.132037809
6,23,1,2016,9,294.85,296.15,323.3,279.35,277.45,203.8,450.9435047,489.4557243,38.51221967,134,3.365250035
7,24,1,2016,11,295.05,296.85,328.1,280.25,277.65,204.8,620.1084587,687.769782,67.66132333,171,3.626365255
7,24,1,2016,23,294.55,295.95,324.8,279.75,277.65,204,498.90036,529.5517547,30.65139467,141,3.538300426
1,25,1,2016,1,294.55,295.95,326.5,279.75,277.65,203.3,497.188447,532.3234233,35.13497633,132,3.766579144
1,25,1,2016,2,294.55,295.95,323.8,279.75,277.65,203.1,496.699329,527.9213613,31.22203233,131,3.791597931
1,25,1,2016,10,295.15,296.75,323.2,279.95,277.85,203.2,496.943888,602.2207147,105.2768267,213,2.333069897
4,28,1,2016,9,294.45,296.65,323,280.85,277.85,201.9,705.37803,827.5410733,122.1630433,149,4.734080738
4,28,1,2016,10,294.95,297.55,323.7,281.35,277.85,203,827.4246167,980.122598,152.6979813,206,4.016624353
6,30,1,2016,7,294.05,295.45,327.2,279.65,277.75,207.6,459.351676,533.4646987,74.11302267,131,3.506501344
2,2,2,2016,12,294.95,297.65,323.8,281.85,278.05,208.3,921.8010993,1018.134054,96.33295467,137,6.728475178
2,2,2,2016,13,294.95,297.65,324.3,281.35,277.55,208.8,924.013776,1019.706219,95.692443,239,3.866166427
5,12,2,2016,16,296.05,298.05,329.7,280.55,277.75,201.9,658.352828,767.91526,109.562432,174,3.783636943
5,12,2,2016,17,296.55,298.05,323,280.05,277.75,202.6,542.6647753,564.23255,21.56777467,172,3.155027764
5,12,2,2016,19,296.55,298.05,329.3,280.05,277.75,202.9,543.4683263,575.237705,31.76937867,174,3.123381186
7,14,2,2016,16,295.45,297.15,329.2,280.15,277.65,203.9,593.6378583,651.7380893,58.100231,162,3.664431224
2,16,2,2016,10,294.15,296.55,327.5,281.35,277.85,201.2,820.0878467,915.3494,95.26155333,162,5.062270658
3,23,3,2016,11,297.05,299.55,327.8,281.65,277.65,203.3,947.0256133,954.3623833,7.33677,223,4.246751629
3,23,3,2016,13,296.65,298.65,318.6,281.65,277.85,154.1,681.9469487,742.06188,60.11493133,141,4.836503182
4,24,3,2016,8,295.55,297.65,326.5,280.65,277.85,203.1,662.265772,798.485135,136.219363,171,3.872899251
5,25,3,2016,11,294.85,296.65,328.6,280.35,277.45,203.6,687.6067427,688.817892,1.211149333,113,6.085015422
6,26,3,2016,9,296.35,299.35,329.2,282.05,277.65,207.6,1063.761776,1150.12604,86.364264,196,5.427356
7,27,3,2016,12,296.05,297.25,322.7,279.35,277.75,203.2,378.6239147,450.966796,72.34288133,157,2.411617291
7,27,3,2016,14,296.55,298.15,324,279.85,277.95,205.4,454.4837873,603.71136,149.2275727,151,3.009826406
1,28,3,2016,2,295.55,296.95,324.8,279.85,277.85,204.4,476.0748533,529.5517547,53.47690133,129,3.690502739
1,28,3,2016,9,296.45,298.85,327.3,281.55,277.85,206.8,891.0798307,914.790408,23.71057733,163,5.466747427
