Marca temporal;001 - Planta Biomasa Electricidad.AGUA TORRES BIOMASA (m3)
01/01/2015 0:00:00;114
02/01/2015 0:00:00;143
03/01/2015 0:00:00;64
04/01/2015 0:00:00;151
05/01/2015 0:00:00;159
06/01/2015 0:00:00;205
07/01/2015 0:00:00;182
08/01/2015 0:00:00;63
09/01/2015 0:00:00;34
10/01/2015 0:00:00;41
11/01/2015 0:00:00;59
12/01/2015 0:00:00;40
13/01/2015 0:00:00;77
14/01/2015 0:00:00;101
15/01/2015 0:00:00;129
16/01/2015 0:00:00;102
17/01/2015 0:00:00;94
18/01/2015 0:00:00;67
19/01/2015 0:00:00;96
20/01/2015 0:00:00;15
21/01/2015 0:00:00;39
22/01/2015 0:00:00;50
23/01/2015 0:00:00;66
24/01/2015 0:00:00;56
25/01/2015 0:00:00;75
26/01/2015 0:00:00;133
27/01/2015 0:00:00;68
28/01/2015 0:00:00;91
29/01/2015 0:00:00;91
30/01/2015 0:00:00;116
31/01/2015 0:00:00;150
01/02/2015 0:00:00;103
02/02/2015 0:00:00;103
03/02/2015 0:00:00;62
04/02/2015 0:00:00;33
05/02/2015 0:00:00;15
06/02/2015 0:00:00;44
07/02/2015 0:00:00;31
08/02/2015 0:00:00;59
09/02/2015 0:00:00;89
10/02/2015 0:00:00;65
11/02/2015 0:00:00;86
12/02/2015 0:00:00;133
13/02/2015 0:00:00;196
14/02/2015 0:00:00;157
15/02/2015 0:00:00;126
16/02/2015 0:00:00;143
17/02/2015 0:00:00;121
18/02/2015 0:00:00;150
19/02/2015 0:00:00;133
20/02/2015 0:00:00;101
21/02/2015 0:00:00;83
22/02/2015 0:00:00;104
23/02/2015 0:00:00;128
24/02/2015 0:00:00;110
25/02/2015 0:00:00;116
26/02/2015 0:00:00;123
27/02/2015 0:00:00;127
28/02/2015 0:00:00;150
01/03/2015 0:00:00;103
02/03/2015 0:00:00;182
03/03/2015 0:00:00;166
04/03/2015 0:00:00;169
05/03/2015 0:00:00;108
06/03/2015 0:00:00;106
07/03/2015 0:00:00;121
08/03/2015 0:00:00;133
09/03/2015 0:00:00;141
10/03/2015 0:00:00;115
11/03/2015 0:00:00;146
12/03/2015 0:00:00;150
13/03/2015 0:00:00;163
14/03/2015 0:00:00;161
15/03/2015 0:00:00;118
16/03/2015 0:00:00;109
17/03/2015 0:00:00;73
18/03/2015 0:00:00;112
19/03/2015 0:00:00;28
20/03/2015 0:00:00;219
21/03/2015 0:00:00;107
22/03/2015 0:00:00;120
23/03/2015 0:00:00;140
24/03/2015 0:00:00;119
25/03/2015 0:00:00;86
26/03/2015 0:00:00;99
27/03/2015 0:00:00;105
28/03/2015 0:00:00;142
29/03/2015 0:00:00;169
30/03/2015 0:00:00;190
31/03/2015 0:00:00;192
01/04/2015 0:00:00;185
02/04/2015 0:00:00;179
03/04/2015 0:00:00;174
04/04/2015 0:00:00;169
05/04/2015 0:00:00;181
06/04/2015 0:00:00;176
07/04/2015 0:00:00;165
08/04/2015 0:00:00;118
09/04/2015 0:00:00;124
10/04/2015 0:00:00;21
11/04/2015 0:00:00;0
12/04/2015 0:00:00;0
13/04/2015 0:00:00;53
14/04/2015 0:00:00;211
15/04/2015 0:00:00;178
16/04/2015 0:00:00;184
17/04/2015 0:00:00;200
18/04/2015 0:00:00;204
19/04/2015 0:00:00;195
20/04/2015 0:00:00;195
21/04/2015 0:00:00;186
22/04/2015 0:00:00;200
23/04/2015 0:00:00;184
24/04/2015 0:00:00;203
25/04/2015 0:00:00;209
26/04/2015 0:00:00;199
27/04/2015 0:00:00;200
28/04/2015 0:00:00;205
29/04/2015 0:00:00;201
30/04/2015 0:00:00;204
01/05/2015 0:00:00;196
02/05/2015 0:00:00;200
03/05/2015 0:00:00;198
04/05/2015 0:00:00;212
05/05/2015 0:00:00;195
06/05/2015 0:00:00;201
07/05/2015 0:00:00;199
08/05/2015 0:00:00;193
09/05/2015 0:00:00;192
10/05/2015 0:00:00;191
11/05/2015 0:00:00;228
12/05/2015 0:00:00;197
13/05/2015 0:00:00;203
14/05/2015 0:00:00;205
15/05/2015 0:00:00;198
16/05/2015 0:00:00;203
17/05/2015 0:00:00;204
18/05/2015 0:00:00;155
19/05/2015 0:00:00;0
20/05/2015 0:00:00;0
21/05/2015 0:00:00;0
22/05/2015 0:00:00;40
23/05/2015 0:00:00;0
24/05/2015 0:00:00;0
25/05/2015 0:00:00;0
26/05/2015 0:00:00;0
27/05/2015 0:00:00;0
28/05/2015 0:00:00;0
29/05/2015 0:00:00;83
30/05/2015 0:00:00;182
31/05/2015 0:00:00;202
01/06/2015 0:00:00;214
02/06/2015 0:00:00;211
03/06/2015 0:00:00;205
04/06/2015 0:00:00;217
05/06/2015 0:00:00;219
06/06/2015 0:00:00;294
07/06/2015 0:00:00;149
08/06/2015 0:00:00;210
09/06/2015 0:00:00;225
10/06/2015 0:00:00;224
11/06/2015 0:00:00;214
12/06/2015 0:00:00;209
13/06/2015 0:00:00;204
14/06/2015 0:00:00;202
15/06/2015 0:00:00;227
16/06/2015 0:00:00;190
17/06/2015 0:00:00;198
18/06/2015 0:00:00;176
19/06/2015 0:00:00;213
20/06/2015 0:00:00;195
21/06/2015 0:00:00;210
22/06/2015 0:00:00;213
23/06/2015 0:00:00;213
24/06/2015 0:00:00;211
25/06/2015 0:00:00;220
26/06/2015 0:00:00;221
27/06/2015 0:00:00;220
28/06/2015 0:00:00;218
29/06/2015 0:00:00;224
30/06/2015 0:00:00;40
01/07/2015 0:00:00;242
02/07/2015 0:00:00;228
03/07/2015 0:00:00;222
04/07/2015 0:00:00;237
05/07/2015 0:00:00;207
06/07/2015 0:00:00;245
07/07/2015 0:00:00;250
08/07/2015 0:00:00;252
09/07/2015 0:00:00;220
10/07/2015 0:00:00;228
11/07/2015 0:00:00;231
12/07/2015 0:00:00;228
13/07/2015 0:00:00;226
14/07/2015 0:00:00;227
15/07/2015 0:00:00;227
16/07/2015 0:00:00;239
17/07/2015 0:00:00;234
18/07/2015 0:00:00;135
19/07/2015 0:00:00;157
20/07/2015 0:00:00;233
21/07/2015 0:00:00;205
22/07/2015 0:00:00;237
23/07/2015 0:00:00;221
24/07/2015 0:00:00;229
25/07/2015 0:00:00;248
26/07/2015 0:00:00;193
27/07/2015 0:00:00;232
28/07/2015 0:00:00;217
29/07/2015 0:00:00;230
30/07/2015 0:00:00;224
31/07/2015 0:00:00;203
01/08/2015 0:00:00;219
02/08/2015 0:00:00;210
03/08/2015 0:00:00;166
04/08/2015 0:00:00;14
05/08/2015 0:00:00;210
06/08/2015 0:00:00;221
07/08/2015 0:00:00;289
08/08/2015 0:00:00;153
09/08/2015 0:00:00;216
10/08/2015 0:00:00;226
11/08/2015 0:00:00;216
12/08/2015 0:00:00;225
13/08/2015 0:00:00;240
14/08/2015 0:00:00;205
15/08/2015 0:00:00;218
16/08/2015 0:00:00;211
17/08/2015 0:00:00;211
18/08/2015 0:00:00;211
19/08/2015 0:00:00;197
20/08/2015 0:00:00;229
21/08/2015 0:00:00;194
22/08/2015 0:00:00;212
23/08/2015 0:00:00;219
24/08/2015 0:00:00;214
25/08/2015 0:00:00;227
26/08/2015 0:00:00;214
27/08/2015 0:00:00;213
28/08/2015 0:00:00;69
29/08/2015 0:00:00;71
30/08/2015 0:00:00;207
31/08/2015 0:00:00;215
01/09/2015 0:00:00;226
02/09/2015 0:00:00;216
03/09/2015 0:00:00;214
04/09/2015 0:00:00;200
05/09/2015 0:00:00;204
06/09/2015 0:00:00;206
07/09/2015 0:00:00;205
08/09/2015 0:00:00;198
09/09/2015 0:00:00;205
10/09/2015 0:00:00;194
11/09/2015 0:00:00;213
12/09/2015 0:00:00;200
13/09/2015 0:00:00;204
14/09/2015 0:00:00;212
15/09/2015 0:00:00;214
16/09/2015 0:00:00;213
17/09/2015 0:00:00;213
18/09/2015 0:00:00;217
19/09/2015 0:00:00;211
20/09/2015 0:00:00;214
21/09/2015 0:00:00;205
22/09/2015 0:00:00;206
23/09/2015 0:00:00;195
24/09/2015 0:00:00;125
25/09/2015 0:00:00;0
26/09/2015 0:00:00;0
27/09/2015 0:00:00;0
28/09/2015 0:00:00;0
29/09/2015 0:00:00;7
30/09/2015 0:00:00;4
01/10/2015 0:00:00;4
02/10/2015 0:00:00;4
03/10/2015 0:00:00;4
04/10/2015 0:00:00;5
05/10/2015 0:00:00;5
06/10/2015 0:00:00;0
07/10/2015 0:00:00;0
08/10/2015 0:00:00;14
09/10/2015 0:00:00;0
10/10/2015 0:00:00;22
11/10/2015 0:00:00;120
12/10/2015 0:00:00;225
13/10/2015 0:00:00;212
14/10/2015 0:00:00;221
15/10/2015 0:00:00;197
16/10/2015 0:00:00;202
17/10/2015 0:00:00;203
18/10/2015 0:00:00;205
19/10/2015 0:00:00;211
20/10/2015 0:00:00;205
21/10/2015 0:00:00;191
22/10/2015 0:00:00;62
23/10/2015 0:00:00;226
24/10/2015 0:00:00;210
25/10/2015 0:00:00;209
26/10/2015 0:00:00;222
27/10/2015 0:00:00;200
28/10/2015 0:00:00;178
29/10/2015 0:00:00;77
30/10/2015 0:00:00;320
31/10/2015 0:00:00;214
01/11/2015 0:00:00;206
02/11/2015 0:00:00;219
03/11/2015 0:00:00;213
04/11/2015 0:00:00;202
05/11/2015 0:00:00;210
06/11/2015 0:00:00;226
07/11/2015 0:00:00;211
08/11/2015 0:00:00;296
09/11/2015 0:00:00;139
10/11/2015 0:00:00;224
11/11/2015 0:00:00;223
12/11/2015 0:00:00;216
13/11/2015 0:00:00;207
14/11/2015 0:00:00;193
15/11/2015 0:00:00;239
16/11/2015 0:00:00;210
17/11/2015 0:00:00;175
18/11/2015 0:00:00;180
19/11/2015 0:00:00;181
20/11/2015 0:00:00;164
21/11/2015 0:00:00;185
22/11/2015 0:00:00;207
23/11/2015 0:00:00;126
24/11/2015 0:00:00;87
25/11/2015 0:00:00;104
26/11/2015 0:00:00;143
27/11/2015 0:00:00;147
28/11/2015 0:00:00;141
29/11/2015 0:00:00;162
30/11/2015 0:00:00;163
01/12/2015 0:00:00;116
02/12/2015 0:00:00;131
03/12/2015 0:00:00;111
04/12/2015 0:00:00;152
05/12/2015 0:00:00;133
06/12/2015 0:00:00;144
07/12/2015 0:00:00;178
08/12/2015 0:00:00;152
09/12/2015 0:00:00
10/12/2015 0:00:00;325
11/12/2015 0:00:00;127
12/12/2015 0:00:00;119
13/12/2015 0:00:00;135
14/12/2015 0:00:00;130
15/12/2015 0:00:00;120
16/12/2015 0:00:00;137
17/12/2015 0:00:00;169
18/12/2015 0:00:00;150
19/12/2015 0:00:00;138
20/12/2015 0:00:00;148
21/12/2015 0:00:00;169
22/12/2015 0:00:00;148
23/12/2015 0:00:00;115
24/12/2015 0:00:00;141
25/12/2015 0:00:00;156
26/12/2015 0:00:00;181
27/12/2015 0:00:00;175
28/12/2015 0:00:00;139
29/12/2015 0:00:00;120
30/12/2015 0:00:00;137
31/12/2015 0:00:00;148
01/01/2016 0:00:00;132
02/01/2016 0:00:00;81
03/01/2016 0:00:00;6
04/01/2016 0:00:00;6
05/01/2016 0:00:00;15
06/01/2016 0:00:00;14
