Marca temporal;001 - Planta Biomasa Electricidad.ENERGIA ACTIVA EXPORTADA (kWh)
01/01/2015 0:00:00;1820
01/01/2015 1:00:00;1810
01/01/2015 2:00:00;1840
01/01/2015 3:00:00;1820
01/01/2015 4:00:00;1820
01/01/2015 5:00:00;1800
01/01/2015 6:00:00;1830
01/01/2015 7:00:00;1830
01/01/2015 8:00:00;1830
01/01/2015 9:00:00;1810
01/01/2015 10:00:00;1830
01/01/2015 11:00:00;1830
01/01/2015 12:00:00;1820
01/01/2015 13:00:00;1820
01/01/2015 14:00:00;1810
01/01/2015 15:00:00;1820
01/01/2015 16:00:00;1820
01/01/2015 17:00:00;1800
01/01/2015 18:00:00;1010
01/01/2015 19:00:00;1200
01/01/2015 20:00:00;1160
01/01/2015 21:00:00;1160
01/01/2015 22:00:00;1180
01/01/2015 23:00:00;1180
02/01/2015 0:00:00;1170
02/01/2015 1:00:00;1140
02/01/2015 2:00:00;1150
02/01/2015 3:00:00;1160
02/01/2015 4:00:00;1140
02/01/2015 5:00:00;1160
02/01/2015 6:00:00;1150
02/01/2015 7:00:00
02/01/2015 8:00:00;2310
02/01/2015 9:00:00;1170
02/01/2015 10:00:00;1140
02/01/2015 11:00:00;1120
02/01/2015 12:00:00;1170
02/01/2015 13:00:00;1430
02/01/2015 14:00:00;1440
02/01/2015 15:00:00;1720
02/01/2015 16:00:00;1600
02/01/2015 17:00:00;1590
02/01/2015 18:00:00;1540
02/01/2015 19:00:00;1470
02/01/2015 20:00:00;1290
02/01/2015 21:00:00;1400
02/01/2015 22:00:00;1440
02/01/2015 23:00:00;1390
03/01/2015 0:00:00;1140
03/01/2015 1:00:00;1140
03/01/2015 2:00:00;1150
03/01/2015 3:00:00
03/01/2015 4:00:00;2300
03/01/2015 5:00:00;1160
03/01/2015 6:00:00;1160
03/01/2015 7:00:00;1150
03/01/2015 8:00:00;1170
03/01/2015 9:00:00;990
03/01/2015 10:00:00;720
03/01/2015 11:00:00;1430
03/01/2015 12:00:00;1790
03/01/2015 13:00:00;1820
03/01/2015 14:00:00;1810
03/01/2015 15:00:00;1820
03/01/2015 16:00:00;1800
03/01/2015 17:00:00;1820
03/01/2015 18:00:00;1820
03/01/2015 19:00:00;1830
03/01/2015 20:00:00;1730
03/01/2015 21:00:00;1830
03/01/2015 22:00:00;1830
03/01/2015 23:00:00;1830
04/01/2015 0:00:00;1810
04/01/2015 1:00:00;1190
04/01/2015 2:00:00;1130
04/01/2015 3:00:00;1290
04/01/2015 4:00:00;1470
04/01/2015 5:00:00;1470
04/01/2015 6:00:00;1450
04/01/2015 7:00:00;1230
04/01/2015 8:00:00;1370
04/01/2015 9:00:00;1330
04/01/2015 10:00:00;1510
04/01/2015 11:00:00;1520
04/01/2015 12:00:00;1820
04/01/2015 13:00:00;1820
04/01/2015 14:00:00;1810
04/01/2015 15:00:00
04/01/2015 16:00:00;3600
04/01/2015 17:00:00;1830
04/01/2015 18:00:00;1820
04/01/2015 19:00:00;1820
04/01/2015 20:00:00;1810
04/01/2015 21:00:00;1760
04/01/2015 22:00:00;1810
04/01/2015 23:00:00;1780
05/01/2015 0:00:00;1810
05/01/2015 1:00:00;1810
05/01/2015 2:00:00;1820
05/01/2015 3:00:00;1820
05/01/2015 4:00:00;1830
05/01/2015 5:00:00;1820
05/01/2015 6:00:00;1810
05/01/2015 7:00:00;1800
05/01/2015 8:00:00;1820
05/01/2015 9:00:00;1810
05/01/2015 10:00:00;1810
05/01/2015 11:00:00;1750
05/01/2015 12:00:00;1780
05/01/2015 13:00:00;1830
05/01/2015 14:00:00;1820
05/01/2015 15:00:00;1790
05/01/2015 16:00:00;1810
05/01/2015 17:00:00;1820
05/01/2015 18:00:00;1810
05/01/2015 19:00:00;1820
05/01/2015 20:00:00
05/01/2015 21:00:00;3620
05/01/2015 22:00:00;1810
05/01/2015 23:00:00;1820
06/01/2015 0:00:00;1800
06/01/2015 1:00:00;1840
06/01/2015 2:00:00;1830
06/01/2015 3:00:00;1830
06/01/2015 4:00:00;1800
06/01/2015 5:00:00;1820
06/01/2015 6:00:00;1830
06/01/2015 7:00:00;1830
06/01/2015 8:00:00;1820
06/01/2015 9:00:00;1820
06/01/2015 10:00:00;1820
06/01/2015 11:00:00;1830
06/01/2015 12:00:00;1830
06/01/2015 13:00:00;1830
06/01/2015 14:00:00;1820
06/01/2015 15:00:00;1830
06/01/2015 16:00:00;1820
06/01/2015 17:00:00;1810
06/01/2015 18:00:00;1840
06/01/2015 19:00:00;1740
06/01/2015 20:00:00;1330
06/01/2015 21:00:00;1280
06/01/2015 22:00:00;1140
06/01/2015 23:00:00;1150
07/01/2015 0:00:00;990
07/01/2015 1:00:00;1150
07/01/2015 2:00:00;1170
07/01/2015 3:00:00;1170
07/01/2015 4:00:00;1190
07/01/2015 5:00:00;1160
07/01/2015 6:00:00;1160
07/01/2015 7:00:00;1160
07/01/2015 8:00:00;1150
07/01/2015 9:00:00;1130
07/01/2015 10:00:00;1130
07/01/2015 11:00:00;1170
07/01/2015 12:00:00
07/01/2015 13:00:00;2660
07/01/2015 14:00:00;1560
07/01/2015 15:00:00;1790
07/01/2015 16:00:00;1590
07/01/2015 17:00:00;1790
07/01/2015 18:00:00;1280
07/01/2015 19:00:00;1320
07/01/2015 20:00:00;1300
07/01/2015 21:00:00;1280
07/01/2015 22:00:00;1250
07/01/2015 23:00:00;1160
08/01/2015 0:00:00;1180
