Marca temporal;001 - Zona Franca Termico.ENERGIA ACTIVA CALOR SECUNDARIO (kWh)
01/01/2015 0:00:00;0
01/01/2015 1:00:00;21,32
01/01/2015 2:00:00;21,21
01/01/2015 3:00:00;20,8
01/01/2015 4:00:00;21
01/01/2015 5:00:00;21,05
01/01/2015 6:00:00;21,2
01/01/2015 7:00:00;21,16
01/01/2015 8:00:00;21,18
01/01/2015 9:00:00;21,3
01/01/2015 10:00:00;20,7
01/01/2015 11:00:00;20,39
01/01/2015 12:00:00;19,61
01/01/2015 13:00:00;18,93
01/01/2015 14:00:00;21,27
01/01/2015 15:00:00;20,95
01/01/2015 16:00:00;25,03
01/01/2015 17:00:00;31,77
01/01/2015 18:00:00;73,19
01/01/2015 19:00:00;80,33
01/01/2015 20:00:00;72,28
01/01/2015 21:00:00;72,3
01/01/2015 22:00:00;72,93
01/01/2015 23:00:00;78,07
02/01/2015 0:00:00;84,06
02/01/2015 1:00:00;74,89
02/01/2015 2:00:00;80,18
02/01/2015 3:00:00;85,04
02/01/2015 4:00:00;70,69
02/01/2015 5:00:00;66,19
02/01/2015 6:00:00;64,55
02/01/2015 7:00:00;65,47
02/01/2015 8:00:00;73,51
02/01/2015 9:00:00;68,72
02/01/2015 10:00:00;79,06
02/01/2015 11:00:00;75,02
02/01/2015 12:00:00;61,17
02/01/2015 13:00:00;43,12
02/01/2015 14:00:00;41,98
02/01/2015 15:00:00;29,09
02/01/2015 16:00:00;32,78
02/01/2015 17:00:00;31,65
02/01/2015 18:00:00;36,55
02/01/2015 19:00:00;41,79
02/01/2015 20:00:00;46,82
02/01/2015 21:00:00;44,78
02/01/2015 22:00:00;42,5
02/01/2015 23:00:00;44,92
03/01/2015 0:00:00;69,55
03/01/2015 1:00:00;62,87
03/01/2015 2:00:00;70,86
03/01/2015 3:00:00;73,45
03/01/2015 4:00:00;77,07
03/01/2015 5:00:00;83,37
03/01/2015 6:00:00;86
03/01/2015 7:00:00;78,9
03/01/2015 8:00:00;75,98
03/01/2015 9:00:00;77,86
03/01/2015 10:00:00;61,66
03/01/2015 11:00:00;43,35
03/01/2015 12:00:00;21,9
03/01/2015 13:00:00;21,78
03/01/2015 14:00:00;20,6
03/01/2015 15:00:00;15,98
03/01/2015 16:00:00;15,84
03/01/2015 17:00:00;15,88
03/01/2015 18:00:00;15,3
03/01/2015 19:00:00;15,19
03/01/2015 20:00:00;15,18
03/01/2015 21:00:00;15,32
03/01/2015 22:00:00;15,13
03/01/2015 23:00:00;15,39
04/01/2015 0:00:00;19,76
04/01/2015 1:00:00;55,47
04/01/2015 2:00:00;54,55
04/01/2015 3:00:00;46,65
04/01/2015 4:00:00;39,96
04/01/2015 5:00:00;39,09
04/01/2015 6:00:00;44,36
04/01/2015 7:00:00;57,73
04/01/2015 8:00:00;43,87
04/01/2015 9:00:00;47,65
04/01/2015 10:00:00;39,08
04/01/2015 11:00:00;37,07
04/01/2015 12:00:00;19,17
04/01/2015 13:00:00;18,31
04/01/2015 14:00:00;17,93
04/01/2015 15:00:00;17,02
04/01/2015 16:00:00;16,8
04/01/2015 17:00:00;16,95
04/01/2015 18:00:00;16,64
04/01/2015 19:00:00;15,2
04/01/2015 20:00:00;15,33
04/01/2015 21:00:00;24,11
04/01/2015 22:00:00;19,86
04/01/2015 23:00:00;25,33
05/01/2015 0:00:00;19,91
05/01/2015 1:00:00;19,78
05/01/2015 2:00:00;19,76
05/01/2015 3:00:00;19,92
05/01/2015 4:00:00;20,16
05/01/2015 5:00:00;20,17
05/01/2015 6:00:00;20,21
05/01/2015 7:00:00;20,42
05/01/2015 8:00:00;20,4
05/01/2015 9:00:00;20,36
05/01/2015 10:00:00;20,25
05/01/2015 11:00:00;30,14
05/01/2015 12:00:00;19,72
05/01/2015 13:00:00;19,33
05/01/2015 14:00:00;18,91
05/01/2015 15:00:00;19,25
05/01/2015 16:00:00;19,59
05/01/2015 17:00:00;20,04
05/01/2015 18:00:00;20,47
05/01/2015 19:00:00;20,74
05/01/2015 20:00:00;20,83
05/01/2015 21:00:00;20,09
05/01/2015 22:00:00;19,42
05/01/2015 23:00:00;15,1
06/01/2015 0:00:00;15,31
06/01/2015 1:00:00;15,16
06/01/2015 2:00:00;15,16
06/01/2015 3:00:00;15,13
06/01/2015 4:00:00;15,08
06/01/2015 5:00:00;15
06/01/2015 6:00:00;15,21
06/01/2015 7:00:00;15,07
06/01/2015 8:00:00;15,14
06/01/2015 9:00:00;15,09
06/01/2015 10:00:00;14,99
06/01/2015 11:00:00;15,1
06/01/2015 12:00:00;15,21
06/01/2015 13:00:00;15,02
06/01/2015 14:00:00;15,2
06/01/2015 15:00:00;15,1
06/01/2015 16:00:00;14,97
06/01/2015 17:00:00;15,17
06/01/2015 18:00:00;15,39
06/01/2015 19:00:00;26,76
06/01/2015 20:00:00;43,5
06/01/2015 21:00:00;57,32
06/01/2015 22:00:00;58,43
06/01/2015 23:00:00;41,66
07/01/2015 0:00:00;42,8
07/01/2015 1:00:00;67,08
07/01/2015 2:00:00;78,1
07/01/2015 3:00:00;63,69
07/01/2015 4:00:00;64,59
07/01/2015 5:00:00;70,34
07/01/2015 6:00:00;71,6
07/01/2015 7:00:00;72,25
07/01/2015 8:00:00;82,02
07/01/2015 9:00:00;72,27
07/01/2015 10:00:00;67,39
07/01/2015 11:00:00;64,61
07/01/2015 12:00:00;65,2
07/01/2015 13:00:00;42,98
07/01/2015 14:00:00;33,49
07/01/2015 15:00:00;22,72
07/01/2015 16:00:00;34,17
07/01/2015 17:00:00;26,06
07/01/2015 18:00:00;48,03
07/01/2015 19:00:00;47,79
07/01/2015 20:00:00;50,48
07/01/2015 21:00:00;51,68
07/01/2015 22:00:00;56,04
07/01/2015 23:00:00;60,37
08/01/2015 0:00:00;62,41
08/01/2015 1:00:00;71,2
08/01/2015 2:00:00;73,72
08/01/2015 3:00:00;73,21
08/01/2015 4:00:00;76,39
08/01/2015 5:00:00;78,02
08/01/2015 6:00:00;74,72
08/01/2015 7:00:00;71,14
08/01/2015 8:00:00;65,67
08/01/2015 9:00:00;65,69
08/01/2015 10:00:00;67,17
08/01/2015 11:00:00;70,04
08/01/2015 12:00:00;65,64
08/01/2015 13:00:00;33,04
08/01/2015 14:00:00;24,86
08/01/2015 15:00:00;31,7
08/01/2015 16:00:00;30,4
08/01/2015 17:00:00;49,15
08/01/2015 18:00:00;48,38
08/01/2015 19:00:00;62,93
08/01/2015 20:00:00;63,78
08/01/2015 21:00:00;63,86
08/01/2015 22:00:00;62,31
08/01/2015 23:00:00;66,2
09/01/2015 0:00:00;71,57
09/01/2015 1:00:00;74,74
09/01/2015 2:00:00;78,11
09/01/2015 3:00:00;80,67
09/01/2015 4:00:00;77,49
09/01/2015 5:00:00;73,31
09/01/2015 6:00:00;73,5
09/01/2015 7:00:00;66,28
09/01/2015 8:00:00;64,81
09/01/2015 9:00:00;68,91
09/01/2015 10:00:00;74,64
09/01/2015 11:00:00;70,75
09/01/2015 12:00:00;67,57
09/01/2015 13:00:00;36,65
09/01/2015 14:00:00;26,4
09/01/2015 15:00:00;32,21
09/01/2015 16:00:00;20,26
09/01/2015 17:00:00;32,8
09/01/2015 18:00:00;40,2
09/01/2015 19:00:00;53,47
09/01/2015 20:00:00;51,84
09/01/2015 21:00:00;55,08
09/01/2015 22:00:00;53,94
09/01/2015 23:00:00;55,77
10/01/2015 0:00:00;76,2
10/01/2015 1:00:00;82,58
10/01/2015 2:00:00;25,33
10/01/2015 3:00:00;18,65
10/01/2015 4:00:00;18,57
10/01/2015 5:00:00;18,83
10/01/2015 6:00:00;18,74
10/01/2015 7:00:00;18,34
10/01/2015 8:00:00;19,5
10/01/2015 9:00:00;19,24
10/01/2015 10:00:00;18,87
10/01/2015 11:00:00;18,24
10/01/2015 12:00:00;11,24
10/01/2015 13:00:00;13,03
10/01/2015 14:00:00;12,73
10/01/2015 15:00:00;12,16
10/01/2015 16:00:00;11,22
10/01/2015 17:00:00;11,12
10/01/2015 18:00:00;5,9
10/01/2015 19:00:00;7,35
10/01/2015 20:00:00;7,53
10/01/2015 21:00:00;7,27
10/01/2015 22:00:00;7,43
10/01/2015 23:00:00;7,28
11/01/2015 0:00:00;7,33
11/01/2015 1:00:00;7,32
