Marca temporal;001 - Zona Franca Termico.ENERGIA ACTIVA PRODUCCION C+90 ZF - Copia (kWh)
01/01/2015 0:00:00;0
01/01/2015 1:00:00;22,27
01/01/2015 2:00:00;22,07
01/01/2015 3:00:00;21,65
01/01/2015 4:00:00;21,95
01/01/2015 5:00:00;21,9
01/01/2015 6:00:00;22,16
01/01/2015 7:00:00;22,01
01/01/2015 8:00:00;22,13
01/01/2015 9:00:00;22,16
01/01/2015 10:00:00;21,54
01/01/2015 11:00:00;21,35
01/01/2015 12:00:00;20,46
01/01/2015 13:00:00;19,78
01/01/2015 14:00:00;22,22
01/01/2015 15:00:00;21,8
01/01/2015 16:00:00;26
01/01/2015 17:00:00;32,71
01/01/2015 18:00:00;76,16
01/01/2015 19:00:00;83,77
01/01/2015 20:00:00;73,13
01/01/2015 21:00:00;73,25
01/01/2015 22:00:00;73,78
01/01/2015 23:00:00;78,93
02/01/2015 0:00:00;85,59
02/01/2015 1:00:00;80,49
02/01/2015 2:00:00;81,04
02/01/2015 3:00:00;86,63
02/01/2015 4:00:00;75
02/01/2015 5:00:00;67,04
02/01/2015 6:00:00;68,37
02/01/2015 7:00:00;71,23
02/01/2015 8:00:00;79,78
02/01/2015 9:00:00;71,23
02/01/2015 10:00:00;80,02
02/01/2015 11:00:00;75,97
02/01/2015 12:00:00;62,12
02/01/2015 13:00:00;43,98
02/01/2015 14:00:00;42,83
02/01/2015 15:00:00;30,04
02/01/2015 16:00:00;33,63
02/01/2015 17:00:00;32,5
02/01/2015 18:00:00;37,4
02/01/2015 19:00:00;42,74
02/01/2015 20:00:00;47,68
02/01/2015 21:00:00;45,62
02/01/2015 22:00:00;43,46
02/01/2015 23:00:00;45,78
03/01/2015 0:00:00;70,39
03/01/2015 1:00:00;63,71
03/01/2015 2:00:00;73,98
03/01/2015 3:00:00;76,17
03/01/2015 4:00:00;77,93
03/01/2015 5:00:00;84,32
03/01/2015 6:00:00;86,84
03/01/2015 7:00:00;82,5
03/01/2015 8:00:00;77,87
03/01/2015 9:00:00;79,58
03/01/2015 10:00:00;66,46
03/01/2015 11:00:00;44,29
03/01/2015 12:00:00;22,86
03/01/2015 13:00:00;22,73
03/01/2015 14:00:00;21,55
03/01/2015 15:00:00;16,84
03/01/2015 16:00:00;16,69
03/01/2015 17:00:00;16,83
03/01/2015 18:00:00;16,16
03/01/2015 19:00:00;16,14
03/01/2015 20:00:00;16,03
03/01/2015 21:00:00;16,17
03/01/2015 22:00:00;16,09
03/01/2015 23:00:00;16,23
04/01/2015 0:00:00;20,61
