Marca temporal;001 - Zona Franca Termico.ENERGIA COGENERACION (kWh)
01/01/2015 0:00:00;0
01/01/2015 1:00:00;1507
01/01/2015 2:00:00;1515
01/01/2015 3:00:00;1456
01/01/2015 4:00:00;1423
01/01/2015 5:00:00;1500
01/01/2015 6:00:00;1508
01/01/2015 7:00:00;1516
01/01/2015 8:00:00;1535
01/01/2015 9:00:00;1528
01/01/2015 10:00:00;1424
01/01/2015 11:00:00;1344
01/01/2015 12:00:00;1115
01/01/2015 13:00:00;944
01/01/2015 14:00:00;908
01/01/2015 15:00:00;1461
01/01/2015 16:00:00;2458
01/01/2015 17:00:00;2403
01/01/2015 18:00:00;3901
01/01/2015 19:00:00;6892
01/01/2015 20:00:00;7266
01/01/2015 21:00:00;7307
01/01/2015 22:00:00;7316
01/01/2015 23:00:00;7314
02/01/2015 0:00:00;7282
02/01/2015 1:00:00;6987
02/01/2015 2:00:00;7288
02/01/2015 3:00:00;7313
02/01/2015 4:00:00;7240
02/01/2015 5:00:00;7342
02/01/2015 6:00:00;7333
02/01/2015 7:00:00;7319
02/01/2015 8:00:00;7287
02/01/2015 9:00:00;6843
02/01/2015 10:00:00;7277
02/01/2015 11:00:00;7259
02/01/2015 12:00:00;6968
02/01/2015 13:00:00;4835
02/01/2015 14:00:00;4532
02/01/2015 15:00:00;2634
02/01/2015 16:00:00;3218
02/01/2015 17:00:00;3195
02/01/2015 18:00:00;3830
02/01/2015 19:00:00;4506
02/01/2015 20:00:00;5086
02/01/2015 21:00:00;4916
02/01/2015 22:00:00;4669
02/01/2015 23:00:00;4797
03/01/2015 0:00:00;7211
03/01/2015 1:00:00;7297
03/01/2015 2:00:00;7054
03/01/2015 3:00:00;7317
03/01/2015 4:00:00;7379
03/01/2015 5:00:00;7373
03/01/2015 6:00:00;7349
03/01/2015 7:00:00;7116
03/01/2015 8:00:00;7110
03/01/2015 9:00:00;6834
03/01/2015 10:00:00;1892
03/01/2015 11:00:00;4650
03/01/2015 12:00:00;1546
03/01/2015 13:00:00;911
03/01/2015 14:00:00;687
03/01/2015 15:00:00;363
03/01/2015 16:00:00;346
03/01/2015 17:00:00;370
03/01/2015 18:00:00;202
03/01/2015 19:00:00;115
03/01/2015 20:00:00;124
03/01/2015 21:00:00;122
03/01/2015 22:00:00;118
03/01/2015 23:00:00;131
04/01/2015 0:00:00;134
04/01/2015 1:00:00;6446
04/01/2015 2:00:00;7180
04/01/2015 3:00:00;5850
04/01/2015 4:00:00;4492
04/01/2015 5:00:00;4400
04/01/2015 6:00:00;4545
04/01/2015 7:00:00;6001
04/01/2015 8:00:00;4489
04/01/2015 9:00:00;5366
04/01/2015 10:00:00;4096
04/01/2015 11:00:00;3679
04/01/2015 12:00:00;1323
04/01/2015 13:00:00;732
04/01/2015 14:00:00;568
04/01/2015 15:00:00;226
04/01/2015 16:00:00;125
04/01/2015 17:00:00;125
04/01/2015 18:00:00;133
04/01/2015 19:00:00;123
04/01/2015 20:00:00;121
04/01/2015 21:00:00;1718
04/01/2015 22:00:00;1184
04/01/2015 23:00:00;1652
05/01/2015 0:00:00;1585
05/01/2015 1:00:00;1194
05/01/2015 2:00:00;1206
05/01/2015 3:00:00;1233
05/01/2015 4:00:00;1332
05/01/2015 5:00:00;1297
05/01/2015 6:00:00;1354
05/01/2015 7:00:00;1402
05/01/2015 8:00:00;1453
05/01/2015 9:00:00;1389
05/01/2015 10:00:00;1336
05/01/2015 11:00:00;1931
05/01/2015 12:00:00;1805
05/01/2015 13:00:00;1183
05/01/2015 14:00:00;926
05/01/2015 15:00:00;869
05/01/2015 16:00:00;871
05/01/2015 17:00:00;876
05/01/2015 18:00:00;1132
05/01/2015 19:00:00;1176
05/01/2015 20:00:00;1152
05/01/2015 21:00:00;1105
05/01/2015 22:00:00;1056
05/01/2015 23:00:00;306
06/01/2015 0:00:00;135
06/01/2015 1:00:00;133
06/01/2015 2:00:00;124
06/01/2015 3:00:00;129
06/01/2015 4:00:00;132
06/01/2015 5:00:00;136
06/01/2015 6:00:00;135
06/01/2015 7:00:00;137
06/01/2015 8:00:00;123
06/01/2015 9:00:00;127
06/01/2015 10:00:00;138
06/01/2015 11:00:00;129
06/01/2015 12:00:00;123
06/01/2015 13:00:00;127
06/01/2015 14:00:00;119
06/01/2015 15:00:00;139
06/01/2015 16:00:00;121
06/01/2015 17:00:00;129
06/01/2015 18:00:00;128
06/01/2015 19:00:00;807
