Day of week;Date;Month;Year ;Hour;Ch1_Tin_cond;Ch1_Tout_cond;Ch1_mcond;Ch1_Tin_evap;Ch1_Tout_evap;Ch1_mevap;Ch1_power;Ch2_Tin_cond;Ch2_Tout_cond;Ch2_mcond;Ch2_Tin_evap;Ch2_Tout_evap;Ch2_mevap;Ch2_power;Ch3_Tin_cond;Ch3_Tout_cond;Ch3_mcond;Ch3_Tin_evap;Ch3_Tout_evap;Ch3_mevap;Ch3_power
5;1;1;2016;0;22,1;21,3;0;21,6;19,8;-0,1;1;19,7;19,3;1174;6,7;6,3;449,5;0;21,6;20,7;0;17,5;17,1;0;0
5;1;1;2016;1;22,6;21,3;0;21,6;19,8;-0,1;1;19,2;19,3;1186;6,7;6,3;443,6;0;21,6;20,7;0;17,5;17,1;0;0
5;1;1;2016;2;22,6;21,3;0;21,6;19,8;-0,1;2;19,2;19,3;0;6,7;6,8;0;0;21,6;20,7;0;17,5;17,1;0;0
5;1;1;2016;3;22,6;21,3;0;21,6;19,8;-0,1;1;19,2;19,3;0;6,7;7,3;0;0;21,6;20,7;0;17,5;17,6;0;0
5;1;1;2016;4;22,6;21,3;0;21,6;19,8;-0,1;1;19,2;19,3;0;6,7;7,8;0;0;21,6;20,7;0;17,5;17,6;0;0
5;1;1;2016;5;22,6;21,3;0;21,6;19,8;-0,1;1;19,2;19,3;0;6,7;7,8;0;0;21,6;20,7;0;18;17,6;0;0
5;1;1;2016;6;22,6;21,3;0;21,6;19,8;-0,1;2;19,2;19,3;0;7,2;8,8;0;0;21,6;20,7;0;18;17,6;0;0
5;1;1;2016;7;22,6;21,3;0;21,6;19,8;-0,1;1;19,2;19,3;0;7,2;8,8;0;0;21,6;20,7;0;18;17,6;0;0
5;1;1;2016;8;22,1;21,3;0;21,6;19,8;-0,1;1;19,7;19,7;1180,6;7,1;6,9;447,8;0;21,6;20,7;0;18;17,6;0;0
5;1;1;2016;9;22,1;21,3;0;21,6;19,8;-0,1;1;18,7;18,7;1180;7,1;6,9;450;0;21,6;20,7;0;18;17,6;0;0
5;1;1;2016;10;22,1;21,3;0;21,6;19,8;-0,1;2;18,2;17,7;1179;7,6;7,4;445,6;0;21,6;20,7;0;18;17,6;0;0
5;1;1;2016;11;22,1;21,3;0;21,6;19,8;-0,1;1;19,2;19,3;1181;6,9;6,5;445,5;0;21,6;20,7;0;18;17,6;0;0
5;1;1;2016;12;22,1;21,3;0;21,6;19,8;-0,1;1;19,7;19,3;1187,3;8,2;7,6;445,1;0;21,6;20,7;0;18;17,1;0;0
5;1;1;2016;13;22,1;21,3;0;21,6;19,8;-0,1;1;20,2;20,3;1184,3;6;4,8;446,5;0;21,6;20,7;0;18;17,1;0;0
5;1;1;2016;14;22,1;21,3;0;21,6;19,8;-0,1;2;21,2;21,3;1179,3;7;6,8;451,3;0;21,6;20,7;0;18;17,1;0;0
5;1;1;2016;15;22,1;21,3;0;21,6;19,8;-0,1;1;20,2;20,3;1177;8;7,8;444,3;0;21,6;20,7;0;18;17,1;0;0
5;1;1;2016;16;22,1;21,3;0;21,6;19,8;-0,1;1;19,7;19,3;1182;8;8;449,3;283;21,6;20,7;0;18;17,1;0;0
5;1;1;2016;17;22,1;21,3;0;21,6;19,8;-0,1;1;20,2;19,8;1176,6;7,5;7,1;451,1;0;21,6;20,7;0;18;17,1;0;0
5;1;1;2016;18;22,1;21,3;0;21,6;19,8;-0,1;1;19,2;19,3;1184;8;7,6;440,6;0;21,6;20,7;0;18;17,1;0;0
5;1;1;2016;19;22,1;21,3;0;21,6;19,8;-0,1;2;18,7;19,8;1183,3;7,5;5,1;464;0;21,6;20,7;0;18;17,1;0;0
5;1;1;2016;20;22,1;21,3;0;21,6;19,8;-0,1;1;19,7;19,8;1177,3;7;6,7;441,6;0;21,6;20,7;0;18;17,1;0;0
5;1;1;2016;21;22,1;21,3;0;21,6;19,8;-0,1;1;19,7;19,8;1182,6;7,9;7,3;441,6;0;21,6;20,7;0;18;17,1;0;0
5;1;1;2016;22;22,1;21,3;0;21,6;19,8;-0,1;1;20,7;20,9;1175,3;7,5;7,1;458,6;0;21,6;20,7;0;18;17,1;0;0
5;1;1;2016;23;22,1;21,3;0;21,6;19,8;-0,1;2;20,2;20,4;1180;8;7,6;440,8;0;21,6;20,7;0;18;17,1;0;0
6;2;1;2016;0;22,1;21,3;0;21,6;19,8;-0,1;1;20,7;20,3;1181,6;8;7,7;447;0;21,6;20,7;0;18;17,1;0;0
6;2;1;2016;1;22,1;21,3;0;21,6;19,8;-0,1;1;21,7;21,7;1174;7;6,5;449,5;125;21,6;20,7;0;18;17,1;0;0
6;2;1;2016;2;22,1;21,3;0;21,6;19,8;-0,1;1;21,2;20,7;0;8;8;0;0;21,6;20,7;0;18;17,1;0;0
6;2;1;2016;3;22,1;21,3;0;21,6;19,8;-0,1;2;21,2;20,7;0;8;8,5;0;0;21,6;20,7;0;18;17,1;0;0
6;2;1;2016;4;22,1;21,3;0;21,6;19,8;-0,1;1;21,2;20,7;0;8;9;0;0;21,6;20,7;0;18;17,6;0;0
6;2;1;2016;5;22,1;21,3;0;21,6;19,8;-0,1;1;21,2;20,7;0;8,5;9;0;0;21,6;20,7;0;18;17,6;0;0
6;2;1;2016;6;22,1;21,3;0;21,6;19,8;-0,1;1;21,2;20,7;0;8,5;9,5;0;0;21,6;20,7;0;18;17,6;0;0
6;2;1;2016;7;22,1;21,3;0;21,6;19,8;-0,1;1;21,2;20,7;0;8,5;10;0;0;21,6;20,7;0;18,5;17,6;0;0
6;2;1;2016;8;22,1;21,3;0;21,6;19,8;-0,1;2;21,6;22,3;1181;7;4,8;451;0;21,6;20,7;0;18,5;17,6;0;0
6;2;1;2016;9;22,1;21,3;0;21,6;19,8;-0,1;1;21,6;22,3;1182,3;7;5,3;450,5;453;21,6;20,7;0;18,5;17,6;0;0
6;2;1;2016;10;22,1;21,3;0;21,6;19,8;-0,1;1;21,6;22,3;1182,6;6,5;4,8;453;0;21,6;20,7;0;18,5;17,6;0;0
6;2;1;2016;11;22,1;21,3;0;21,6;19,8;-0,1;1;21,6;22,3;1182,6;7;5,3;452;507;21,6;20,7;0;18,5;17,6;0;0
