,Name,Unit,Value_0,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9,Value_10,Value_11,Value_12,Value_13,Value_14,Value_15,Value_16,Value_17,Value_18,Value_19,Value_20,Value_21,Value_22,Value_23
0,chiller1_wet_bulb_temp,deg C,22.47434912,22.47434912,22.47434912,22.07528905,20.53862231,19.01665621,18.45060888,19.39113708,19.84464425,22.09284342,23.2820209,23.2820209,23.78992925,23.78992925,24.22544387,24.22544387,23.78992925,23.78992925,23.78992925,23.78992925,23.44221012,23.44221012,23.44221012,23.44221012
1,chiller1_steps,-,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,chiller1_time_dependent_elect_tariff,euro/kWh,0.083603,0.063959,0.063959,0.063959,0.063959,0.063959,0.063959,0.063959,0.063959,0.083603,0.083603,0.083603,0.09551699999999999,0.09551699999999999,0.09551699999999999,0.083603,0.083603,0.083603,0.083603,0.09551699999999999,0.09551699999999999,0.09551699999999999,0.083603,0.083603
3,chiller2_wet_bulb_temp,deg C,22.47434912,22.47434912,22.47434912,22.07528905,20.53862231,19.01665621,18.45060888,19.39113708,19.84464425,22.09284342,23.2820209,23.2820209,23.78992925,23.78992925,24.22544387,24.22544387,23.78992925,23.78992925,23.78992925,23.78992925,23.44221012,23.44221012,23.44221012,23.44221012
4,chiller2_steps,-,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,chiller2_time_dependent_elect_tariff,euro/kWh,0.083603,0.063959,0.063959,0.063959,0.063959,0.063959,0.063959,0.063959,0.063959,0.083603,0.083603,0.083603,0.09551699999999999,0.09551699999999999,0.09551699999999999,0.083603,0.083603,0.083603,0.083603,0.09551699999999999,0.09551699999999999,0.09551699999999999,0.083603,0.083603
6,chiller3_wet_bulb_temp,deg C,22.47434912,22.47434912,22.47434912,22.07528905,20.53862231,19.01665621,18.45060888,19.39113708,19.84464425,22.09284342,23.2820209,23.2820209,23.78992925,23.78992925,24.22544387,24.22544387,23.78992925,23.78992925,23.78992925,23.78992925,23.44221012,23.44221012,23.44221012,23.44221012
7,chiller3_steps,-,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,chiller3_time_dependent_elect_tariff,euro/kWh,0.083603,0.063959,0.063959,0.063959,0.063959,0.063959,0.063959,0.063959,0.063959,0.083603,0.083603,0.083603,0.09551699999999999,0.09551699999999999,0.09551699999999999,0.083603,0.083603,0.083603,0.083603,0.09551699999999999,0.09551699999999999,0.09551699999999999,0.083603,0.083603
9,combined_substation_gv2_demand,kWh,499.1,499.1,104.3988991,16.4840367,14.65247706,16.4840367,14.65247706,16.4840367,815.0440367000001,499.1,998.2,1497.3,1996.4,1497.3,1996.4,1996.4,1996.4,1996.4,1996.4,1497.3,1996.4,1996.4,1996.4,998.2
