,nwk_choice,ice_1,ice_2,tro_1,tro_2,fir_1,fir_2,fir_3,p1_c0,p1_c1,p1_c2,p2_c0,p2_c1,p2_c2,p3_c0,p3_c1,p3_c2
0,0,1,0,1,0,1,0,0,-0.0001037875,0.0324647918,46.1796318122,-1.51451e-05,0.011923621,58.2250275059,-0.0001095722,0.0228923489,35.2618445622
1,0,1,0,1,0,0,1,0,-0.0001037875,0.0324647918,46.1796318122,-1.51451e-05,0.011923621,58.2250275059,-2.2009e-05,0.0091939614,34.0585340963
2,0,1,0,1,0,0,0,1,-0.0001037875,0.0324647918,46.1796318122,-1.51451e-05,0.011923621,58.2250275059,-2.2009e-05,0.0091939614,34.0585340963
3,0,1,0,0,1,1,0,0,-0.0001037875,0.0324647918,46.1796318122,-3.6319e-06,0.0002190621,73.1928514998,-0.0001095722,0.0228923489,35.2618445622
4,0,1,0,0,1,0,1,0,-0.0001037875,0.0324647918,46.1796318122,-3.6319e-06,0.0002190621,73.1928514998,-2.2009e-05,0.0091939614,34.0585340963
5,0,1,0,0,1,0,0,1,-0.0001037875,0.0324647918,46.1796318122,-3.6319e-06,0.0002190621,73.1928514998,-2.2009e-05,0.0091939614,34.0585340963
6,0,0,1,1,0,1,0,0,-2.42521e-05,0.0132106447,50.3198893609,-1.51451e-05,0.011923621,58.2250275059,-0.0001095722,0.0228923489,35.2618445622
7,0,0,1,1,0,0,1,0,-2.42521e-05,0.0132106447,50.3198893609,-1.51451e-05,0.011923621,58.2250275059,-2.2009e-05,0.0091939614,34.0585340963
8,0,0,1,1,0,0,0,1,-2.42521e-05,0.0132106447,50.3198893609,-1.51451e-05,0.011923621,58.2250275059,-2.2009e-05,0.0091939614,34.0585340963
9,0,0,1,0,1,1,0,0,-2.42521e-05,0.0132106447,50.3198893609,-3.6319e-06,0.0002190621,73.1928514998,-0.0001095722,0.0228923489,35.2618445622
10,0,0,1,0,1,0,1,0,-2.42521e-05,0.0132106447,50.3198893609,-3.6319e-06,0.0002190621,73.1928514998,-2.2009e-05,0.0091939614,34.0585340963
11,0,0,1,0,1,0,0,1,-2.42521e-05,0.0132106447,50.3198893609,-3.6319e-06,0.0002190621,73.1928514998,-2.2009e-05,0.0091939614,34.0585340963
12,1,1,0,0,0,1,0,0,-0.0001037875,0.0324647918,46.1796318122,-0.0001095722,0.0228923489,35.2618445622,0.0,0.0,0.0
13,1,1,0,0,0,0,1,0,-0.0001037875,0.0324647918,46.1796318122,-2.2009e-05,0.0091939614,34.0585340963,0.0,0.0,0.0
14,1,1,0,0,0,0,0,1,-0.0001037875,0.0324647918,46.1796318122,-2.2009e-05,0.0091939614,34.0585340963,0.0,0.0,0.0
15,1,0,1,0,0,1,0,0,-2.42521e-05,0.0132106447,50.3198893609,-0.0001095722,0.0228923489,35.2618445622,0.0,0.0,0.0
16,1,0,1,0,0,0,1,0,-2.42521e-05,0.0132106447,50.3198893609,-2.2009e-05,0.0091939614,34.0585340963,0.0,0.0,0.0
17,1,0,1,0,0,0,0,1,-2.42521e-05,0.0132106447,50.3198893609,-2.2009e-05,0.0091939614,34.0585340963,0.0,0.0,0.0
18,1,0,0,1,0,1,0,0,-1.51451e-05,0.011923621,58.2250275059,-0.0001095722,0.0228923489,35.2618445622,0.0,0.0,0.0
