load_(kW),elect_(kW),tin_evap_(K),tout_evap_(K),m_evap_(m3/h),tin_cond_(K),tout_cond_(K),m_cond_(m3/h)
2000,366.9,287.15,278.15,190.8,303.15,308.15,406.8
1800.1,289,286.25,278.15,190.8,300.85,305.25,406.8
1600,223.1,285.35,278.15,190.8,298.45,302.25,406.8
1400,170.2,284.45,278.15,190.8,296.15,299.45,406.8
1200,126.3,283.55,278.15,190.8,293.85,296.65,406.8
1000,90.4,282.65,278.15,190.8,291.45,293.75,406.8
800,75.8,281.75,278.15,190.8,291.45,293.25,406.8
600,64.3,280.85,278.15,190.8,291.45,292.85,406.8
400,53,279.95,278.15,190.8,291.45,292.35,406.8
200,37.2,279.05,278.15,190.8,291.45,291.95,406.8
