,Latitude,Longitude
0,1.380157,103.945848
1,1.405928,103.906483
2,1.404703,103.899902
3,1.39737,103.906914
4,1.381156,103.892224
5,1.375404,103.903088
6,1.362254,103.891371
7,1.356396,103.890883
8,1.351544,103.869137
9,1.35891,103.865373
10,1.350791,103.878613
11,1.374766,103.903449
12,1.373889,103.880458
13,1.376686,103.878379
14,1.391837,103.871171
15,1.392498,103.879982
16,1.393486,103.876906
17,1.405097,103.897702
18,1.401466,103.891431
19,1.404512,103.895781
20,1.402621,103.903747
21,1.400899,103.913153
22,1.401794,103.907165
23,1.40272,103.9053
24,1.394689,103.895101
25,1.380642,103.887884
26,1.379954,103.890429
27,1.376407,103.888346
28,1.371596,103.886021
29,1.376618,103.877382
30,1.377785,103.878288
31,1.360607,103.884597
32,1.361715,103.881767
33,1.355193,103.871312
34,1.355034,103.872578
35,1.354249,103.869862
