,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.0,1627.614,1659.736,1550.929,1602.57,1699.727,1684.736,1909.732,1706.078,1629.046,1577.938,1706.268,1737.216,1663.637
1,1570.161,0.0,309.4,288.8,318.6,281.0,248.4,832.324,407.0,356.6,293.8,408.0,359.4,318.2
2,1686.445,478.2,0.0,532.4,562.2,524.6,404.6,926.213,586.4,598.0,535.2,658.8,709.0,569.0
3,1528.66,306.8,261.0,0.0,390.8,353.2,327.8,883.199,358.6,313.4,250.6,480.2,463.4,390.4
4,1551.121,285.8,466.8,354.0,0.0,438.4,405.8,930.622,564.4,514.0,451.2,433.0,516.6,343.2
5,1555.26,203.6,384.6,364.0,287.6,0.0,323.6,880.581,482.2,431.8,369.0,483.2,434.4,393.4
6,1676.282,498.6,347.4,437.2,582.6,545.0,0.0,942.221,323.0,487.0,424.2,672.0,655.2,582.2
7,1748.836,610.0,614.0,673.4,694.0,656.4,530.2,0.0,711.6,829.941,660.4,667.0,904.505,577.2
8,1677.517,527.2,376.0,465.8,611.2,573.6,430.0,972.474,0.0,486.6,423.8,700.6,683.8,610.8
9,1579.57,402.2,340.8,286.2,486.2,448.6,420.2,935.607,438.4,0.0,218.8,575.6,558.8,485.8
10,1582.928,409.0,347.6,293.0,493.0,455.4,427.0,939.627,445.2,171.8,0.0,582.4,565.6,492.6
11,1625.037,354.0,428.8,408.2,438.0,400.4,375.0,909.852,526.4,476.0,413.2,0.0,584.8,102.0
12,1601.421,299.8,374.6,354.0,383.8,346.2,313.6,874.317,472.2,421.8,359.0,473.2,0.0,383.4
13,1624.559,353.0,427.8,407.2,437.0,399.4,374.0,911.548,525.4,475.0,412.2,191.0,583.8,0.0
