,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,0.0,462.6,1027.222,1049.086,985.98,983.244,993.026,863.44,840.216,939.172,1160.704,1286.771,1307.748,1242.158,1237.678,1251.71,1150.041,1156.841,994.272,941.75,929.671,622.2,849.584,678.4,720.0,675.8,706.8,832.06,1021.888,1032.097,1099.045,1029.329,1195.866,858.718,1278.613,932.524,1533.775
1,177.0,0.0,917.582,1029.323,872.429,869.401,880.206,584.6,548.6,899.615,1059.435,1189.879,1211.401,1143.958,1139.335,1153.809,1048.285,1055.398,881.704,712.4,692.2,432.0,563.0,488.2,529.8,485.6,516.4,536.0,911.79,922.864,994.612,919.986,1096.049,577.2,1181.498,697.2,1441.469
2,578.8,432.2,0.0,825.038,459.2,509.6,527.2,578.8,706.0,904.895,1143.538,1270.238,1291.296,1225.433,1220.932,1235.029,1132.806,1080.467,683.0,244.2,128.8,589.4,635.2,645.6,687.2,423.6,246.6,336.0,523.0,873.94,933.592,972.819,1095.406,837.463,1262.048,910.458,1489.272
3,1049.086,1029.323,825.038,0.0,421.617,630.693,584.84,759.178,934.014,1013.336,2096.853,1912.367,1757.188,1552.374,2178.866,2180.401,1583.635,639.587,373.763,739.504,809.404,923.008,879.443,869.136,957.174,737.485,870.535,1014.287,321.392,258.707,263.525,803.282,1012.312,1021.347,1717.061,977.677,3073.72
4,919.866,719.6,677.8,421.617,0.0,293.8,401.2,663.6,893.479,1116.391,1151.297,1274.478,1283.852,1175.898,1228.498,1242.565,1192.874,999.022,689.2,397.0,507.6,706.6,720.0,899.986,925.138,508.4,499.4,589.0,288.8,631.2,858.974,1008.478,1039.163,942.81,1254.55,960.691,1536.861
5,922.385,830.339,712.2,630.693,250.6,0.0,318.0,872.177,967.866,1255.482,1175.275,1297.623,1306.947,1199.679,1251.913,1265.892,1216.529,1024.779,837.857,430.6,542.0,898.884,907.06,961.619,985.525,633.4,410.2,493.6,485.4,677.2,887.919,1034.087,1064.333,1012.289,1277.807,1031.433,1559.012
6,948.33,858.846,851.393,584.84,352.4,336.6,0.0,857.694,954.642,1053.388,1227.681,1348.426,1357.651,1251.71,1303.239,1317.051,1268.318,1080.467,902.187,474.4,585.8,884.817,893.109,960.807,984.727,610.6,454.0,537.4,462.6,866.108,949.15,1076.796,1118.955,1001.617,1328.828,1018.769,1607.833
7,575.4,428.8,863.567,759.178,676.6,832.456,844.002,0.0,489.2,507.297,968.558,1094.12,1100.862,987.916,1052.337,1067.375,986.778,833.909,602.6,600.0,604.6,372.8,386.2,433.0,462.0,284.4,665.2,697.0,841.262,689.4,829.808,531.8,882.078,335.0,1069.653,365.6,1373.683
8,444.0,297.4,935.134,934.014,876.201,887.795,898.394,502.0,0.0,729.77,1040.154,1171.639,1193.287,1125.415,1120.757,1135.335,1028.885,1009.712,828.481,718.4,828.879,346.6,360.2,249.4,447.2,402.8,545.8,565.4,915.414,927.168,946.923,894.341,1051.352,542.0,1163.207,657.8,1424.251
9,939.172,899.615,904.895,1013.336,1116.391,1255.482,1053.388,507.297,729.77,0.0,1083.666,946.298,810.158,645.348,1184.478,1174.485,571.601,387.915,754.38,915.146,922.615,673.813,663.467,653.082,584.697,569.337,1082.81,1175.807,993.907,754.669,813.068,235.885,585.642,357.488,738.481,363.165,2060.926
10,1103.958,1024.224,1280.73,2096.853,1179.633,1212.324,1262.149,997.554,1059.762,1083.666,0.0,466.6,591.4,689.8,369.6,367.4,588.2,1027.333,1118.425,1193.493,1193.906,994.952,1067.592,1026.556,1049.381,1025.224,1157.781,1167.999,1255.666,1098.082,1156.945,977.411,922.026,920.466,477.2,1008.141,977.182
11,1173.094,1095.834,1346.34,1912.367,1246.937,1279.017,1328.03,1063.898,1130.169,946.298,381.8,0.0,256.6,362.6,258.0,446.8,615.8,1098.724,1187.088,1260.63,1260.934,1067.7,1137.757,1098.082,1120.122,1096.798,1225.637,1235.64,1321.645,1167.27,1224.717,1044.554,903.285,996.875,318.6,1080.359,946.688
12,1160.287,1082.623,1309.95,1757.188,1209.655,1242.158,1291.497,1015.42,1117.152,810.158,521.4,293.0,0.0,274.4,455.4,644.2,527.8,1074.851,1166.437,1245.514,1223.797,1054.305,1124.78,1084.884,1107.051,1063.463,1213.042,1223.081,1285.06,1146.477,1204.414,995.518,848.03,982.901,323.0,1034.639,1001.053
13,1165.917,1088.433,1279.017,1552.374,1177.87,1210.682,1260.428,1021.443,1122.875,645.348,602.4,375.4,388.0,0.0,537.8,832.192,594.0,1041.255,1143.538,1222.058,1192.151,1060.197,1130.485,1090.688,1112.798,1069.328,1218.578,1228.6,1253.942,1123.405,1181.809,1001.617,611.0,989.053,432.4,1040.595,1046.859
14,1149.307,1071.279,1323.741,2178.866,1223.797,1256.071,1305.344,1045.323,1105.985,1184.478,336.0,309.2,434.0,540.0,0.0,243.4,673.8,1074.31,1163.52,1237.474,1237.882,1042.795,1113.648,1073.552,1095.834,1072.253,1202.253,1212.324,1298.927,1143.538,1201.43,1025.779,972.244,970.863,496.0,1055.616,915.534
15,1154.436,1076.58,1328.628,2180.401,1228.805,1261.035,1310.25,1050.695,1111.203,1174.485,345.8,427.6,552.4,658.4,135.0,0.0,683.6,1079.604,1168.623,1242.463,1242.87,1048.175,1118.849,1078.848,1101.076,1077.552,1207.293,1217.348,1303.841,1148.679,1206.47,1031.211,977.869,976.494,572.6,1060.96,923.343
16,1101.93,1022.111,1271.046,1583.635,1169.664,1202.562,1252.42,952.308,1057.69,571.601,566.4,624.6,593.0,621.6,715.4,842.959,0.0,1016.537,1108.223,1188.845,1183.984,992.799,1065.528,1024.446,1047.298,1002.293,1155.796,1166.021,1245.92,1087.788,1147.001,931.455,870.285,918.184,535.0,972.359,1180.358
17,1043.125,960.458,1130.38,639.587,983.928,1019.772,1073.336,667.6,995.065,387.915,1028.109,1111.841,1121.711,1006.681,1109.181,1123.828,1071.928,0.0,880.956,1056.49,1038.612,927.526,935.489,962.893,979.587,854.871,1071.712,1108.862,1066.397,856.796,925.735,898.394,853.713,904.748,1090.795,917.341,1425.524
18,933.355,842.437,912.516,373.763,651.4,715.0,887.176,581.8,841.654,754.38,1035.412,1167.166,1177.247,1068.46,1116.197,1130.802,1078.956,870.79,0.0,679.0,683.6,624.8,638.2,848.548,875.071,426.6,843.741,900.109,879.207,512.8,525.6,881.33,971.093,890.641,1147.001,899.619,1431.985
19,645.6,499.0,457.2,739.504,379.4,429.8,447.4,461.6,620.8,915.146,1136.073,1263.06,1277.0,1168.832,1213.658,1227.783,1125.309,1016.202,565.8,0.0,287.0,504.6,518.0,631.4,673.0,306.4,279.0,368.4,443.2,674.2,861.656,903.529,1031.654,702.8,1247.648,836.674,1511.072
20,593.8,447.2,313.8,809.404,474.2,524.6,542.2,593.8,828.481,922.615,1151.402,1277.807,1298.827,1233.091,1228.6,1242.666,1140.702,1088.54,698.0,259.2,0.0,604.4,650.2,660.6,702.2,438.6,261.6,351.0,538.0,883.324,942.457,981.417,1103.425,847.252,1269.632,919.506,1496.546
21,483.8,337.2,912.757,923.008,851.393,883.324,894.217,462.8,116.8,673.813,1050.476,1181.395,1202.974,1126.155,1130.696,1145.218,1039.273,987.574,682.0,679.4,684.0,0.0,131.2,210.2,408.0,363.8,585.6,605.2,891.629,903.651,923.822,869.906,1029.772,535.4,1172.991,618.6,1433.453
22,588.0,441.4,899.864,879.443,837.594,870.032,881.08,441.6,227.4,663.467,1038.832,1170.392,1192.048,1114.923,1119.486,1134.071,1027.555,975.461,660.8,658.2,662.8,111.0,0.0,189.0,386.8,342.4,690.0,709.6,878.456,890.518,910.942,856.412,1017.988,514.2,1161.956,597.4,1423.075
23,575.8,429.2,720.0,869.136,621.6,672.0,689.6,328.4,291.0,653.082,1032.097,1156.736,1163.312,1053.868,1113.011,1127.634,1020.775,908.639,547.6,545.0,549.6,174.4,188.0,0.0,450.4,229.4,610.2,697.4,685.4,705.0,839.954,650.4,953.359,453.4,1132.911,484.0,1417.095
24,549.2,402.6,868.895,957.174,685.0,837.988,849.454,391.8,345.4,584.697,1017.207,1150.041,1171.847,1088.325,1098.724,1113.436,1005.782,946.571,611.0,608.4,613.0,228.8,359.8,285.0,0.0,292.8,651.2,670.8,846.733,859.358,880.456,714.0,989.962,427.6,1141.543,514.8,1403.938
25,597.2,450.6,689.2,737.485,590.8,641.2,658.8,161.8,449.2,569.337,1002.969,1126.26,1132.911,1021.888,1085.099,1099.9,1020.775,872.807,516.8,514.2,518.8,333.0,346.4,459.8,501.4,0.0,579.4,668.8,654.6,633.8,667.2,592.4,919.025,395.4,1102.144,426.0,1403.447
26,667.0,520.4,510.6,870.535,352.0,336.2,353.6,545.8,705.0,1082.81,1180.047,1305.444,1319.248,1212.324,1256.578,1270.541,1169.456,1062.593,650.0,273.4,340.4,588.8,602.2,715.6,852.167,390.6,0.0,290.2,493.0,852.94,913.845,953.709,1077.66,871.168,1290.19,890.27,1551.699
27,643.2,496.6,658.4,1014.287,539.8,524.0,541.4,836.806,860.635,1175.807,1177.144,1302.638,1323.541,1258.199,1253.739,1267.712,1166.542,1162.478,902.675,461.2,488.2,653.8,869.78,710.0,848.548,578.4,256.2,0.0,680.8,966.942,1022.333,1046.75,1176.936,878.706,1294.511,951.139,1549.003
28,980.959,894.217,868.136,321.392,237.6,468.2,505.6,859.102,955.924,993.907,1157.885,1280.83,1290.19,1182.43,1234.927,1248.969,1199.37,1006.119,701.8,501.4,612.0,886.183,894.464,962.082,985.98,612.8,603.8,693.4,0.0,643.8,866.996,1015.532,1046.091,1002.856,1260.934,1019.995,1542.934
29,1016.761,932.524,933.592,258.707,611.8,675.4,862.293,686.8,931.574,754.669,1029.883,1161.956,1172.055,1063.028,1110.884,1125.52,1073.552,864.457,533.4,864.33,718.8,860.252,868.768,937.974,962.314,534.2,866.362,921.426,854.099,0.0,512.0,875.071,965.324,887.176,1141.753,917.943,1427.091
