,stop_order,lat,lon,op_win_start,op_win_end,idle_time_mins
0,1,1.3716840000000001,103.93303399999999,2019-12-20 11:00:00+08:00,2019-12-20 11:25:00+08:00,0
1,8,1.3655059999999999,103.93473399999999,2019-12-20 11:36:52+08:00,2019-12-20 11:48:52+08:00,0
2,21,1.363435,103.934712,2019-12-20 11:52:42+08:00,2019-12-20 12:04:42+08:00,7638
3,22,1.363078,103.936284,2019-12-20 12:07:41+08:00,2019-12-20 12:19:41+08:00,6739
4,23,1.362687,103.936603,2019-12-20 12:20:37+08:00,2019-12-20 12:33:37+08:00,16763
5,24,1.359975,103.933002,2019-12-20 12:41:58+08:00,2019-12-20 12:53:58+08:00,15482
6,7,1.356803,103.94023100000001,2019-12-20 13:08:35+08:00,2019-12-20 13:20:35+08:00,0
7,25,1.358957,103.941073,2019-12-20 13:24:52+08:00,2019-12-20 13:36:52+08:00,12908
8,35,1.351576,103.93261700000001,2019-12-20 13:57:40+08:00,2019-12-20 14:09:40+08:00,10940
9,33,1.350871,103.931099,2019-12-20 14:12:46+08:00,2019-12-20 14:24:46+08:00,10034
10,31,1.345616,103.941024,2019-12-20 14:45:34+08:00,2019-12-20 14:57:34+08:00,8066
11,9,1.338563,103.9359,2019-12-20 15:13:43+08:00,2019-12-20 15:26:43+08:00,-4423
12,17,1.342969,103.949545,2019-12-20 15:53:17+08:00,2019-12-20 16:06:17+08:00,0
13,29,1.352697,103.959948,2019-12-20 16:32:40+08:00,2019-12-20 16:44:40+08:00,1640
14,30,1.358269,103.958588,2019-12-20 16:55:17+08:00,2019-12-20 17:07:17+08:00,283
15,18,1.3592440000000001,103.954599,2019-12-20 17:14:53+08:00,2019-12-20 17:26:53+08:00,-893
16,28,1.366093,103.96021999999999,2019-12-20 17:43:18+08:00,2019-12-20 17:55:18+08:00,0
17,4,1.371213,103.96112600000001,2019-12-20 18:04:56+08:00,2019-12-20 18:16:56+08:00,-14696
18,6,1.373235,103.953602,2019-12-20 18:31:22+08:00,2019-12-20 18:43:22+08:00,-16282
19,5,1.378774,103.95905,2019-12-20 18:57:46+08:00,2019-12-20 19:10:46+08:00,-17866
20,26,1.3778549999999998,103.943472,2019-12-20 19:39:41+08:00,2019-12-20 19:51:41+08:00,0
21,27,1.381832,103.939876,2019-12-20 20:01:37+08:00,2019-12-20 20:13:37+08:00,0
22,20,1.372066,103.942226,2019-12-20 20:32:14+08:00,2019-12-20 20:44:14+08:00,-12734
23,2,1.371565,103.941295,2019-12-20 20:46:11+08:00,2019-12-20 20:58:11+08:00,-24371
24,19,1.371213,103.944716,2019-12-20 21:04:33+08:00,2019-12-20 21:16:33+08:00,-14673
25,3,1.357375,103.968288,2019-12-20 22:07:12+08:00,2019-12-20 22:19:12+08:00,-29232
26,32,1.323819,103.951747,2019-12-20 23:28:33+08:00,2019-12-20 23:40:33+08:00,-8913
27,13,1.315817,103.928731,2019-12-21 00:25:42+08:00,2019-12-21 00:37:42+08:00,-37542
28,12,1.312289,103.921543,2019-12-21 00:52:32+08:00,2019-12-21 01:04:32+08:00,-39152
29,34,1.3166790000000002,103.919591,2019-12-21 01:13:26+08:00,2019-12-21 01:25:26+08:00,-15206
30,11,1.3097809999999999,103.916033,2019-12-21 01:39:49+08:00,2019-12-21 01:52:49+08:00,-41989
31,14,1.3074709999999998,103.905082,2019-12-21 02:13:33+08:00,2019-12-21 02:25:33+08:00,-33213
32,15,1.310884,103.90245999999999,2019-12-21 02:33:31+08:00,2019-12-21 02:45:31+08:00,-34411
33,10,1.317624,103.90175500000001,2019-12-21 02:58:04+08:00,2019-12-21 03:10:04+08:00,-46684
34,16,1.3295290000000002,103.916801,2019-12-21 03:45:37+08:00,2019-12-21 03:57:37+08:00,-38737
35,36,1.2977020000000001,103.871612,2019-12-21 05:40:03+08:00,2019-12-21 05:52:03+08:00,-31203
