,ch1_4nc_evap_m_perc,ch1_4nc_evap_t_out,ch2_4nc_evap_m_perc,ch2_4nc_evap_t_out,ch3_4nc_evap_m_perc,ch3_4nc_evap_t_out,dist_np_4nc_combi_0_m_flow,dist_np_4nc_combi_0_delp,dist_np_4nc_combi_1_m_flow,dist_np_4nc_combi_1_delp,dist_np_4nc_combi_2_m_flow,dist_np_4nc_combi_2_delp,dist_np_4nc_combi_3_m_flow,dist_np_4nc_combi_3_delp,dist_np_4nc_combi_4_m_flow,dist_np_4nc_combi_4_delp,dist_np_4nc_combi_5_m_flow,dist_np_4nc_combi_5_delp,dist_np_4nc_combi_6_m_flow,dist_np_4nc_combi_6_delp,ch_c_f_c_4nc_m_perc,ch_e_f_c_4nc_m_perc,ch_evap_ret_4nc_t_in,ch1_4nc_cond_m_perc,ch1_4nc_cond_t_out,ch2_4nc_cond_m_perc,ch2_4nc_cond_t_out,ch3_4nc_cond_m_perc,ch3_4nc_cond_t_out,cp_nwk_4nc_m_perc,cp_nwk_4nc_tinout,gv2_ss_4nc_m_perc,gv2_ss_4nc_t_in,hsb_ss_4nc_m_perc,hsb_ss_4nc_t_in,para_nwk_con_4nc_delp,pfa_ss_4nc_m_perc,pfa_ss_4nc_t_in,ser_ss_4nc_m_perc,ser_ss_4nc_t_in,sp1_temp_4nc_t_inout,sp2_temp_4nc_t_inout,ch1_cnwk_4nc_m_perc,ch1_cp_4nc_m_flow,ch1_cp_4nc_delp,ch1_enwk_4nc_m_perc,ch1_ep_4nc_m_flow,ch1_ep_4nc_delp,ch2_cnwk_4nc_m_perc,ch2_cp_4nc_m_flow,ch2_cp_4nc_delp,ch2_enwk_4nc_m_perc,ch2_ep_4nc_m_flow,ch2_ep_4nc_delp,ch3_cnwk_4nc_m_perc,ch3_cp_4nc_m_flow,ch3_cp_4nc_delp,ch3_enwk_4nc_m_perc,ch3_ep_4nc_m_flow,ch3_ep_4nc_delp,gv2_nwk_4nc_m_perc,hsb_nwk_4nc_m_perc,ice_nwk_4nc_m_perc,pfa_nwk_4nc_m_perc,ser_nwk_4nc_m_perc,tro_nwk_4nc_m_perc,Obj_func
0,0,0,0,0,1.0000000000001015,0.024089863999900263,0,0,0,0,0,0,0,0,0,0,179.6083955,7.966240695,0,0,1,1,1,0,0,0,0,0.99,0.133,0.765850543,0.034149457,0.11174284699999999,0.006120927,0.033583304,0.006120927,7.966240695,0.080827281,0.006120927,0.007996025,0.006120927,0.034149457,0.06721163200000001,0,0,0,0,0,0,0,0,0,0,0,0,0.99,1476.0,13.6095139,1.0,767.067316,10.47406284,0.11174284699999999,0.033583304,0.145326151,0.080827281,0.007996025,0.08882330599999999,666.2505413
1,0,0,0,0,1.0000000000000016,0.08509986499999996,0,0,0,0,0,0,0,0,0,0,193.08723490000003,8.407451919,0,0,1,1,1,0,0,0,0,0.99,0.745,0.7637115879999999,0.036288412,0.10489192800000001,0.022163087,0.031524322,0.022163087,8.407451919,0.077709074,0.022290926000000003,0.022163087,0.022163087,0.036288412,0.068058162,0,0,0,0,0,0,0,0,0,0,0,0,0.99,1476.0,13.6095139,1.0,817.1676027999999,11.84582277,0.10489192800000001,0.031524322,0.136416251,0.077709074,0.022163087,0.099872161,672.7114611000001
2,0,0,1.0,0.404311411,0.0,0.0,0,0,0,0,0,0,0,0,0,0,390.81472610000003,26.79046711,0,0,1,1,1,0,0,0.99,0.643,0.0,0.0,0.417092026,0.052763599,0.145726993,0.145726993,0.145726993,0.145726993,26.79046711,0.145726993,0.145726993,0.145726993,0.145726993,0.052763599,0.081391007,0,0,0,0,0,0,0.99,1476.0,13.6095139,1.0,670.4569909,7.898797537,0.0,0.0,0.0,0.0,0.0,0.0,0.145726993,0.145726993,0.29145398699999997,0.145726993,0.145726993,0.29145398699999997,653.3335013
3,0,0,1.0,0.43082264200000003,0.0,0.0,0,0,0,0,0,0,0,0,0,0,388.5559629,26.93437748,0,0,1,1,1,0,0,0.99,0.99,0.0,0.0,0.42810505200000004,0.071260372,0.142973737,0.142973737,0.142973737,0.142973737,26.93437748,0.142973737,0.142973737,0.142973737,0.142973737,0.052396498,0.077581623,0,0,0,0,0,0,0.99,1476.0,13.6095139000131,1.0,679.4184216,8.133762713,0.0,1.684e-09,0.0,0.0,1e-09,0.0,0.142973737,0.142973737,0.285947474,0.142973737,0.142973737,0.285947474,643.2913577
4,0,0,1.0,0.42497032700000004,0.0,0.0,0,0,0,0,0,0,0,0,0,0,365.4808838,28.404537400000002,0,0,1,1,1,0,0,0.99,0.35700000000000004,0.0,0.0,0.530308089,0.04898973,0.11742297800000001,0.11742297800000001,0.11742297800000001,0.11742297800000001,28.404537400000002,0.11742297800000001,0.11742297800000001,0.11742297800000001,0.11742297800000001,0.04898973,0.07017448700000001,0,0,0,0,0,0,0.99,1476.0,13.6095139,1.0,778.1289712,10.77481775,0.0,0.0,0.0,0.0,0.0,0.0,0.11742297800000001,0.11742297800000001,0.23484595600000002,0.11742297800000001,0.11742297800000001,0.23484595600000002,640.4999319
5,0,0,0,0,1.0000000000000013,0.42768562900000007,0,0,0,0,0,0,0,0,0,0,364.87664739999997,28.44303453,0,0,1,1,1,0,0,0,0,0.776016994,0.776016994,0.532737773,0.065259632,0.11681555699999999,0.11681555699999999,0.11681555699999999,0.11681555699999999,28.44303453,0.11681555699999999,0.11681555699999999,0.11681555699999999,0.11681555699999999,0.048908741,0.069751222,0,53.527834,0,0,0,0,0,0,0,0,0,0,0.776016994,1829.472166,13.8890624,1.0,780.8819681,10.84985569,0.11681555699999999,0.11681555699999999,0.233631113,0.11681555699999999,0.11681555699999999,0.233631113,659.8623591
6,0,0,0,0,1.000000000000112,0.521739260999888,0,0,0,0,0,0,0,0,0,0,388.8528167,26.91546433,0,0,1,1,1,0,0,0,0,0.776016994,0.152351567,0.42666822299999996,0.052444393,0.143332944,0.143332944,0.143332944,0.143332944,26.91546433,0.143332944,0.143332944,0.143332944,0.143332944,0.052444393,0.069962854,0,53.527834,0,0,0,0,0,0,0,0,0,0,0.776016994,1829.472166,13.8890624,1.0,678.2334977,8.102648286,0.143332944,0.143332944,0.28666588900031403,0.143332944,0.143332944,0.286665889,635.9949449
7,0,0,1.0,0.408064062,0.0,0.0,0,0,0,0,0,0,0,0,0,0,411.8849776,19.7938887,0,0,1,1,1,0,0,0.99,0.098045399,0.0,0.0,0.064516129,0.064516129,0.233870968,0.233870968,0.233870968,0.233870968,19.7938887,0.233870968,0.233870968,0.233870968,0.233870968,0.064516129,0.10974975599999999,0,0,0,0,0,0,0.99,1476.0,13.6095139,1.0,440.2908382,2.145180393,0.0,0.0,0.0,0.0,0.0,0.0,0.233870968,0.233870968,0.467741935,0.233870968,0.233870968,0.467741935,630.7520687000001
8,0,0,1.0,0.023879552999999998,0.0,0.0,0,0,0,0,0,0,0,0,0,0,278.2457838,6.8784903260000005,0,0,1,1,1,0,0,0.99,0.541,0.0,0.0,0.564538655,0.035461345,0.22706547,0.015960085,0.040316045,0.015960085,6.8784903260000005,0.084039915,0.015960085,0.084039915,0.015960085,0.035461345,0.122447703,0,0,0,0,0,0,0.99,1476.0,13.6095139,1.0,638.9678147000001,7.079567217999999,0.0,0.0,0.0,0.0,0.0,0.0,0.22706547,0.040316045,0.267381515,0.084039915,0.084039915,0.16807983,777.5859302
9,0,0,1.0,0.050810589,0.0,0.0,0,0,0,0,0,0,0,0,0,0,186.30350959999998,3.501808472,0,0,1,1,1,0,0,0.99,0.9690000000000001,0.0,0.0,0.601720812,0.037850534,0.183239791,0.033879003,0.036714042999999995,0.033879003,3.501808472,0.089162677,0.033879003,0.089162677,0.033879003,0.037850534,0.12223607,0,0,0,0,0,0,0.99,1476.0,13.6095139,1.0,467.77114000000006,2.8031264019999997,0.0,0.0,0.0,0.0,0.0,0.0,0.183239791,0.036714042999999995,0.219953834,0.089162677,0.089162677,0.178325354,702.9610600999999
