,dist_pump,ep_1,ep_2,ep_3,cp_1,cp_2,cp_3
0,34.77174577,6.001809698,0,32.42221422,29.88060223,0,107.0026505
1,4.640667983,5.552418157,0,0,33.72093551,0,0
2,38.68485295,0,0,23.09669138,0,0,106.3142019
3,2.397044312,4.414658044,0,0,33.72093551,0,0
4,34.80490518,5.991194495,0,32.20307382,29.88060223,0,107.0026505
5,2.616292736,4.467288954,0,0,33.72093551,0,0
6,15.02737269,5.526475544,0,0,33.72093551,0,0
7,4.522790795,5.345850446,0,0,33.72093551,0,0
8,36.01252642,0,35.19653578,0,0,106.3142019,0
9,36.7492604,0,31.3826925,0,0,106.3142019,0
10,10.63830931,3.280812196,0,0,33.72093551,0,0
11,40.14246561,5.30853415,29.78466785,0,29.88060223,107.0026505,0
12,36.21695311,0,0,29.01108973,0,0,106.3142019
13,40.481565,0,0,35.77809998,0,0,106.3142019
14,41.19637323,0,28.84828323,0,0,106.3142019,0
15,38.20996432,0,0,35.17013995,0,0,106.3142019
16,40.37990012,0,0,36.66347084,0,0,106.3142019
17,38.35966456,0,0,20.27430554,0,0,106.3142019
18,38.35017394,0,34.16199995,0,0,106.3142019,0
19,39.80663988,5.978497152,0,31.94003156,29.88060223,0,107.0026505
20,40.64644256,0,34.39325915,0,0,125.6538182,0
21,25.32801879,0,34.58417598,0,0,106.3142019,0
22,22.29948831,0,0,26.72448662,0,0,106.3142019
23,18.19796217,0,0,37.21307717,0,0,106.3142019
