gv2,hsb,pfa,ser,total
0.113613471,0.460964295,0.425422234,0,46.57022822
0.264399827,0.660154001,0.075446172,0,32.51849171
0.243377535,0.718150136,0.038472329,0,29.89237392
0.188549772,0.765003582,0.046446646,0,28.06158417
0.126520531,0.456295245,0.417184224,0,47.046759
0.18933405,0.768185638,0.042480312,0,27.94534466
0.331567296,0.597897348,0.070535355,0,17.95225591
0.181126774,0.734886229,0.083986998,0,29.21161341
0.355186338,0.069871449,0.255529872,0.31941234,307.2386872
0.232422631,0.049842686,0.307600578,0.410134104,215.3496732
0.49333536,0.064484591,0.17687202,0.26530803,332.9045313
0.771173783,0.025752147,0.088293074,0.114780996,833.6086589
0.767503167,0.012814786,0.108376476,0.11130557,837.5954269
0.753434308,0.025159765,0.109265263,0.112140665,853.2358245
0.76975786,0.012852432,0.105757155,0.111632553,835.1420312
0.681205764,0.034121707,0.136486829,0.1481857,629.1365274
0.77660213,0.012966709,0.097806033,0.112625129,827.7818441
0.77202584,0.0128903,0.106068753,0.109015107,832.6886355
0.689269438,0.034525618,0.126265117,0.149939827,621.7763403
0.79305544,0.013241425,0.08171851,0.111984625,810.6080741
0.794558452,0.026533041,0.072776342,0.106132165,809.0747018
0.923355446,0.030834016,0.035238876,0.010571663,696.2184994
0.949090505,0.047540097,0.003369398,0,451.5601267
0.844114435,0.084563658,0.071321907,0,253.8586066
