,ss_gv2_demand,ss_hsb_demand,ss_pfa_demand,ss_ser_demand,ss_fir_demand
0,499.1,25.0,20.0,3.9,0.0
1,223.21011969999998,25.0,10.0,3.9,0.0
2,153.151469,33.33333333,20.0,3.9,0.0
3,9.232535365,22.22222222,20.0,3.9,0.0
4,4.88781284,22.22222222,20.0,3.8,0.0
5,4.344722524,22.22222222,20.0,3.9,0.0
6,4.344722524,18.18181818,10.0,3.9,0.0
7,4.88781284,18.18181818,20.0,3.9,0.0
8,95.04080522,18.18181818,90.0,3.9,0.0
9,53.95675676,27.27272727,50.0,3.9,0.0
10,445.14324320000003,18.18181818,60.0,3.9,0.0
11,247.28821749999997,16.66666667,60.0,3.9,0.0
12,251.81178250000002,41.66666667,90.0,3.9,0.0
13,998.2,41.66666667,110.0,3.9,0.0
14,240.9448276,23.07692308,160.0,3.9,0.0
15,258.15517239999997,23.07692308,110.0,3.9,0.0
16,499.1,30.76923077,110.0,3.9,0.0
17,998.2,23.07692308,80.0,3.9,0.0
18,499.1,16.66666667,90.0,3.9,0.0
19,499.1,25.0,70.0,3.9,0.0
20,499.1,16.66666667,50.0,3.8,0.0
21,499.1,16.66666667,20.0,3.9,0.0
22,998.2,25.0,20.0,3.9,0.0
23,218.1251852,15.38461538,20.0,3.9,0.0
