,Name,Value,Unit
0,chiller1_em,6.0484e-05,m3/h
1,chiller1_etret,274.15,K
2,chiller1_cm,0.003098,m3/h
3,chiller1_ctin,298.55,K
4,chiller1_tenwkflow,0.536814864,m3/h
5,chiller1_tcnwkflow,0.00324487,m3/h
6,chiller2_em,0.53665,m3/h
7,chiller2_etret,274.15,K
8,chiller2_cm,0.0,m3/h
9,chiller2_ctin,298.55,K
10,chiller2_tenwkflow,0.536814864,m3/h
11,chiller2_tcnwkflow,0.00324487,m3/h
12,chiller3_em,0.00010438,m3/h
13,chiller3_etret,274.15,K
14,chiller3_cm,0.00014687,m3/h
15,chiller3_ctin,298.55,K
16,chiller3_tenwkflow,0.536814864,m3/h
17,chiller3_tcnwkflow,0.00324487,m3/h
18,substation_cp_inflow,0.20689944528174598,m3/h
19,substation_cp_tnwkflow,0.536814864,m3/h
20,substation_gv2_inflow,0.0,m3/h
21,substation_gv2_tnwkflow,0.536814864,m3/h
22,substation_gv2_tinlim,278.15,K
23,substation_gv2_toutlim,287.15,K
24,substation_gv2_demand,376.51376150000004,kWh
25,substation_hsb_inflow,0.0,m3/h
26,substation_hsb_tnwkflow,0.536814864,m3/h
27,substation_hsb_tinlim,278.15,K
28,substation_hsb_toutlim,287.15,K
29,substation_hsb_demand,200.0,kWh
30,substation_pfa_inflow,0.0,m3/h
31,substation_pfa_tnwkflow,0.536814864,m3/h
32,substation_pfa_tinlim,278.15,K
33,substation_pfa_toutlim,287.15,K
34,substation_pfa_demand,50.0,kWh
35,substation_ser_inflow,3.310778879207824e-05,m3/h
36,substation_ser_tnwkflow,0.536814864,m3/h
37,substation_ser_tinlim,278.15,K
38,substation_ser_toutlim,287.15,K
39,substation_ser_demand,0.0,kWh
40,substation_fir_inflow,0.3298823109294619,m3/h
41,substation_fir_tnwkflow,0.536814864,m3/h
42,substation_fir_tinlim,278.15,K
43,substation_fir_toutlim,287.15,K
44,substation_fir_demand,0.0,kWh
45,chiller1_ret_etret,274.15,K
46,chiller2_ret_etret,274.15,K
47,chiller3_ret_etret,274.15,K
48,splitter3_tin,299.08779,K
49,cooling_tower_ret,298.55,K
50,cooling_tower1_tin,299.08779,K
51,cooling_tower1_totalconfigflow,0.00324487,m3/h
52,cooling_tower1_twb,295.6243491,K
53,cooling_tower2_tin,299.08779,K
54,cooling_tower2_totalconfigflow,0.00324487,m3/h
55,cooling_tower2_twb,295.6243491,K
56,cooling_tower3_tin,299.08779,K
57,cooling_tower3_totalconfigflow,0.00324487,m3/h
58,cooling_tower3_twb,295.6243491,K
59,cooling_tower4_tin,299.08779,K
60,cooling_tower4_totalconfigflow,0.00324487,m3/h
61,cooling_tower4_twb,295.6243491,K
62,cooling_tower5_tin,299.08779,K
63,cooling_tower5_totalconfigflow,0.00324487,m3/h
64,cooling_tower5_twb,295.6243491,K
