,ma,Twi,Twb,delt_uem,delt_reg,delt_lp_relax
0,0.05,18.0,2.362028848,1.639852704017532,1.208380913843186,1.2054007511266462
1,0.525,18.0,2.362028848,2.3691776039233567,1.9125037042456938,1.9125037042453101
2,1.0,18.0,2.362028848,3.0071823849121877,2.616626494648216,2.619606657364912
3,0.05,23.0,2.362028848,2.395474588307779,2.7014444172317695,2.7014444172317695
4,0.525,23.0,2.362028848,3.230034212471641,3.4652027745200797,3.465202774519966
5,1.0,23.0,2.362028848,3.9440755186588707,4.228961131808404,4.228961131808873
6,0.05,28.0,2.362028848,4.7166854592796446,4.194507920620339,4.197488083336879
7,0.525,28.0,2.362028848,5.594479692039627,5.0179018447944514,5.017901844794594
8,1.0,28.0,2.362028848,6.322557407763338,5.841295768968578,5.838315606252294
9,0.05,18.0,1.725689478,1.6785550676751768,1.2125973916648292,1.2100115463224341
10,0.525,18.0,1.725689478,2.4247161672613013,1.9316983865707584,1.9316983865704174
11,1.0,18.0,1.725689478,3.075841155211482,2.6507993814766877,2.6533852268192106
12,0.05,23.0,1.725689478,2.586198524187775,2.9117971357570553,2.9117971357570553
13,0.525,23.0,1.725689478,3.429703725123889,3.682643074661044,3.6826430746609304
14,1.0,23.0,1.725689478,4.1489746153644225,4.453489013565033,4.453489013565445
15,0.05,28.0,1.725689478,5.167660304342232,4.6109968798492815,4.613582725191677
16,0.525,28.0,1.725689478,6.0465094909664225,5.433587762751344,5.433587762751458
17,1.0,28.0,1.725689478,6.7719261678353915,6.2561786456534065,6.253592800311239
18,0.05,18.0,0.874409359,1.7514939113908252,1.2394018147932968,1.237343478132189
19,0.525,18.0,0.874409359,2.5186077749978537,1.976969989328822,1.976969989328552
20,1.0,18.0,0.874409359,3.1857143576949234,2.7145381638643613,2.7165965005255686
21,0.05,23.0,0.874409359,2.8840470706603556,3.2359046158723146,3.2359046158723146
22,0.525,23.0,0.874409359,3.7379491424496365,4.014661841242386,4.014661841242301
23,1.0,23.0,0.874409359,4.462645734269321,4.793419066612472,4.793419066612799
24,0.05,28.0,0.874409359,5.8352052620333,5.232407416951318,5.234465753612426
25,0.525,28.0,0.874409359,6.713895426342919,6.052353693155936,6.052353693156036
26,1.0,28.0,0.874409359,7.434181911623301,6.872299969360569,6.870241632699646
27,0.05,18.0,0.433414603,1.8000490990203262,1.2640576588549806,1.2622725913073793
28,0.525,18.0,0.433414603,2.57731061299874,2.010485856877324,2.0104858568770965
29,1.0,18.0,0.433414603,3.2519895955332063,2.7569140548996813,2.758699122447368
30,0.05,23.0,0.433414603,3.0588065420761517,3.4242671931130673,3.4242671931130673
31,0.525,23.0,0.433414603,3.917387919061158,4.206416096766532,4.206416096766446
32,1.0,23.0,0.433414603,4.644188565542579,4.988565000419982,4.988565000420266
33,0.05,28.0,0.433414603,6.211173916028342,5.58447672737114,5.586261794918727
34,0.525,28.0,0.433414603,7.0890750403580265,6.402346336655711,6.402346336655796
35,1.0,28.0,0.433414603,7.805997235124486,7.220215945940282,7.218430878392837
36,0.05,18.0,0.433414603,1.8000490990203262,1.2640576588549806,1.2622725913073793
37,0.525,18.0,0.433414603,2.57731061299874,2.010485856877324,2.0104858568770965
38,1.0,18.0,0.433414603,3.2519895955332063,2.7569140548996813,2.758699122447368
39,0.05,23.0,0.433414603,3.0588065420761517,3.4242671931130673,3.4242671931130673
40,0.525,23.0,0.433414603,3.917387919061158,4.206416096766532,4.206416096766446
41,1.0,23.0,0.433414603,4.644188565542579,4.988565000419982,4.988565000420266
42,0.05,28.0,0.433414603,6.211173916028342,5.58447672737114,5.586261794918727
43,0.525,28.0,0.433414603,7.0890750403580265,6.402346336655711,6.402346336655796
44,1.0,28.0,0.433414603,7.805997235124486,7.220215945940282,7.218430878392837
45,0.05,18.0,0.433414603,1.8000490990203262,1.2640576588549806,1.2622725913073793
46,0.525,18.0,0.433414603,2.57731061299874,2.010485856877324,2.0104858568770965
47,1.0,18.0,0.433414603,3.2519895955332063,2.7569140548996813,2.758699122447368
48,0.05,23.0,0.433414603,3.0588065420761517,3.4242671931130673,3.4242671931130673
49,0.525,23.0,0.433414603,3.917387919061158,4.206416096766532,4.206416096766446
50,1.0,23.0,0.433414603,4.644188565542579,4.988565000419982,4.988565000420266
51,0.05,28.0,0.433414603,6.211173916028342,5.58447672737114,5.586261794918727
52,0.525,28.0,0.433414603,7.0890750403580265,6.402346336655711,6.402346336655796
53,1.0,28.0,0.433414603,7.805997235124486,7.220215945940282,7.218430878392837
54,0.05,18.0,-0.22443459,1.8877406179428564,1.3160975836943294,1.3147201624090314
55,0.525,18.0,-0.22443459,2.679243415481035,2.0748462664889473,2.074846266488777
56,1.0,18.0,-0.22443459,3.364322079237579,2.8335949492835937,2.8349723705689485
57,0.05,23.0,-0.22443459,3.347056664468524,3.7328095977080977,3.7328095977080977
58,0.525,23.0,-0.22443459,4.211721979802475,4.519121640963931,4.519121640963874
59,1.0,23.0,-0.22443459,4.940764962295154,5.305433684219736,5.305433684219963
60,0.05,28.0,-0.22443459,6.811870394456013,6.1495216117218945,6.150899033007192
61,0.525,28.0,-0.22443459,7.687698111923826,6.963397015438886,6.963397015438943
62,1.0,28.0,-0.22443459,8.398705297490721,7.777272419155878,7.775894997870722
63,0.05,18.0,-0.22443459,1.8877406179428564,1.3160975836943294,1.3147201624090314
64,0.525,18.0,-0.22443459,2.679243415481035,2.0748462664889473,2.074846266488777
65,1.0,18.0,-0.22443459,3.364322079237579,2.8335949492835937,2.8349723705689485
66,0.05,23.0,-0.22443459,3.347056664468524,3.7328095977080977,3.7328095977080977
67,0.525,23.0,-0.22443459,4.211721979802475,4.519121640963931,4.519121640963874
68,1.0,23.0,-0.22443459,4.940764962295154,5.305433684219736,5.305433684219963
69,0.05,28.0,-0.22443459,6.811870394456013,6.1495216117218945,6.150899033007192
