,Chiller 1_s,Chiller 2_s,Chiller 3_s,COP1_s,COP2_s,COP3_s,ep_1_s,ep_2_s,ep_3_s,cp_1_s,cp_2_s,cp_3_s,dist_pump_s,ct_s,Obj_func_s,Chiller 1_o,Chiller 2_o,Chiller 3_o,COP1_o,COP2_o,COP3_o,ep_1_o,ep_2_o,ep_3_o,cp_1_o,cp_2_o,cp_3_o,dist_pump_o,ct_o,Obj_func_o
0,0,490.4961428,0,0,1.730338493,0,0,17.790842,0,0,112.842491,0,176.1363663,39.86329211,837.1291342,0,0,509.6611533,0,0,1.738477132,0,0,34.59563411,0,0,106.3142019,15.69397638,39.6757953,705.940761
1,0,491.5460701,0,0,1.746972502,0,0,17.790842,0,0,112.842491,0,175.4512498,39.88153265,837.5121855,0,0,512.2766354,0,0,1.770541083,0,0,37.30231929,0,0,106.3142019,16.78302439,39.34348689,712.0196679
2,160.1146454,0,0,2.214207084,0,0,5.35391,0,0,34.213594,0,0,181.5390069,19.06105782,400.2822141,160.1146454,0,0,2.214207084,0,0,5.35391,0,0,34.213594,0,0,181.5390069,19.06105782,400.2822141
3,159.210331,0,0,2.301651204,0,0,5.35391,0,0,34.213594,0,0,430.4442785,31.46110568,660.6832192,159.210331,0,0,2.301651204,0,0,5.35391,0,0,34.213594,0,0,430.4442785,31.46110568,660.6832192
4,141.1325324,0,0,1.872629568,0,0,5.35391,0,0,34.213594,0,0,271.8687008,22.62843686,475.1971741,141.1325324,0,0,1.872629568,0,0,5.35391,0,0,34.213594,0,0,271.8687008,22.62843686,475.1971741
5,134.687591,0,0,2.047418107,0,0,5.35391,0,0,34.213594,0,0,258.2490483,21.62520717,454.1293505,134.687591,0,0,2.047418107,0,0,5.35391,0,0,34.213594,0,0,258.2490483,21.62520717,454.1293505
6,129.9821583,0,0,1.959041251,0,0,5.35391,0,0,34.213594,0,0,283.6744002,22.66120313,475.8852656,129.9821583,0,0,1.959041251,0,0,5.35391,0,0,34.213594,0,0,283.6744002,22.66120313,475.8852656
7,190.2911688,0,0,3.667707279,0,0,5.35391,0,0,34.213594,0,0,133.2457845,18.15522287,381.2596802,190.2911688,0,0,3.667707279,0,0,5.35391,0,0,34.213594,0,0,133.2457845,18.15522287,381.2596802
8,186.3371733,515.9118707,0,3.525434444,2.399876061,0,5.897715,18.83886,0,34.669997,113.259111,0,200.0894316,53.75020795,1128.754367,0,621.5084634,0,0,3.12441486,0,0,27.76471248,0,0,106.3142019,0,22.06929721,79.15794367,856.8146187
9,0,541.4427877,0,0,2.543832078,0,0,17.790842,0,0,112.842491,0,157.4449887,41.47605547,870.9971649,0,563.3204314,0,0,2.448113489,0,0,18.8422529,0,0,106.3142019,0,14.50507175,43.03670467,746.0186627
10,212.9931291,539.5901135,0,3.194930461,2.386444324,0,5.897715,18.83886,0,34.669997,113.259111,0,214.2878229,56.97683745,1196.513586,0,0,668.243339,0,0,3.023766569,0,0,37.00005805,0,0,106.3142019,27.94542226,83.08589359,922.5889148
