,ch1_4nc_evap_m_perc,ch1_4nc_evap_t_out,ch2_4nc_evap_m_perc,ch2_4nc_evap_t_out,ch3_4nc_evap_m_perc,ch3_4nc_evap_t_out,dist_np_4nc_combi_0_m_flow,dist_np_4nc_combi_0_delp,dist_np_4nc_combi_1_m_flow,dist_np_4nc_combi_1_delp,dist_np_4nc_combi_2_m_flow,dist_np_4nc_combi_2_delp,dist_np_4nc_combi_3_m_flow,dist_np_4nc_combi_3_delp,dist_np_4nc_combi_4_m_flow,dist_np_4nc_combi_4_delp,dist_np_4nc_combi_5_m_flow,dist_np_4nc_combi_5_delp,dist_np_4nc_combi_6_m_flow,dist_np_4nc_combi_6_delp,ch_c_f_c_4nc_m_perc,ch_e_f_c_4nc_m_perc,ch_evap_ret_4nc_t_in,ch1_4nc_cond_m_perc,ch1_4nc_cond_t_out,ch2_4nc_cond_m_perc,ch2_4nc_cond_t_out,ch3_4nc_cond_m_perc,ch3_4nc_cond_t_out,cp_nwk_4nc_m_perc,cp_nwk_4nc_tinout,gv2_ss_4nc_m_perc,gv2_ss_4nc_t_in,hsb_ss_4nc_m_perc,hsb_ss_4nc_t_in,para_nwk_con_4nc_delp,pfa_ss_4nc_m_perc,pfa_ss_4nc_t_in,ser_ss_4nc_m_perc,ser_ss_4nc_t_in,sp1_temp_4nc_t_inout,sp2_temp_4nc_t_inout,ch1_cnwk_4nc_m_perc,ch1_cp_4nc_m_flow,ch1_cp_4nc_delp,ch1_enwk_4nc_m_perc,ch1_ep_4nc_m_flow,ch1_ep_4nc_delp,ch2_cnwk_4nc_m_perc,ch2_cp_4nc_m_flow,ch2_cp_4nc_delp,ch2_enwk_4nc_m_perc,ch2_ep_4nc_m_flow,ch2_ep_4nc_delp,ch3_cnwk_4nc_m_perc,ch3_cp_4nc_m_flow,ch3_cp_4nc_delp,ch3_enwk_4nc_m_perc,ch3_ep_4nc_m_flow,ch3_ep_4nc_delp,gv2_nwk_4nc_m_perc,hsb_nwk_4nc_m_perc,ice_nwk_4nc_m_perc,pfa_nwk_4nc_m_perc,ser_nwk_4nc_m_perc,tro_nwk_4nc_m_perc,Obj_func
0,0,0,1.000000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,106.75404393519341,0.4823327920745027,0,0,1.0,1.0,1.0,0,0,0.99,0.18399999999999994,0,0,0.7714625427613144,0.033333333321316494,0.1834958581809892,0,0.0045956686581093255,0,0.4823327920745027,0.03519373764746216,0,0.005252192752124943,0,0.0333333333213166,0.06742326490000132,0,0,0,0,0,0,0.99,1476.0,13.609513902839403,1.000000000000001,467.11836748800005,2.7874044441882457,0,0,0,0,0,0,0.1834958581809892,0.0045956686581093255,0.18809152683909847,0.03519373764746216,0.005252192752124942,0.0404459303995871,540.1475430953337
1,1.0000000000046516,0.1673207264870235,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.74735745245881,1.1943079311533675,0,0,1.0,1.0,1.0,0.99,0.867,0.0,0.0,0,0,0.6596508418994363,0.040489115797757935,0.1793440526556883,0.05366836848318475,0.053668368483184736,0.053668368483184736,1.1943079311533675,0.053668368483184736,0.053668368483184736,0.053668368483184736,0.053668368483184736,0.04048911579775796,0.07610019550000023,0.99,407.0,9.115510770411934,0.9999999999999732,213.74331541699428,5.350705106398523,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.17934405265484926,0.05366836848293365,0.2330124211377829,0.05366836848293365,0.05366836848293365,0.10733673696586728,112.0576507654867
2,0.9999999999999918,0.27213200965168305,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.699854724091,2.6724402182569573,0,0,1.0,1.0,1.0,0.9899999999998969,0.13299999999989676,0.0,0.0,0,0,0.5277943149174289,0.07220568508257111,0.12093393643224346,0.11709058288344235,0.11709058288344246,0.11709058288344246,2.6724402182569573,0.11709058288344246,0.11709058288344246,0.11709058288344246,0.11709058288344246,0.04894541105112566,0.0907028348000002,0.989999999999916,406.99999999999693,9.115510770410557,0.999999999999992,217.48966174799816,5.558717340809778,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.12093393643224346,0.11709058288344246,0.23802451931568586,0.11709058288344246,0.11709058288344246,0.2341811657668849,111.12006457289893
3,0,0,1.0000000000000002,0.006223434295637598,0,0,0,0,0,0,0,0,0,0,0,0,9.85419088800876,0.6450005440808276,0,0,1.0,1.0,1.0,0,0,0.9900000000000004,0.3059999999999996,0,0,0.9845079380055256,0.11476262563966565,0.0038730154986185705,0.0038730154986185705,0.003873015498618575,0.003873015498618575,0.6450005440808276,0.0038730154986185705,0.0038730154986185705,0.0038730154986185705,0.0038730154986185705,0.03384973539981581,0.11631036166666793,0,0,0,0,0,0,0.9900000000000002,1475.9999999999868,13.609513902839408,1.0,636.0800061040001,7.004937964186179,0,0,0,0,0,0,0.0038730154986185705,0.003873015498618575,0.007746030997237145,0.0038730154986185705,0.0038730154986185705,0.007746030997237141,588.5359932187818
4,0,0,0.0,0,1.0000000000020337,0.0059915074845555685,0,0,0,0,0,0,0,0,0,0,8.72318472531245,0.4011957257935371,0,0,1.0,1.0,1.0,0,0,0.0,0.0,0.99,0.5409999999999999,0.9822590119931393,0.11774098800686095,0.003880841126729706,0.003880841126729706,0.003880841126726722,0.003880841126726722,0.4011957257935371,0.004989652877719035,0.004989652877719035,0.004989652877719035,0.004989652877719035,0.033850778816896895,0.11969648093333375,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,1476.0,13.609513902839403,1.0,491.69666993499993,3.382475579595706,0.0038808411267218135,0.003880841126718829,0.007761682253440642,0.004989652877708888,0.004989652877708888,0.009979305755417776,565.0697463611127
5,0,0,0.0,0,0.9999999999985026,0.0050838919125911755,0,0,0,0,0,0,0,0,0,0,8.72318472533118,0.5207848416185882,0,0,1.0,1.0,1.0,0,0,0.0,0.0,0.7760169941582581,0.6952968667020581,0.9869384658398522,0.10652535136559804,0.002857210597044024,0.002857210597044024,0.002857210597044048,0.002857210597044048,0.5207848416185882,0.0036735564822812797,0.0036735564822812797,0.0036735564822811774,0.0036735564822811774,0.033714294746272536,0.10826832843333327,0,53.52783399999953,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7760169941581738,1829.4721660000007,13.889062402487395,1.0,667.852996391,7.830672905352946,0.002857210597048302,0.0028572105970483264,0.005714421194096629,0.0036735564822867797,0.0036735564822866773,0.007347112964573456,612.3223422911738
6,0.9999999999951632,0.024140442649081332,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.245007246213065,0.1569042817290885,0,0,1.0,1.0,1.0,0.99,0.15300000000000002,0.0,0.0,0,0,0.9697940078347012,0.06945654323767952,0.007551498040115513,0.007551498040115513,0.007551498040115525,0.007551498040115525,0.1569042817290885,0.007551498040115513,0.007551498040115513,0.007551498040115513,0.007551498040115513,0.03434019973868207,0.07504203323333437,0.989999999999916,406.99999999999693,9.115510770410557,1.0,206.747297457,4.96270506853115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.007551498040152035,0.00755149804015205,0.015102996080304087,0.007551498040152035,0.007551498040152035,0.015102996080304071,98.73221463436363
7,0,0,1.000000000002088,0.005020492300003897,0,0,0,0,0,0,0,0,0,0,0,0,8.029295031285981,0.3209766763863812,0,0,1.0,1.0,1.0,0,0,0.99,0.9690000000000004,0,0,0.9832350044479592,0.1179953813862889,0.0032598602464369297,0.0032598602464369297,0.0032598602464369076,0.0032598602464369076,0.3209766763863812,0.005122637530627659,0.0032598602464369297,0.005122637530627412,0.005122637530627412,0.033767981366191586,0.11990811340000013,0,0,0,0,0,0,0.99,1475.999999999986,13.609513902839401,1.0,478.93213006699995,3.0726348843362348,0,0,0,0,0,0,0.0032598602464301235,0.003259860246430102,0.006519720492860225,0.005122637530616963,0.005122637530616717,0.01024527506123368,558.7876820811158
8,0,0,0.9999999999999996,0.0438322846560314,0,0,0,0,0,0,0,0,0,0,0,0,49.442931232331254,3.034047540296947,0,0,1.0,1.0,1.0,0,0,0.7760169941582581,0.4921614445032582,0,0,0.926443262674648,0.07397399317500493,0.02428253341661273,0.01642473463624633,0.01642473463624633,0.01642473463624633,3.034047540296947,0.016424734636246337,0.016424734636246337,0.016424734636246337,0.016424734636246337,0.03552329795149951,0.08329569893333352,0,53.52783399999952,0,0,0,0,0.776016994158258,1829.4721660000007,13.889062402489904,0.9999999999999996,672.1740663079997,7.943756196184128,0,0,0,0,0,0,0.024282533416612736,0.01642473463624633,0.04070726805285907,0.016424734636246337,0.016424734636246337,0.032849469272492667,590.4046453750334
9,0.2307238245195124,0.10429081674190913,0.7692761754815439,0,0,0,0,0,0,0,0,0,0,0,0,0,27.666877047733248,2.256573431169933,0,0,1.0,1.0,1.0,0.27298780487804875,0.2458638211382488,0.99,0.969,0,0,0.9707706464520762,0.06395040920215611,0.009789726253751446,0.006479875765080577,0.006479875765074139,0.006479875765074139,2.256573431169933,0.006479875765080578,0.006479875765080578,0.006479875765074118,0.006479875765074118,0.03419731676867655,0.0691163245333333,0.2729878048780488,402.93,7.001316087786867,0.2307238245192687,218.39031350000005,7.546651392031831,0.99,1461.2399999999998,13.609513902839401,0.7692761754807312,728.1539541109997,11.509571852992108,0,0,0,0,0,0,0.009789726253741105,0.006479875765067294,0.016269602018808397,0.006479875765073732,0.006479875765067272,0.012959751530141004,668.4333273798537
