,ch1,ch2a,ch2b,ch3a,ch3b
0,0,112.842491,0,0,0
1,0,112.842491,0,0,0
2,34.213594,0,0,0,0
3,34.213594,0,0,0,0
4,34.213594,0,0,0,0
5,34.213594,0,0,0,0
6,34.213594,0,0,0,0
7,34.213594,0,0,0,0
8,34.669997,113.259111,0,0,0
9,0,112.842491,0,0,0
10,34.669997,113.259111,0,0,0
11,34.669997,0,113.259111,0,0
12,0,0,114.750474,114.750474,0
13,34.669997,0,113.259111,0,0
14,0,0,114.750474,114.750474,0
15,0,0,114.750474,114.750474,0
16,0,0,114.750474,114.750474,0
17,0,0,114.750474,114.750474,0
18,0,0,114.750474,114.750474,0
19,34.669997,0,113.259111,0,0
20,0,0,114.750474,114.750474,0
21,34.669997,0,113.259111,0,0
22,34.669997,0,113.259111,0,0
23,34.669997,113.259111,0,0,0
