,dist_pump
0,246.06917226386534
1,313.3493962012393
2,332.2563122959751
3,347.3051539341716
4,244.48907811649843
5,348.33186438960195
6,168.0891533374097
7,337.55818840140796
8,151.15871486351693
9,136.82737234722035
10,125.66130040504714
11,324.0464095365643
12,322.3259511779819
13,325.52217154924404
14,322.33221659834703
15,197.44017236143912
16,322.3449766596244
17,322.33749679189924
18,196.82582262328512
19,322.33609769219794
20,324.05615931007827
21,321.81202400977065
22,191.13038306670722
23,121.81314936809777
