Day,Date,Month,Year,Hour,T_DB,T_WB
5,1,1,2016,0,284.15,281.9107312
5,1,1,2016,1,284.15,281.9107312
5,1,1,2016,2,283.15,280.9480181
5,1,1,2016,3,282.15,280.4447153
5,1,1,2016,4,282.15,280.4447153
5,1,1,2016,5,282.15,280.4447153
5,1,1,2016,6,282.15,279.9853024
5,1,1,2016,7,281.15,279.4668554
5,1,1,2016,8,282.15,279.9853024
5,1,1,2016,9,282.15,279.9853024
5,1,1,2016,10,283.15,280.9480181
5,1,1,2016,11,285.15,282.4504283
5,1,1,2016,12,288.15,285.8536912
5,1,1,2016,13,288.15,285.8536912
5,1,1,2016,14,289.15,286.3429656
5,1,1,2016,15,288.15,285.8536912
5,1,1,2016,16,287.15,285.3339823
5,1,1,2016,17,287.15,285.3339823
5,1,1,2016,18,286.15,284.356133
5,1,1,2016,19,285.15,283.881398
5,1,1,2016,20,284.15,283.4606064
5,1,1,2016,21,286.15,284.873302
5,1,1,2016,22,286.15,284.873302
5,1,1,2016,23,287.15,285.3339823
6,2,1,2016,0,287.15,285.3339823
6,2,1,2016,1,287.15,285.3339823
6,2,1,2016,2,287.15,285.3339823
6,2,1,2016,3,287.15,285.8652044
6,2,1,2016,4,287.15,285.8652044
6,2,1,2016,5,286.15,284.873302
6,2,1,2016,6,285.15,283.881398
6,2,1,2016,7,285.15,283.3782818
6,2,1,2016,8,285.15,282.8734418
6,2,1,2016,9,287.15,284.3487208
6,2,1,2016,10,287.15,283.5247652
6,2,1,2016,11,288.15,283.5666132
6,2,1,2016,12,288.15,282.8527901
6,2,1,2016,13,289.15,283.3878905
6,2,1,2016,14,289.15,282.5871291
6,2,1,2016,15,290.15,283.1560532
6,2,1,2016,16,289.15,282.5871291
6,2,1,2016,17,288.15,282.1037049
6,2,1,2016,18,287.15,280.9506668
6,2,1,2016,19,287.15,280.9506668
6,2,1,2016,20,285.15,279.795262
6,2,1,2016,21,286.15,280.3368711
6,2,1,2016,22,283.15,278.698967
6,2,1,2016,23,282.15,278.451123
7,3,1,2016,0,282.15,278.451123
7,3,1,2016,1,281.15,277.8440774
7,3,1,2016,2,281.15,277.8440774
7,3,1,2016,3,281.15,277.8440774
7,3,1,2016,4,281.15,277.8440774
7,3,1,2016,5,281.15,277.8440774
7,3,1,2016,6,280.15,277.2805642
7,3,1,2016,7,279.15,276.6874761
7,3,1,2016,8,281.15,277.8440774
7,3,1,2016,9,284.15,279.5711651
7,3,1,2016,10,285.15,280.1687311
7,3,1,2016,11,286.15,280.7362598
7,3,1,2016,12,287.15,281.2707838
7,3,1,2016,13,287.15,281.5830204
7,3,1,2016,14,287.15,281.8883761
7,3,1,2016,15,287.15,282.6752372
7,3,1,2016,16,287.15,282.2862901
7,3,1,2016,17,287.15,282.2862901
7,3,1,2016,18,287.15,282.6752372
7,3,1,2016,19,286.15,282.1510436
7,3,1,2016,20,286.15,282.5128279
7,3,1,2016,21,286.15,282.5128279
7,3,1,2016,22,286.15,282.5128279
7,3,1,2016,23,287.15,282.6752372
1,4,1,2016,0,286.15,282.1510436
1,4,1,2016,1,285.15,282.0242786
1,4,1,2016,2,285.15,282.0242786
1,4,1,2016,3,286.15,282.5128279
1,4,1,2016,4,286.15,282.9589004
1,4,1,2016,5,286.15,282.9589004
1,4,1,2016,6,286.15,282.9589004
1,4,1,2016,7,284.15,281.9107312
1,4,1,2016,8,286.15,282.9589004
1,4,1,2016,9,286.15,282.9589004
1,4,1,2016,10,286.15,283.399576
1,4,1,2016,11,288.15,283.5666132
1,4,1,2016,12,288.15,283.5666132
1,4,1,2016,13,288.15,283.9623018
1,4,1,2016,14,288.15,284.4469819
1,4,1,2016,15,287.15,284.3487208
1,4,1,2016,16,286.15,283.399576
1,4,1,2016,17,286.15,283.9230707
1,4,1,2016,18,285.15,283.3782818
1,4,1,2016,19,285.15,283.3782818
1,4,1,2016,20,285.15,283.881398
1,4,1,2016,21,285.15,283.3782818
1,4,1,2016,22,284.15,282.8894922
1,4,1,2016,23,284.15,282.8894922
2,5,1,2016,0,284.15,282.4004284
2,5,1,2016,1,283.15,281.422573
2,5,1,2016,2,283.15,281.422573
2,5,1,2016,3,283.15,280.9480181
2,5,1,2016,4,282.15,280.4447153
2,5,1,2016,5,283.15,280.9480181
2,5,1,2016,6,283.15,280.5521242
2,5,1,2016,7,282.15,279.9853024
2,5,1,2016,8,282.15,279.9853024
2,5,1,2016,9,282.15,280.4447153
2,5,1,2016,10,285.15,282.0242786
2,5,1,2016,11,287.15,283.056675
2,5,1,2016,12,288.15,283.1624346
2,5,1,2016,13,288.15,281.7689037
2,5,1,2016,14,288.15,281.7689037
2,5,1,2016,15,287.15,281.2707838
2,5,1,2016,16,286.15,280.7362598
2,5,1,2016,17,284.15,279.5711651
2,5,1,2016,18,284.15,279.3088963
2,5,1,2016,19,283.15,278.698967
2,5,1,2016,20,283.15,278.698967
2,5,1,2016,21,283.15,278.698967
2,5,1,2016,22,282.15,278.451123
2,5,1,2016,23,282.15,278.451123
3,6,1,2016,0,281.15,277.8440774
3,6,1,2016,1,282.15,278.451123
3,6,1,2016,2,281.15,277.5489413
3,6,1,2016,3,282.15,278.1403459
3,6,1,2016,4,283.15,278.3650597
3,6,1,2016,5,282.15,277.5094766
3,6,1,2016,6,282.15,277.5094766
3,6,1,2016,7,281.15,277.252644
3,6,1,2016,8,282.15,277.8267609
3,6,1,2016,9,283.15,278.698967
3,6,1,2016,10,284.15,278.9530017
3,6,1,2016,11,285.15,279.5087233
3,6,1,2016,12,286.15,280.028865
3,6,1,2016,13,286.15,280.3368711
3,6,1,2016,14,287.15,280.9506668
3,6,1,2016,15,287.15,280.9506668
3,6,1,2016,16,286.15,280.3368711
3,6,1,2016,17,286.15,280.028865
3,6,1,2016,18,285.15,279.795262
3,6,1,2016,19,285.15,279.5087233
3,6,1,2016,20,285.15,279.795262
3,6,1,2016,21,285.15,280.1687311
3,6,1,2016,22,285.15,280.1687311
3,6,1,2016,23,285.15,280.5339818
4,7,1,2016,0,284.15,279.5711651
4,7,1,2016,1,285.15,280.1687311
