Day of week,Date,Month,Year ,Hour,tcond_in,tcond_out,mcond,tevap_in,tevap_out,mevap,elect,qe,qc,qe-qc,cop
1,11,1,2016,16,294.95,295.95,1174.3,279.85,277.85,449.1,1046.01378,1367.550637,321.5368567,345,3.031924
1,11,1,2016,21,294.95,295.95,1173.6,279.85,278.05,443.3,929.254326,1366.73544,437.481114,512,1.814949855
2,12,1,2016,16,294.85,295.85,1178.3,280.85,278.35,456.5,1329.061708,1372.208903,43.147195,514,2.585723168
4,14,1,2016,19,294.95,296.25,1173.6,281.15,278.25,456,1540.02296,1776.756072,236.733112,517,2.978767814
1,18,1,2016,12,294.85,295.85,1180.3,279.85,278.05,452.6,948.749172,1374.538037,425.7888647,504,1.882438833
2,19,1,2016,18,294.75,295.85,1172.3,280.05,278.45,634.5,1182.26808,1501.743654,319.4755737,514,2.300132451
2,19,1,2016,22,294.75,295.75,1180.3,279.55,277.75,453.8,951.264636,1374.538037,423.2734007,507,1.876261609
3,20,1,2016,13,294.75,295.75,1158.3,279.95,278.15,450.3,943.927866,1348.91757,404.989704,500,1.887855732
3,20,1,2016,16,295.25,296.15,1176.6,281.75,280.15,648,1207.42272,1233.206226,25.783506,1018,1.186073399
4,21,1,2016,12,295.05,295.85,1178.6,280.35,278.55,448.6,940.364292,1098.046619,157.6823267,504,1.865802167
4,21,1,2016,14,295.05,296.75,1185.3,282.45,278.65,460.8,2039.202816,2346.613479,307.410663,503,4.054081145
4,21,1,2016,17,295.05,296.25,1188.3,281.45,278.65,453,1477.13636,1660.625484,183.489124,513,2.879408109
4,21,1,2016,19,295.05,296.25,1172,280.95,278.15,452.3,1474.853809,1637.84656,162.9927507,513,2.874958693
6,23,1,2016,11,294.95,295.95,1177.6,280.15,278.15,449.3,1046.479607,1371.393707,324.9141,508,2.059999226
6,23,1,2016,15,294.95,295.95,1179.6,279.65,277.65,443.6,1033.203547,1373.72284,340.5192933,511,2.021924749
6,23,1,2016,18,294.95,295.95,1193.6,280.65,278.65,448.6,1044.849213,1390.026773,345.17756,500,2.089698427
6,23,1,2016,19,294.95,295.95,1175.3,280.65,278.65,450.8,1049.973307,1368.715203,318.7418967,506,2.075046061
5,29,1,2016,18,295.15,296.55,1185.3,281.15,278.35,448.6,1462.788899,1932.505218,469.7163193,507,2.885185204
6,30,1,2016,14,295.05,296.45,1181.6,281.45,278.05,454.5,1799.60487,1926.472763,126.8678927,567,3.173906296
6,30,1,2016,16,295.05,295.95,1186,279.45,277.55,442.1,978.2243543,1243.05846,264.8341057,503,1.944780028
1,22,2,2016,20,296.15,298.45,1169.6,282.35,278.25,559,2669.070343,3132.777499,463.7071553,526,5.074278219
1,22,2,2016,23,296.15,297.45,1180.6,280.85,278.25,453.6,1373.443344,1787.353629,413.9102847,511,2.687756055
3,24,2,2016,13,297.35,299.15,1182.6,282.55,278.35,451,2205.92218,2478.989772,273.067592,507,4.350931321
3,24,2,2016,16,297.35,299.55,1165.6,282.75,278.35,512.5,2626.097833,2986.321595,360.2237613,507,5.179680145
3,24,2,2016,18,297.35,301.05,1163.6,283.35,278.45,705.5,4025.848738,5013.832161,987.983423,1030,3.908591008
4,25,2,2016,11,297.35,299.15,1189,282.45,278.35,454.3,2169.15681,2492.40558,323.2487697,1024,2.118317198
4,25,2,2016,12,297.35,299.15,1168,282.35,278.45,446.8,2029.280708,2448.38496,419.104252,501,4.050460495
4,25,2,2016,20,296.85,298.15,1170.6,281.35,278.25,452.3,1632.87386,1772.214262,139.3404017,514,3.176797394
6,27,2,2016,14,296.85,297.65,1179.6,280.35,278.55,445,932.8179,1098.978272,166.160372,503,1.854508748
4,3,3,2016,12,296.95,297.95,1188.3,280.45,278.25,452.6,1159.582321,1383.85457,224.2722487,506,2.291664667
4,3,3,2016,14,296.95,297.95,1181,280.45,278.25,445,1140.110767,1375.353233,235.2424667,515,2.213807314
4,3,3,2016,17,297.05,297.95,1183,280.45,278.25,449.6,1151.896181,1239.91413,88.01794867,500,2.303792363
4,3,3,2016,21,297.05,297.95,1172.6,280.45,278.25,451.3,1156.251661,1229.013786,72.76212533,503,2.298711055
5,4,3,2016,13,296.65,298.15,1185.3,281.25,278.15,448.5,1619.155265,2070.541305,451.38604,512,3.162412627
5,4,3,2016,20,297.05,298.15,1180,280.75,278.15,452.6,1370.415471,1511.607533,141.1920627,511,2.681830667
6,5,3,2016,10,292.35,293.05,1187,280.85,279.05,449.5,942.25089,967.6384433,25.38755333,342,2.755119561
7,6,3,2016,9,290.35,291.25,1175.3,280.95,279.55,454.6,741.1768093,1231.843683,490.6668737,511,1.450443854
5,1,4,2016,13,296.75,297.85,1174.3,280.35,278.25,449.1,1098.314469,1504.3057,405.9912313,507,2.166300728
6,2,4,2016,12,296.85,297.75,1190,280.45,278.55,451.6,999.2447827,1247.2509,248.0061173,503,1.986570144
6,2,4,2016,21,296.95,298.25,1165.3,280.95,278.05,452.3,1527.52716,1764.190398,236.663238,504,3.030807856
2,5,4,2016,15,297.05,298.45,1185.6,281.15,278.15,449.3,1569.71941,1932.994336,363.274926,555,2.828323261
4,7,4,2016,18,297.15,298.65,1164.3,281.65,278.45,449.5,1675.112693,2033.857455,358.7447617,504,3.323636296
4,7,4,2016,21,297.25,298.65,1184.3,281.15,277.95,450.5,1678.839307,1930.874825,252.035518,507,3.311320131
5,8,4,2016,17,296.85,298.15,1176.3,280.95,278.35,448.5,1358.00119,1780.843701,422.842511,507,2.678503333
5,8,4,2016,20,296.85,298.15,1184.3,280.95,278.35,449.1,1359.817914,1792.955194,433.1372803,516,2.635306035
6,9,4,2016,13,296.55,297.85,1178.6,280.95,278.35,446.6,1352.248231,1784.325755,432.0775247,517,2.615567177
6,9,4,2016,16,297.05,298.35,1183.6,280.95,278.35,452,1368.598747,1791.895439,423.296692,522,2.621836679
6,9,4,2016,18,297.05,298.35,1183.6,281.45,278.35,456.1,1646.592456,1791.895439,145.302983,504,3.267048523
6,9,4,2016,19,297.05,298.35,1179,281.45,278.35,450.5,1626.375578,1784.93133,158.5557517,517,3.145794155
6,9,4,2016,21,297.05,298.35,1183,281.45,278.35,448.5,1619.155265,1790.987077,171.8318117,503,3.218996551
2,12,4,2016,16,297.05,298.65,1189,281.85,278.15,453.8,1955.377307,2215.471627,260.0943193,510,3.834073152
2,12,4,2016,19,295.05,296.15,1182,280.85,278.15,448.5,1410.232005,1514.16958,103.937575,505,2.792538624
2,12,4,2016,21,295.05,295.65,1189.3,281.35,280.25,443.8,568.5181553,831.011482,262.4933267,505,1.125778525
3,13,4,2016,16,295.25,296.45,1175.6,280.65,278.45,450.1,1153.177205,1642.877488,489.7002833,514,2.243535418
3,13,4,2016,18,295.25,296.45,1175.3,281.15,278.45,452,1421.23716,1642.458244,221.221084,519,2.738414566
3,13,4,2016,19,295.25,296.45,1186.6,281.15,278.45,447,1405.51551,1658.249768,252.734258,298,4.716495
3,13,4,2016,21,294.75,295.95,1176.3,280.15,277.95,449.6,1151.896181,1643.855724,491.9595427,501,2.299193975
4,14,4,2016,10,295.05,295.95,1176.6,279.45,277.85,443.5,826.3765067,1233.206226,406.8297193,504,1.639635926
4,14,4,2016,14,295.05,295.95,1175.6,280.45,278.25,453.5,1161.888163,1232.158116,70.26995267,509,2.282687944
4,14,4,2016,16,295.05,295.95,1180.3,280.45,278.25,450.6,1154.458228,1237.084233,82.626005,502,2.299717586
4,14,4,2016,21,295.05,295.95,1182.6,279.95,278.25,448.8,888.517784,1239.494886,350.977102,506,1.755964
5,15,4,2016,15,295.05,296.05,1161,280.85,278.35,451.3,1313.922342,1352.0619,38.13955833,508,2.586461302
5,15,4,2016,20,295.05,296.05,1184,280.35,278.35,443.6,1033.203547,1378.846933,345.6433867,517,1.998459471
6,16,4,2016,17,294.95,296.05,1173.6,280.55,278.35,445.6,1141.647995,1503.408984,361.7609893,500,2.283295989
6,16,4,2016,19,294.95,296.05,1167.6,280.55,278.35,447.3,1146.003474,1495.722844,349.71937,502,2.282875446
6,16,4,2016,21,294.95,296.05,1193,280.55,278.35,450,1152.921,1528.260837,375.3398367,501,2.301239521
6,23,4,2016,19,295.05,295.95,1197.3,279.45,277.65,441.1,924.642642,1254.902103,330.259461,500,1.849285284
6,23,4,2016,21,295.05,295.95,1184.6,280.45,278.15,447.5,1198.630242,1241.591106,42.96086433,517,2.318433736
1,25,4,2016,12,295.15,296.35,1181.6,281.35,278.25,453.6,1637.567064,1651.262368,13.695304,520,3.149167431
1,25,4,2016,17,295.15,297.35,1173.3,283.05,278.35,456.5,2498.636012,3006.049354,507.4133423,515,4.851720411
1,25,4,2016,18,295.15,297.35,1171.6,283.05,278.35,456.5,2498.636012,3001.693875,503.057863,504,4.957611134
1,25,4,2016,19,295.15,296.35,1178,280.95,278.45,452.5,1317.416042,1646.23144,328.8153983,352,3.742659209
2,26,4,2016,12,295.35,297.15,1177.6,282.35,278.55,448.8,1986.098576,2468.508672,482.410096,502,3.956371665
2,26,4,2016,13,295.35,297.15,1181.6,282.45,278.55,446.8,2029.280708,2476.893552,447.612844,515,3.940350889
2,26,4,2016,14,295.35,297.15,1176,282.95,278.55,449.5,2303.279953,2465.15472,161.8747667,526,4.378859227
2,26,4,2016,17,295.35,297.65,1170.3,283.45,278.55,488.3,2786.423726,3134.652451,348.2287247,525,5.307473764
2,26,4,2016,18,295.35,297.65,1164,283.45,278.55,464.5,2650.611962,3117.77788,467.1659183,512,5.176976488
3,27,4,2016,20,295.05,295.85,1179,280.05,277.95,444.6,1087.309314,1098.41928,11.109966,503,2.161648736
4,28,4,2016,20,295.05,295.75,1173,280.05,278.35,444.1,879.2128963,956.22569,77.01279367,508,1.730734048
2,3,5,2016,12,295.35,296.65,1167,280.95,278.45,450.1,1310.428642,1766.76409,456.3354483,513,2.554441797
3,4,5,2016,13,296.25,297.15,1180,280.45,278.35,448.1,1095.868879,1236.7698,140.900921,507,2.161477079
5,6,5,2016,22,295.65,296.65,1188.6,279.75,277.75,442.8,1031.34024,1384.20394,352.8637,509,2.026208723
6,7,5,2016,17,295.05,295.85,1174.6,279.65,278.05,447.6,834.016064,1094.320005,260.3039413,508,1.641763906
1,9,5,2016,10,294.95,296.15,1182.6,280.65,278.35,450.3,1206.130051,1652.659848,446.529797,502,2.402649504
1,9,5,2016,18,294.95,296.15,1181,280.65,278.35,451,1208.005003,1650.42388,442.4188767,500,2.416010007
1,9,5,2016,20,294.95,296.15,1178.6,280.15,277.85,451.6,1209.612105,1647.069928,437.4578227,518,2.335158505
3,11,5,2016,22,295.75,296.75,1178.6,279.95,278.05,441.5,976.8967483,1372.558273,395.661525,489,1.997743862
4,12,5,2016,20,295.55,296.45,1179.3,280.45,278.45,450.5,1049.274567,1236.036123,186.7615563,502,2.09018838
5,13,5,2016,15,295.55,296.95,1174,281.35,278.55,447.5,1459.202033,1914.081773,454.87974,514,2.838914462
5,13,5,2016,17,295.05,296.45,1176.6,281.35,278.55,446.3,1455.289089,1918.320796,463.0317067,501,2.904768641
6,14,5,2016,19,295.05,296.25,1178.6,280.75,278.25,450.5,1311.593208,1647.069928,335.4767197,501,2.617950516
6,14,5,2016,20,295.05,296.25,1173,280.75,278.25,447.8,1303.732383,1639.24404,335.5116567,500,2.607464767
2,17,5,2016,12,295.55,296.85,1172.6,281.25,278.45,449.5,1465.723607,1775.242135,309.5185287,512,2.862741419
2,17,5,2016,18,295.55,296.85,1173.6,281.25,278.65,446.1,1350.734294,1776.756072,426.021778,510,2.648498616
2,17,5,2016,19,295.55,296.85,1170.6,281.25,278.65,449.6,1361.331851,1772.214262,410.8824113,507,2.685072684
2,17,5,2016,21,295.55,296.85,1173,280.75,278.15,448.3,1357.395615,1775.84771,418.4520947,510,2.66156003
3,18,5,2016,13,295.55,296.95,1171,281.15,278.45,448.3,1409.603139,1909.190593,499.5874543,516,2.731789029
3,18,5,2016,16,295.55,296.95,1163.3,281.15,278.45,451.1,1418.407263,1896.636565,478.2293017,511,2.775748068
3,18,5,2016,18,296.05,297.45,1186,281.15,278.45,452,1421.23716,1933.646493,512.4093333,519,2.738414566
4,19,5,2016,15,295.85,297.05,1165,280.85,278.65,452.6,1159.582321,1628.0642,468.4818787,514,2.255996734
4,19,5,2016,17,295.85,297.05,1170.3,281.35,278.65,452.1,1421.551593,1635.470844,213.919251,510,2.787356065
4,19,5,2016,19,295.85,297.05,1179.6,281.35,278.65,445.6,1401.113448,1648.467408,247.35396,504,2.779987
4,19,5,2016,20,295.85,297.05,1191.6,281.35,278.65,446.5,1403.943345,1665.237168,261.293823,517,2.715557727
5,20,5,2016,14,295.15,296.75,1181.6,281.35,278.15,454.1,1692.255115,2201.683157,509.4280427,517,3.273220725
5,20,5,2016,22,295.15,296.25,1173.3,280.35,278.25,445.5,1089.510345,1503.024677,413.514332,511,2.132114178
6,21,5,2016,17,295.15,296.15,1168.6,280.75,278.45,448.8,1202.112296,1360.912607,158.8003107,508,2.366362787
1,23,5,2016,10,295.75,296.95,1170.3,280.45,277.95,445.6,1297.327267,1635.470844,338.1435773,349.5,3.711952122
1,23,5,2016,11,296.15,297.65,1167.6,281.75,278.45,450,1729.3815,2039.62206,310.24056,349.5,4.948158798
1,23,5,2016,21,295.75,296.65,1186,280.35,278.25,442.5,1082.173575,1243.05846,160.884885,515,2.101307913
2,24,5,2016,11,295.45,297.05,1177,281.45,278.15,452.8,1740.142096,2193.111947,452.9698507,510,3.412043325
2,24,5,2016,13,295.95,297.05,1173.6,280.95,278.15,447.8,1460.180269,1503.408984,43.22871467,511,2.857495635
2,24,5,2016,15,295.95,297.05,1173.6,280.45,278.15,448.8,1202.112296,1503.408984,301.296688,524,2.294107435
2,24,5,2016,17,295.95,297.05,1183.3,280.95,278.15,449.6,1466.049685,1515.83491,49.785225,521,2.813914943
2,24,5,2016,18,295.95,297.05,1183,280.95,278.15,445,1451.050067,1515.450603,64.40053667,512,2.834082161
2,24,5,2016,20,295.95,297.05,1181.6,280.95,278.15,447.8,1460.180269,1513.657171,53.47690133,506,2.885731758
3,25,5,2016,15,295.25,296.85,1175,281.55,277.95,447.1,1874.439924,2189.385333,314.9454093,510,3.6753724
4,26,5,2016,13,295.15,296.75,1182.6,281.95,278.15,450.6,1994.064212,2203.546464,209.482252,503,3.96434237
4,26,5,2016,15,295.15,296.75,1179.3,281.45,278.15,451.1,1733.608877,2197.397552,463.788675,513,3.379354536
4,26,5,2016,16,295.15,296.75,1180.6,281.45,278.15,453.5,1742.832245,2199.819851,456.9876057,506,3.4443325
