Day of week,Date,Month,Year ,Hour,Tin_ct,Tout_ct,mw_ct,T_db,Hum_perc,T_wb,E
5,1,1,2016,1,292.45,292.35,237.2,283.15,0.81,280.9480181,0
5,1,1,2016,9,291.95,291.45,236,283.15,0.81,280.9480181,0
5,1,1,2016,21,292.95,292.45,236.52,286.15,0.93,284.873302,0
6,2,1,2016,1,294.85,294.45,234.8,287.15,0.87,285.3339823,0
6,2,1,2016,8,295.35,294.45,236.2,287.15,0.76,284.3487208,1
6,2,1,2016,9,295.35,294.25,236.46,287.15,0.67,283.5247652,0
6,2,1,2016,10,295.35,295.25,236.52,288.15,0.58,283.5666132,1
6,2,1,2016,11,295.35,295.15,236.52,288.15,0.51,282.8527901,1
6,2,1,2016,12,295.35,295.15,235.52,289.15,0.48,283.3878905,1
6,2,1,2016,13,295.35,294.45,235.32,289.15,0.41,282.5871291,1
6,2,1,2016,14,295.35,294.65,235.66,290.15,0.39,283.1560532,1
6,2,1,2016,15,295.35,294.35,235.72,289.15,0.41,282.5871291,0
6,2,1,2016,16,295.35,294.55,236.2,288.15,0.44,282.1037049,1
6,2,1,2016,17,295.35,294.75,234.06,287.15,0.41,280.9506668,1
6,2,1,2016,18,295.35,294.35,235.26,287.15,0.41,280.9506668,1
6,2,1,2016,19,295.35,294.85,237.6,285.15,0.46,279.795262,1
6,2,1,2016,20,295.35,294.55,236.26,286.15,0.43,280.3368711,1
6,2,1,2016,21,295.35,294.45,235.4,283.15,0.53,278.698967,0
6,2,1,2016,22,295.35,294.75,236.32,282.15,0.61,278.451123,1
7,3,1,2016,10,289.85,289.45,236.26,286.15,0.47,280.7362598,0
7,3,1,2016,11,290.85,290.45,235.4,287.15,0.44,281.2707838,0
7,3,1,2016,13,293.35,292.45,236.12,287.15,0.5,281.8883761,0
7,3,1,2016,14,295.35,294.35,234.66,287.15,0.58,282.6752372,0
7,3,1,2016,15,295.35,294.55,234.72,287.15,0.54,282.2862901,1
7,3,1,2016,16,295.35,294.75,236.92,287.15,0.54,282.2862901,1
7,3,1,2016,17,295.85,294.55,235.92,287.15,0.58,282.6752372,0
7,3,1,2016,18,295.35,294.85,236.52,286.15,0.62,282.1510436,1
7,3,1,2016,19,295.35,294.35,236.46,286.15,0.66,282.5128279,1
7,3,1,2016,20,295.35,294.65,234.46,286.15,0.66,282.5128279,1
7,3,1,2016,21,295.35,294.45,237.2,286.15,0.66,282.5128279,1
7,3,1,2016,22,295.35,294.25,236.4,287.15,0.58,282.6752372,0
7,3,1,2016,23,294.35,294.25,236.26,286.15,0.62,282.1510436,1
1,4,1,2016,0,293.35,293.25,235.2,285.15,0.71,282.0242786,0
1,4,1,2016,1,292.35,292.25,237.26,285.15,0.71,282.0242786,0
1,4,1,2016,9,292.85,292.75,235.8,286.15,0.76,283.399576,0
1,4,1,2016,10,295.35,294.35,235.6,288.15,0.58,283.5666132,0
1,4,1,2016,11,295.85,294.75,235.92,288.15,0.58,283.5666132,2
1,4,1,2016,12,295.85,294.45,236.26,288.15,0.62,283.9623018,1
1,4,1,2016,13,295.85,294.45,236.86,288.15,0.67,284.4469819,1
1,4,1,2016,14,295.85,294.95,235.52,287.15,0.76,284.3487208,1
1,4,1,2016,15,295.85,295.25,238.4,286.15,0.76,283.399576,1
1,4,1,2016,16,295.85,294.95,236.52,286.15,0.82,283.9230707,1
1,4,1,2016,17,295.85,294.65,235.66,285.15,0.87,283.3782818,1
1,4,1,2016,18,295.35,294.95,234.72,285.15,0.87,283.3782818,1
1,4,1,2016,19,295.85,294.75,235.4,285.15,0.93,283.881398,1
1,4,1,2016,20,295.85,294.65,235.26,285.15,0.87,283.3782818,1
1,4,1,2016,21,295.85,295.05,235.52,284.15,0.93,282.8894922,1
1,4,1,2016,22,295.35,295.05,237,284.15,0.93,282.8894922,1
2,5,1,2016,11,292.55,292.45,234.32,288.15,0.54,283.1624346,0
2,5,1,2016,12,295.55,294.15,236.06,288.15,0.41,281.7689037,0
2,5,1,2016,13,296.05,295.35,236.92,288.15,0.41,281.7689037,2
2,5,1,2016,14,295.55,294.95,234.92,287.15,0.44,281.2707838,1
2,5,1,2016,15,295.95,294.05,235.12,286.15,0.47,280.7362598,1
2,5,1,2016,17,295.45,295.05,235.92,284.15,0.5,279.3088963,1
2,5,1,2016,18,295.45,294.35,236.8,283.15,0.53,278.698967,0
2,5,1,2016,19,295.45,294.55,235.6,283.15,0.53,278.698967,1
2,5,1,2016,20,295.45,294.95,236.6,283.15,0.53,278.698967,1
2,5,1,2016,21,295.45,295.05,236.4,282.15,0.61,278.451123,0
2,5,1,2016,22,294.95,293.75,236,282.15,0.61,278.451123,0
