Day of week,Date,Month,Year ,Hour,Tin_ct,Tout_ct1,Tout_ct2,Tout_ct3,Tout_ct4,Tout_ct5,Tout_ct,Ct1_power,Ct2_power,Ct3_power,Ct4_power,Ct5_power,Water_cons
5,1,1,2016,0,19.3,273,19.7,24.8,19.5,19.2,19.4,0,0,0,0,0,0.5
5,1,1,2016,1,19.3,273,19.2,23.6,19,19.2,18.9,0,0,0,0,0,0
5,1,1,2016,2,18.8,273,19.2,23.6,19,18.7,18.9,0,0,0,0,0,0
5,1,1,2016,3,18.8,273,18.7,23.6,19,18.7,17.9,0,0,0,0,0,0
5,1,1,2016,4,18.8,273,18.2,23.1,18.5,18.2,17.9,0,0,0,0,0,0
5,1,1,2016,5,18.3,273,17.7,22.6,18.5,17.7,17.4,0,0,0,0,0,0
5,1,1,2016,6,18.3,273,17.7,22.2,18,17.7,16.9,0,0,0,0,0,0
5,1,1,2016,7,18.3,273,17.2,22.3,18,17.2,16.9,0,0,0,0,0,0
5,1,1,2016,8,19.8,273,19.8,22.8,19.5,19.2,19.4,0,0,0,0,0,1.5
5,1,1,2016,9,18.8,273,18.3,22.3,18.5,18.2,18.4,0,0,0,0,0,0.5
5,1,1,2016,10,17.8,273,17.8,21.8,18,17.7,17.9,0,0,0,0,0,0.5
5,1,1,2016,11,19.3,273,19.3,22.4,19.5,19.2,18.9,0,0,0,0,0,0
5,1,1,2016,12,19.3,273,19.3,23.4,19.5,19.2,19.4,0,0,0,0,0,0.5
5,1,1,2016,13,20.3,273,20.3,24,20,20.2,19.9,0,0,0,0,0,0
5,1,1,2016,14,21.3,273,21.3,25,21,21.2,20.9,0,0,0,0,0,0.5
5,1,1,2016,15,20.3,273,20.3,24,20,20.2,19.9,0,0,0,0,0,0
5,1,1,2016,16,19.2,273,19.3,23,19.5,19.2,19.4,0,0,0,0,0,0.5
5,1,1,2016,17,20.3,273,20.3,23.5,20,19.7,19.9,0,0,0,0,0,0.5
5,1,1,2016,18,19.3,273,19.3,23,19.5,19.2,19.4,0,0,0,0,0,0
5,1,1,2016,19,19.3,273,19.3,22.5,19.5,19.2,19.4,0,0,0,0,0,0.5
5,1,1,2016,20,19.8,273,19.8,23,20,19.7,19.9,0,0,0,0,0,0
5,1,1,2016,21,19.8,273,19.3,23,19.5,19.2,19.4,0,0,0,0,0,0.5
5,1,1,2016,22,20.8,273,20.8,23.5,21,20.7,20.9,0,0,0,0,0,0
5,1,1,2016,23,20.3,273,20.3,24.1,20,20.2,19.9,0,0,0,0,0,0
6,2,1,2016,0,20.3,273,20.3,23.6,20.5,20.2,20.4,0,0,0,0,0,0.5
6,2,1,2016,1,21.7,273,21.3,24.6,21.5,21.2,21.4,0,0,0,0,0,0
6,2,1,2016,2,20.7,273,20.8,24.6,21,20.7,20.9,0,0,0,0,0,0.5
6,2,1,2016,3,20.7,273,20.8,24.6,21,20.7,20.4,0,0,0,0,0,0
6,2,1,2016,4,20.7,273,20.3,24.6,20.5,20.2,19.9,0,0,0,0,0,0
6,2,1,2016,5,20.7,273,19.8,24.1,20.5,20.2,19.4,0,0,0,0,0,0
6,2,1,2016,6,20.2,273,19.8,23.6,20,19.7,18.9,0,0,0,0,0,0
6,2,1,2016,7,20.2,273,19.3,23.1,20,19.2,18.9,0,0,0,0,0,0
6,2,1,2016,8,22.2,273,21.3,23.6,21.6,21.3,21.4,0,1,0,0,0,1.5
6,2,1,2016,9,22.2,273,21.1,24.6,21.2,21.8,21.4,0,0,0,1,0,1
6,2,1,2016,10,22.2,273,22.1,25.1,21.7,22,21.8,0,1,0,1,0,1.5
6,2,1,2016,11,22.2,273,22,25.6,21.9,21.6,21.3,0,1,0,1,1,1
6,2,1,2016,12,22.2,273,22,24.9,21.7,21.6,21.3,0,1,0,1,0,1.5
6,2,1,2016,13,22.2,273,21.3,24.9,22,22,21.8,0,1,0,1,0,1
6,2,1,2016,14,22.2,273,21.5,24.4,21.3,21.8,21.8,0,1,0,1,0,1
6,2,1,2016,15,22.2,273,21.2,24.9,21.6,21.7,21.8,0,0,0,1,1,1.5
6,2,1,2016,16,22.2,273,21.4,24.9,21.6,21.8,21.8,0,1,0,1,0,1.5
6,2,1,2016,17,22.2,273,21.6,24.9,21.8,21.6,21.8,0,1,0,1,0,1
6,2,1,2016,18,22.2,273,21.2,25.4,21.4,21.2,21.3,0,1,0,2,1,1.5
6,2,1,2016,19,22.2,273,21.7,24.9,21.4,21.7,21.7,0,1,0,1,1,1.5
6,2,1,2016,20,22.2,273,21.4,24.9,21.7,21.9,21.2,0,1,0,1,0,1.5
6,2,1,2016,21,22.2,273,21.3,24.9,21.3,21.5,21.7,0,0,0,1,1,1
6,2,1,2016,22,22.2,273,21.6,24.4,21.7,21.8,21.7,0,1,0,1,0,1.5
6,2,1,2016,23,20.7,273,20.5,24.4,20.8,20.8,20.7,0,0,0,0,0,1
7,3,1,2016,0,19.2,273,19.5,24,19.3,19.3,19.2,0,0,0,0,0,0.5
7,3,1,2016,1,18.2,273,18,21.7,18.3,17.8,18.2,0,0,0,0,0,0.5
7,3,1,2016,2,17.7,273,18,21.7,17.8,17.8,17.2,0,0,0,0,0,0
7,3,1,2016,3,17.7,273,17.5,21.2,17.8,17.3,16.7,0,0,0,0,0,0
7,3,1,2016,4,17.7,273,16.5,20.7,17.3,16.8,16.2,0,0,0,0,0,0
7,3,1,2016,5,17.2,273,16,21.1,16.8,16.3,15.7,0,0,0,0,0,0
7,3,1,2016,6,17.2,273,15.5,19.9,16.3,15.7,15.2,0,0,0,0,0,0
7,3,1,2016,7,17.2,273,15.5,18.9,16.3,15.7,14.7,0,0,0,0,0,0
7,3,1,2016,8,17.7,273,17.8,19,17.7,17.8,17.9,0,0,0,0,0,1.5
7,3,1,2016,9,17.2,273,17.3,20,17.2,16.8,16.9,0,0,0,0,0,0.5
7,3,1,2016,10,16.7,273,16.3,19.5,16.7,16.3,16.4,0,0,0,0,0,0
7,3,1,2016,11,17.7,273,17.3,19.5,17.2,16.8,16.9,0,0,0,0,0,0.5
7,3,1,2016,12,17.2,273,17.3,20.5,17.7,17.3,17.4,0,0,0,0,0,0
7,3,1,2016,13,20.2,273,19.3,21.5,19.7,19.3,19.4,0,0,0,0,0,0.5
7,3,1,2016,14,22.2,273,21.2,23.9,21.6,21.8,21.4,0,0,0,0,0,0.5
7,3,1,2016,15,22.2,273,21.4,24.1,21.6,21.6,21.4,0,1,0,1,0,1
7,3,1,2016,16,22.2,273,21.6,24.1,21.7,21,21.4,0,1,0,1,0,1
7,3,1,2016,17,22.7,273,21.4,23.3,21.9,21.8,21.4,0,0,0,1,0,1.5
7,3,1,2016,18,22.2,273,21.7,23.3,21.7,21.3,21.4,0,1,0,1,1,1.5
7,3,1,2016,19,22.2,273,21.2,23.3,21.5,21.3,21.4,0,1,0,1,0,1
7,3,1,2016,20,22.2,273,21.5,23.3,21.5,21.9,21.4,0,1,0,1,1,1.5
7,3,1,2016,21,22.2,273,21.3,23.3,21.8,21.9,21.4,0,1,0,1,0,1.5
7,3,1,2016,22,22.2,273,21.1,24.3,21.3,21.6,21.4,0,0,0,1,0,1
7,3,1,2016,23,21.2,273,21.1,24.3,21.1,21.1,20.9,0,1,0,1,0,0.5
1,4,1,2016,0,20.2,273,20.1,23.3,20.1,20.1,19.9,0,0,0,0,0,0.5
1,4,1,2016,1,19.2,273,19.1,22.3,19.1,19.1,18.9,0,0,0,0,0,0
1,4,1,2016,2,18.2,273,18.6,21.3,18.6,18.1,18.4,0,0,0,0,0,0.5
1,4,1,2016,3,18.2,273,18.1,21.3,18.1,18.1,17.9,0,0,0,0,0,0
1,4,1,2016,4,18.2,273,18.1,21.3,18.1,18.1,17.4,0,0,0,0,0,0
1,4,1,2016,5,18.2,273,17.6,20.8,18.1,17.6,16.9,0,0,0,0,0,0
1,4,1,2016,6,17.7,273,17.1,20.3,17.6,17.1,16.9,0,0,0,0,0,0
1,4,1,2016,7,17.7,273,17.1,19.8,17.6,17.1,16.4,0,0,0,0,0,0
1,4,1,2016,8,17.2,273,17.1,19.8,17.6,17.1,17.4,0,0,0,0,0,1.5
1,4,1,2016,9,19.7,273,19.6,21.8,19.6,19.6,19.4,0,0,0,0,0,0.5
1,4,1,2016,10,22.2,273,21.2,23.8,21.4,21,21.4,0,0,0,0,1,1
