Marca temporal;001 - Hotel SB.VOLUMEN AGUA FRIO +5 C HOTEL SB (m3)
01/01/2015 0:00:00;3
01/01/2015 1:00:00;2
01/01/2015 2:00:00;3
01/01/2015 3:00:00;1
01/01/2015 4:00:00;2
01/01/2015 5:00:00;2
01/01/2015 6:00:00;2
01/01/2015 7:00:00;2
01/01/2015 8:00:00;2
01/01/2015 9:00:00;2
01/01/2015 10:00:00;3
01/01/2015 11:00:00;5
01/01/2015 12:00:00;4
01/01/2015 13:00:00;5
01/01/2015 14:00:00;4
01/01/2015 15:00:00;6
01/01/2015 16:00:00;4
01/01/2015 17:00:00;3
01/01/2015 18:00:00;3
01/01/2015 19:00:00;4
01/01/2015 20:00:00;3
01/01/2015 21:00:00;4
01/01/2015 22:00:00;3
01/01/2015 23:00:00;3
02/01/2015 0:00:00;3
02/01/2015 1:00:00;3
02/01/2015 2:00:00;2
02/01/2015 3:00:00;3
02/01/2015 4:00:00;2
02/01/2015 5:00:00;2
02/01/2015 6:00:00;2
02/01/2015 7:00:00;2
02/01/2015 8:00:00;2
02/01/2015 9:00:00;3
02/01/2015 10:00:00;4
02/01/2015 11:00:00;4
02/01/2015 12:00:00;4
02/01/2015 13:00:00;4
02/01/2015 14:00:00;4
02/01/2015 15:00:00;4
02/01/2015 16:00:00;3
02/01/2015 17:00:00;3
02/01/2015 18:00:00;2
02/01/2015 19:00:00;3
02/01/2015 20:00:00;3
02/01/2015 21:00:00;3
02/01/2015 22:00:00;4
02/01/2015 23:00:00;4
03/01/2015 0:00:00;3
03/01/2015 1:00:00;3
03/01/2015 2:00:00;3
03/01/2015 3:00:00;3
03/01/2015 4:00:00;2
03/01/2015 5:00:00;3
03/01/2015 6:00:00;2
03/01/2015 7:00:00;2
03/01/2015 8:00:00;2
03/01/2015 9:00:00;3
03/01/2015 10:00:00;3
03/01/2015 11:00:00;3
03/01/2015 12:00:00;4
03/01/2015 13:00:00;3
03/01/2015 14:00:00;4
03/01/2015 15:00:00;4
03/01/2015 16:00:00;3
03/01/2015 17:00:00;3
03/01/2015 18:00:00;3
03/01/2015 19:00:00;3
03/01/2015 20:00:00;3
03/01/2015 21:00:00;3
03/01/2015 22:00:00;4
03/01/2015 23:00:00;4
04/01/2015 0:00:00;4
04/01/2015 1:00:00;2
04/01/2015 2:00:00;2
04/01/2015 3:00:00;2
04/01/2015 4:00:00;3
04/01/2015 5:00:00;2
04/01/2015 6:00:00;2
04/01/2015 7:00:00;3
04/01/2015 8:00:00;2
04/01/2015 9:00:00;3
04/01/2015 10:00:00;3
04/01/2015 11:00:00;3
04/01/2015 12:00:00;4
04/01/2015 13:00:00;4
04/01/2015 14:00:00;5
04/01/2015 15:00:00;4
04/01/2015 16:00:00;4
04/01/2015 17:00:00;3
04/01/2015 18:00:00;2
04/01/2015 19:00:00;2
04/01/2015 20:00:00;2
04/01/2015 21:00:00;3
04/01/2015 22:00:00;4
04/01/2015 23:00:00;4
05/01/2015 0:00:00;3
05/01/2015 1:00:00;2
05/01/2015 2:00:00;3
05/01/2015 3:00:00;2
05/01/2015 4:00:00;3
05/01/2015 5:00:00;1
05/01/2015 6:00:00;2
05/01/2015 7:00:00;2
05/01/2015 8:00:00;2
05/01/2015 9:00:00;2
05/01/2015 10:00:00;2
05/01/2015 11:00:00;3
05/01/2015 12:00:00;5
05/01/2015 13:00:00;3
05/01/2015 14:00:00;3
05/01/2015 15:00:00;5
05/01/2015 16:00:00;4
05/01/2015 17:00:00;3
05/01/2015 18:00:00;2
05/01/2015 19:00:00;2
05/01/2015 20:00:00;2
05/01/2015 21:00:00;3
05/01/2015 22:00:00;3
05/01/2015 23:00:00;2
06/01/2015 0:00:00;3
06/01/2015 1:00:00;2
06/01/2015 2:00:00;3
06/01/2015 3:00:00;2
06/01/2015 4:00:00;1
06/01/2015 5:00:00;2
06/01/2015 6:00:00;1
06/01/2015 7:00:00;2
06/01/2015 8:00:00;3
06/01/2015 9:00:00;1
06/01/2015 10:00:00;2
06/01/2015 11:00:00;3
06/01/2015 12:00:00;4
06/01/2015 13:00:00;3
06/01/2015 14:00:00;3
06/01/2015 15:00:00;5
06/01/2015 16:00:00;6
06/01/2015 17:00:00;5
06/01/2015 18:00:00;4
