Marca temporal;001 - Planta Biomasa Electricidad.AGUA COMPANIA ZONA FRANCA (m3)
01/01/2015 0:00:00;274,64
02/01/2015 0:00:00;98,68
03/01/2015 0:00:00;215,18
04/01/2015 0:00:00;240,52
05/01/2015 0:00:00;289,59
06/01/2015 0:00:00;283,3
07/01/2015 0:00:00;105,32
08/01/2015 0:00:00;120,07
09/01/2015 0:00:00;83,34
10/01/2015 0:00:00;120,91
11/01/2015 0:00:00;58,3
12/01/2015 0:00:00;153,05
13/01/2015 0:00:00;146,91
14/01/2015 0:00:00;196,54
15/01/2015 0:00:00;180,5
16/01/2015 0:00:00;135,19
17/01/2015 0:00:00;124,05
18/01/2015 0:00:00;200,47
19/01/2015 0:00:00;44,19
20/01/2015 0:00:00;73,82
21/01/2015 0:00:00;91,49
22/01/2015 0:00:00;172,79
23/01/2015 0:00:00;84,14
24/01/2015 0:00:00;112,18
25/01/2015 0:00:00;224,77
26/01/2015 0:00:00;133,73
27/01/2015 0:00:00;147,01
28/01/2015 0:00:00;168,68
29/01/2015 0:00:00;165
30/01/2015 0:00:00;211,78
31/01/2015 0:00:00;180,49
01/02/2015 0:00:00;153,66
02/02/2015 0:00:00;106,73
03/02/2015 0:00:00;95,98
04/02/2015 0:00:00;42,97
05/02/2015 0:00:00;101,26
06/02/2015 0:00:00;59,91
07/02/2015 0:00:00;93,4
08/02/2015 0:00:00;142,09
09/02/2015 0:00:00;137,85
10/02/2015 0:00:00;197,56
11/02/2015 0:00:00;179,99
12/02/2015 0:00:00;259,34
13/02/2015 0:00:00;212,11
14/02/2015 0:00:00;199,2
15/02/2015 0:00:00;224,67
16/02/2015 0:00:00;183,98
17/02/2015 0:00:00;243,27
18/02/2015 0:00:00;227,29
19/02/2015 0:00:00;160,84
20/02/2015 0:00:00;178,73
21/02/2015 0:00:00;191,2
22/02/2015 0:00:00;243,62
23/02/2015 0:00:00;176,48
24/02/2015 0:00:00;169,02
25/02/2015 0:00:00;210,44
26/02/2015 0:00:00;194,64
27/02/2015 0:00:00;232,01
28/02/2015 0:00:00;174,02
01/03/2015 0:00:00;251,83
02/03/2015 0:00:00;282,08
03/03/2015 0:00:00;305,59
04/03/2015 0:00:00;159,59
05/03/2015 0:00:00;234,31
06/03/2015 0:00:00;212,98
07/03/2015 0:00:00;193,14
08/03/2015 0:00:00;210,42
09/03/2015 0:00:00;248,52
10/03/2015 0:00:00;208,27
11/03/2015 0:00:00;228,67
12/03/2015 0:00:00;229,96
13/03/2015 0:00:00;248,03
14/03/2015 0:00:00;166,27
15/03/2015 0:00:00;159,23
16/03/2015 0:00:00;192,87
