Marca temporal;001 - Planta Biomasa Electricidad.AGUA ENTRADA FILTROS BIOMASA (m3)
01/01/2015 0:00:00;173
02/01/2015 0:00:00;225
03/01/2015 0:00:00;80
04/01/2015 0:00:00;199
05/01/2015 0:00:00;201
06/01/2015 0:00:00;266
07/01/2015 0:00:00;234
08/01/2015 0:00:00;83
09/01/2015 0:00:00;58
10/01/2015 0:00:00;59
11/01/2015 0:00:00;66
12/01/2015 0:00:00;50
13/01/2015 0:00:00;102
14/01/2015 0:00:00;134
15/01/2015 0:00:00;181
16/01/2015 0:00:00;136
17/01/2015 0:00:00;124
18/01/2015 0:00:00;101
19/01/2015 0:00:00;126
20/01/2015 0:00:00;32
21/01/2015 0:00:00;58
22/01/2015 0:00:00;80
23/01/2015 0:00:00;98
24/01/2015 0:00:00;76
25/01/2015 0:00:00;97
26/01/2015 0:00:00;184
27/01/2015 0:00:00;95
28/01/2015 0:00:00;123
29/01/2015 0:00:00;121
30/01/2015 0:00:00;152
31/01/2015 0:00:00;204
01/02/2015 0:00:00;130
02/02/2015 0:00:00;140
03/02/2015 0:00:00;93
04/02/2015 0:00:00;50
05/02/2015 0:00:00;31
06/02/2015 0:00:00;60
07/02/2015 0:00:00;50
08/02/2015 0:00:00;79
09/02/2015 0:00:00;131
10/02/2015 0:00:00;92
11/02/2015 0:00:00;94
12/02/2015 0:00:00;89
13/02/2015 0:00:00;108
14/02/2015 0:00:00;201
15/02/2015 0:00:00;176
16/02/2015 0:00:00;192
17/02/2015 0:00:00;185
18/02/2015 0:00:00;188
19/02/2015 0:00:00;194
20/02/2015 0:00:00;145
21/02/2015 0:00:00;131
22/02/2015 0:00:00;149
23/02/2015 0:00:00;187
24/02/2015 0:00:00;158
25/02/2015 0:00:00;170
26/02/2015 0:00:00;173
27/02/2015 0:00:00;182
28/02/2015 0:00:00;203
01/03/2015 0:00:00;161
02/03/2015 0:00:00;244
03/03/2015 0:00:00;232
04/03/2015 0:00:00;227
05/03/2015 0:00:00;138
06/03/2015 0:00:00;143
07/03/2015 0:00:00;173
08/03/2015 0:00:00;175
09/03/2015 0:00:00;166
10/03/2015 0:00:00;171
11/03/2015 0:00:00;194
12/03/2015 0:00:00;191
13/03/2015 0:00:00;217
14/03/2015 0:00:00;211
15/03/2015 0:00:00;156
16/03/2015 0:00:00;143
17/03/2015 0:00:00;109
18/03/2015 0:00:00;145
19/03/2015 0:00:00;155
20/03/2015 0:00:00;167
21/03/2015 0:00:00;136
22/03/2015 0:00:00;159
23/03/2015 0:00:00;174
24/03/2015 0:00:00;158
25/03/2015 0:00:00;115
26/03/2015 0:00:00;139
27/03/2015 0:00:00;135
28/03/2015 0:00:00;232
29/03/2015 0:00:00;261
30/03/2015 0:00:00;241
31/03/2015 0:00:00;244
01/04/2015 0:00:00;228
02/04/2015 0:00:00;229
03/04/2015 0:00:00;223
04/04/2015 0:00:00;209
05/04/2015 0:00:00;237
06/04/2015 0:00:00;227
07/04/2015 0:00:00;229
08/04/2015 0:00:00;162
09/04/2015 0:00:00;157
10/04/2015 0:00:00;31
