Marca temporal;001 - Planta Biomasa Electricidad.ENERGIA AUTOCONSUMOS (kWh)
01/01/2015 0:00:00;3880
01/01/2015 1:00:00;3800
01/01/2015 2:00:00;3870
01/01/2015 3:00:00;3850
01/01/2015 4:00:00;3850
01/01/2015 5:00:00;3810
01/01/2015 6:00:00;3860
01/01/2015 7:00:00;3860
01/01/2015 8:00:00;3860
01/01/2015 9:00:00;3810
01/01/2015 10:00:00;3850
01/01/2015 11:00:00;3880
01/01/2015 12:00:00;3840
01/01/2015 13:00:00;3840
01/01/2015 14:00:00;3820
01/01/2015 15:00:00;3840
01/01/2015 16:00:00;3850
01/01/2015 17:00:00;3820
01/01/2015 18:00:00;2150
01/01/2015 19:00:00;2590
01/01/2015 20:00:00;2520
01/01/2015 21:00:00;2510
01/01/2015 22:00:00;2530
01/01/2015 23:00:00;2530
02/01/2015 0:00:00;2540
02/01/2015 1:00:00;2450
02/01/2015 2:00:00;2490
02/01/2015 3:00:00;2510
02/01/2015 4:00:00;2470
02/01/2015 5:00:00;2500
02/01/2015 6:00:00;2500
02/01/2015 7:00:00
02/01/2015 8:00:00;3660
02/01/2015 9:00:00;2520
02/01/2015 10:00:00;2470
02/01/2015 11:00:00;2430
02/01/2015 12:00:00;2530
02/01/2015 13:00:00;3040
02/01/2015 14:00:00;3090
02/01/2015 15:00:00;3640
02/01/2015 16:00:00;3410
02/01/2015 17:00:00;3380
02/01/2015 18:00:00;3290
02/01/2015 19:00:00;3130
02/01/2015 20:00:00;2780
02/01/2015 21:00:00;3000
02/01/2015 22:00:00;3070
02/01/2015 23:00:00;2990
03/01/2015 0:00:00;2490
03/01/2015 1:00:00;2460
03/01/2015 2:00:00;2500
03/01/2015 3:00:00
03/01/2015 4:00:00;3650
03/01/2015 5:00:00;2510
03/01/2015 6:00:00;2510
03/01/2015 7:00:00;2500
03/01/2015 8:00:00;2530
03/01/2015 9:00:00;2170
03/01/2015 10:00:00;1530
03/01/2015 11:00:00;3060
03/01/2015 12:00:00;3800
03/01/2015 13:00:00;3860
03/01/2015 14:00:00;3840
03/01/2015 15:00:00;3860
03/01/2015 16:00:00;3830
03/01/2015 17:00:00;3850
03/01/2015 18:00:00;3860
03/01/2015 19:00:00;3880
03/01/2015 20:00:00;3700
03/01/2015 21:00:00;3870
03/01/2015 22:00:00;3880
03/01/2015 23:00:00;3870
04/01/2015 0:00:00;3870
04/01/2015 1:00:00;2570
04/01/2015 2:00:00;2460
04/01/2015 3:00:00;2760
04/01/2015 4:00:00;3140
04/01/2015 5:00:00;3150
04/01/2015 6:00:00;3100
04/01/2015 7:00:00;2660
04/01/2015 8:00:00;2930
04/01/2015 9:00:00;2870
04/01/2015 10:00:00;3220
04/01/2015 11:00:00;3250
04/01/2015 12:00:00;3860
04/01/2015 13:00:00;3860
04/01/2015 14:00:00;3850
04/01/2015 15:00:00
04/01/2015 16:00:00;5640
04/01/2015 17:00:00;3880
04/01/2015 18:00:00;3870
04/01/2015 19:00:00;3860
04/01/2015 20:00:00;3850
04/01/2015 21:00:00;3720
04/01/2015 22:00:00;3850
04/01/2015 23:00:00;3770
05/01/2015 0:00:00;3850
05/01/2015 1:00:00;3820
05/01/2015 2:00:00;3850
05/01/2015 3:00:00;3860
05/01/2015 4:00:00;3860
05/01/2015 5:00:00;3860
05/01/2015 6:00:00;3840
05/01/2015 7:00:00;3820
05/01/2015 8:00:00;3850
05/01/2015 9:00:00;3840
05/01/2015 10:00:00;3840
05/01/2015 11:00:00;3710
05/01/2015 12:00:00;3780
05/01/2015 13:00:00;3870
05/01/2015 14:00:00;3850
05/01/2015 15:00:00;3810
05/01/2015 16:00:00;3850
05/01/2015 17:00:00;3850
05/01/2015 18:00:00;3850
05/01/2015 19:00:00;3860
05/01/2015 20:00:00
05/01/2015 21:00:00;5650
05/01/2015 22:00:00;3850
05/01/2015 23:00:00;3870
06/01/2015 0:00:00;3860
06/01/2015 1:00:00;3850
06/01/2015 2:00:00;3880
06/01/2015 3:00:00;3870
06/01/2015 4:00:00;3850
06/01/2015 5:00:00;3860
06/01/2015 6:00:00;3870
06/01/2015 7:00:00;3880
06/01/2015 8:00:00;3850
06/01/2015 9:00:00;3870
06/01/2015 10:00:00;3870
06/01/2015 11:00:00;3870
06/01/2015 12:00:00;3880
06/01/2015 13:00:00;3870
06/01/2015 14:00:00;3870
06/01/2015 15:00:00;3870
06/01/2015 16:00:00;3860
06/01/2015 17:00:00;3850
06/01/2015 18:00:00;3890
06/01/2015 19:00:00;3710
06/01/2015 20:00:00;2850
06/01/2015 21:00:00;2760
06/01/2015 22:00:00;2470
06/01/2015 23:00:00;2480
07/01/2015 0:00:00;2140
07/01/2015 1:00:00;2470
07/01/2015 2:00:00;2510
07/01/2015 3:00:00;2520
07/01/2015 4:00:00;2550
07/01/2015 5:00:00;2490
07/01/2015 6:00:00;2510
07/01/2015 7:00:00;2510
07/01/2015 8:00:00;2490
07/01/2015 9:00:00;2450
07/01/2015 10:00:00;2460
07/01/2015 11:00:00;2530
07/01/2015 12:00:00
07/01/2015 13:00:00;4360
07/01/2015 14:00:00;3350
07/01/2015 15:00:00;3800
07/01/2015 16:00:00;3390
07/01/2015 17:00:00;3780
07/01/2015 18:00:00;2770
07/01/2015 19:00:00;2840
07/01/2015 20:00:00;2790
07/01/2015 21:00:00;2760
07/01/2015 22:00:00;2690
07/01/2015 23:00:00;2520
08/01/2015 0:00:00;2560
08/01/2015 1:00:00;2450
08/01/2015 2:00:00;2490
08/01/2015 3:00:00;2400
08/01/2015 4:00:00;2440
08/01/2015 5:00:00;2470
08/01/2015 6:00:00;2450
08/01/2015 7:00:00;2460
08/01/2015 8:00:00;2450
08/01/2015 9:00:00;2480
08/01/2015 10:00:00;2510
08/01/2015 11:00:00;2500
08/01/2015 12:00:00;2510
08/01/2015 13:00:00;3270
08/01/2015 14:00:00;3780
08/01/2015 15:00:00;3280
08/01/2015 16:00:00;3640
08/01/2015 17:00:00;2700
08/01/2015 18:00:00;2860
08/01/2015 19:00:00;2480
08/01/2015 20:00:00;2480
08/01/2015 21:00:00;2470
08/01/2015 22:00:00;2530
08/01/2015 23:00:00;2480
09/01/2015 0:00:00;2530
09/01/2015 1:00:00;2490
09/01/2015 2:00:00;2510
09/01/2015 3:00:00;2510
09/01/2015 4:00:00;2440
09/01/2015 5:00:00;2480
09/01/2015 6:00:00;2460
09/01/2015 7:00:00;2510
09/01/2015 8:00:00;2530
09/01/2015 9:00:00;2500
09/01/2015 10:00:00;2010
09/01/2015 11:00:00;2390
09/01/2015 12:00:00;2360
09/01/2015 13:00:00;3180
09/01/2015 14:00:00;3580
09/01/2015 15:00:00;3500
09/01/2015 16:00:00;3760
09/01/2015 17:00:00;3580
09/01/2015 18:00:00;2930
09/01/2015 19:00:00;2600
09/01/2015 20:00:00;2700
09/01/2015 21:00:00;2600
09/01/2015 22:00:00;2440
09/01/2015 23:00:00;1050
10/01/2015 0:00:00;0
10/01/2015 1:00:00;0
10/01/2015 2:00:00;0
10/01/2015 3:00:00;0
10/01/2015 4:00:00;0
10/01/2015 5:00:00;0
10/01/2015 6:00:00;0
10/01/2015 7:00:00;0
10/01/2015 8:00:00;0
10/01/2015 9:00:00;0
10/01/2015 10:00:00;0
10/01/2015 11:00:00;0
10/01/2015 12:00:00;0
10/01/2015 13:00:00;0
10/01/2015 14:00:00;0
10/01/2015 15:00:00;0
10/01/2015 16:00:00;0
10/01/2015 17:00:00;0
10/01/2015 18:00:00;0
10/01/2015 19:00:00;0
10/01/2015 20:00:00;0
10/01/2015 21:00:00;0
10/01/2015 22:00:00;0
10/01/2015 23:00:00;0
