Marca temporal;001 - Zona Franca Termico.ENERGIA ACTIVA GENERAL NH3 (kWh)
01/01/2015 0:00:00;37
01/01/2015 1:00:00;37
01/01/2015 2:00:00;38
01/01/2015 3:00:00;39
01/01/2015 4:00:00;36
01/01/2015 5:00:00;37
01/01/2015 6:00:00;37
01/01/2015 7:00:00;36
01/01/2015 8:00:00;36
01/01/2015 9:00:00;38
01/01/2015 10:00:00;35
01/01/2015 11:00:00;35
01/01/2015 12:00:00;38
01/01/2015 13:00:00;37
01/01/2015 14:00:00;36
01/01/2015 15:00:00;38
01/01/2015 16:00:00;37
01/01/2015 17:00:00;36
01/01/2015 18:00:00;36
01/01/2015 19:00:00;37
01/01/2015 20:00:00;38
01/01/2015 21:00:00;43
01/01/2015 22:00:00;38
01/01/2015 23:00:00;37
02/01/2015 0:00:00;37
02/01/2015 1:00:00;37
02/01/2015 2:00:00;37
02/01/2015 3:00:00;39
02/01/2015 4:00:00;36
02/01/2015 5:00:00;38
02/01/2015 6:00:00;37
02/01/2015 7:00:00;37
02/01/2015 8:00:00;38
02/01/2015 9:00:00;45
02/01/2015 10:00:00;54
02/01/2015 11:00:00;45
02/01/2015 12:00:00;52
02/01/2015 13:00:00;47
02/01/2015 14:00:00;50
02/01/2015 15:00:00;46
02/01/2015 16:00:00;44
02/01/2015 17:00:00;41
02/01/2015 18:00:00;41
02/01/2015 19:00:00;40
02/01/2015 20:00:00;41
02/01/2015 21:00:00;41
02/01/2015 22:00:00;39
02/01/2015 23:00:00;38
03/01/2015 0:00:00;38
03/01/2015 1:00:00;37
03/01/2015 2:00:00;38
03/01/2015 3:00:00;37
03/01/2015 4:00:00;36
03/01/2015 5:00:00;38
03/01/2015 6:00:00;37
03/01/2015 7:00:00;38
03/01/2015 8:00:00;38
03/01/2015 9:00:00;37
03/01/2015 10:00:00;35
03/01/2015 11:00:00;39
03/01/2015 12:00:00;37
03/01/2015 13:00:00;38
03/01/2015 14:00:00;39
03/01/2015 15:00:00;35
03/01/2015 16:00:00;36
03/01/2015 17:00:00;39
03/01/2015 18:00:00;39
03/01/2015 19:00:00;42
03/01/2015 20:00:00;39
03/01/2015 21:00:00;37
03/01/2015 22:00:00;38
03/01/2015 23:00:00;37
04/01/2015 0:00:00;38
04/01/2015 1:00:00;37
04/01/2015 2:00:00;38
04/01/2015 3:00:00;38
04/01/2015 4:00:00;36
04/01/2015 5:00:00;36
04/01/2015 6:00:00;38
04/01/2015 7:00:00;38
04/01/2015 8:00:00;37
04/01/2015 9:00:00;36
04/01/2015 10:00:00;35
04/01/2015 11:00:00;35
04/01/2015 12:00:00;40
04/01/2015 13:00:00;38
04/01/2015 14:00:00;38
04/01/2015 15:00:00;36
04/01/2015 16:00:00;37
04/01/2015 17:00:00;39
04/01/2015 18:00:00;40
04/01/2015 19:00:00;39
04/01/2015 20:00:00;39
04/01/2015 21:00:00;39
04/01/2015 22:00:00;38
04/01/2015 23:00:00;36
05/01/2015 0:00:00;37
05/01/2015 1:00:00;40
05/01/2015 2:00:00;38
05/01/2015 3:00:00;38
05/01/2015 4:00:00;37
05/01/2015 5:00:00;36
05/01/2015 6:00:00;37
05/01/2015 7:00:00;39
05/01/2015 8:00:00;39
05/01/2015 9:00:00;49
05/01/2015 10:00:00;45
05/01/2015 11:00:00;52
05/01/2015 12:00:00;48
05/01/2015 13:00:00;56
05/01/2015 14:00:00;52
05/01/2015 15:00:00;55
05/01/2015 16:00:00;60
05/01/2015 17:00:00;52
05/01/2015 18:00:00;55
05/01/2015 19:00:00;59
05/01/2015 20:00:00;50
05/01/2015 21:00:00;51
05/01/2015 22:00:00;46
05/01/2015 23:00:00;48
06/01/2015 0:00:00;38
06/01/2015 1:00:00;42
06/01/2015 2:00:00;37
06/01/2015 3:00:00;40
06/01/2015 4:00:00;35
06/01/2015 5:00:00;36
06/01/2015 6:00:00;36
06/01/2015 7:00:00;36
06/01/2015 8:00:00;41
06/01/2015 9:00:00;37
06/01/2015 10:00:00;36
06/01/2015 11:00:00;35
06/01/2015 12:00:00;34
06/01/2015 13:00:00;37
06/01/2015 14:00:00;40
06/01/2015 15:00:00;37
06/01/2015 16:00:00;36
06/01/2015 17:00:00;39
06/01/2015 18:00:00;37
06/01/2015 19:00:00;39
06/01/2015 20:00:00;41
06/01/2015 21:00:00;38
06/01/2015 22:00:00;39
06/01/2015 23:00:00;36
07/01/2015 0:00:00;37
07/01/2015 1:00:00;37
07/01/2015 2:00:00;38
07/01/2015 3:00:00;38
07/01/2015 4:00:00;37
07/01/2015 5:00:00;36
07/01/2015 6:00:00;38
07/01/2015 7:00:00;36
07/01/2015 8:00:00;39
07/01/2015 9:00:00;54
07/01/2015 10:00:00;50
07/01/2015 11:00:00;48
07/01/2015 12:00:00;55
07/01/2015 13:00:00;43
07/01/2015 14:00:00;39
07/01/2015 15:00:00;43
07/01/2015 16:00:00;43
07/01/2015 17:00:00;41
07/01/2015 18:00:00;42
07/01/2015 19:00:00;41
07/01/2015 20:00:00;42
07/01/2015 21:00:00;43
07/01/2015 22:00:00;40
07/01/2015 23:00:00;38
08/01/2015 0:00:00;37
