Day of week;Date;Month;Year ;Hour;ch1_cooling;ch2_cooling;ch3_cooling
5;1;1;2016;0;348,1;0;0
5;1;1;2016;1;8,4;0;0
5;1;1;2016;2;0;0;0
5;1;1;2016;3;0;0;0
5;1;1;2016;4;0;0;0
5;1;1;2016;5;0;0;0
5;1;1;2016;6;0;0;0
5;1;1;2016;7;0;0;0
5;1;1;2016;8;491;0;0
5;1;1;2016;9;7,6;0;0
5;1;1;2016;10;586,1;0;0
5;1;1;2016;11;781;0;0
5;1;1;2016;12;1068,5;0;0
5;1;1;2016;13;1101;0;0
5;1;1;2016;14;1099;0;0
5;1;1;2016;15;1088,8;0;0
5;1;1;2016;16;1098,8;0;0
5;1;1;2016;17;1091,5;0;0
5;1;1;2016;18;1098,3;0;0
5;1;1;2016;19;1098,6;0;0
5;1;1;2016;20;1093,9;0;0
5;1;1;2016;21;960,3;0;0
5;1;1;2016;22;879,7;0;0
5;1;1;2016;23;471,1;0;0
6;2;1;2016;0;0;0;0
6;2;1;2016;1;165;0;0
6;2;1;2016;2;36,2;0;0
6;2;1;2016;3;0;0;0
6;2;1;2016;4;0;0;0
6;2;1;2016;5;0;0;0
6;2;1;2016;6;0;0;0
6;2;1;2016;7;0;0;0
6;2;1;2016;8;186,3;0;0
6;2;1;2016;9;816,6;0;0
6;2;1;2016;10;608,4;0;0
6;2;1;2016;11;743,7;0;0
6;2;1;2016;12;1099,1;0;0
6;2;1;2016;13;1058;0;0
6;2;1;2016;14;0;0;1166
6;2;1;2016;15;0;0;976,3
6;2;1;2016;16;0;0;974,1
6;2;1;2016;17;0;0;1028,7
6;2;1;2016;18;0;0;990,5
6;2;1;2016;19;0;0;963,8
6;2;1;2016;20;20,8;0;991,6
6;2;1;2016;21;168,7;0;923,7
6;2;1;2016;22;0;0;1158,5
6;2;1;2016;23;0;0;437,8
7;3;1;2016;0;0;0;0
7;3;1;2016;1;0;0;117,8
7;3;1;2016;2;0;0;0
7;3;1;2016;3;0;0;0
7;3;1;2016;4;0;0;0
7;3;1;2016;5;0;0;0
7;3;1;2016;6;0;0;0
7;3;1;2016;7;0;0;0
7;3;1;2016;8;0;0;130,1
7;3;1;2016;9;0;0;951,3
7;3;1;2016;10;0;0;244,8
7;3;1;2016;11;0;0;605,5
7;3;1;2016;12;0;0;1194,8
7;3;1;2016;13;0;0;1216,9
7;3;1;2016;14;0;0;1082,8
7;3;1;2016;15;0;0;1127,8
7;3;1;2016;16;0;0;1088,1
7;3;1;2016;17;0;0;1062,6
7;3;1;2016;18;0;0;1077,5
7;3;1;2016;19;0;0;1065,1
7;3;1;2016;20;0;0;987,6
7;3;1;2016;21;0;0;995,6
7;3;1;2016;22;0;0;877,9
7;3;1;2016;23;0;0;318,5
1;4;1;2016;0;0;0;117,9
1;4;1;2016;1;0;0;38,4
1;4;1;2016;2;0;0;33,9
1;4;1;2016;3;0;0;0
1;4;1;2016;4;0;0;0
1;4;1;2016;5;0;0;0
1;4;1;2016;6;0;0;0
1;4;1;2016;7;0;0;0
1;4;1;2016;8;0;0;120,6
1;4;1;2016;9;0;0;253,1
1;4;1;2016;10;0;0;467,6
1;4;1;2016;11;0;0;1285,8
1;4;1;2016;12;411,2;0;701,4
1;4;1;2016;13;1091,4;0;0
1;4;1;2016;14;1157,7;0;0
1;4;1;2016;15;1145,8;0;0
1;4;1;2016;16;1117,4;0;0
1;4;1;2016;17;1098,9;0;0
1;4;1;2016;18;1098,4;0;0
1;4;1;2016;19;1098,4;0;0
1;4;1;2016;20;531,4;0;506,7
1;4;1;2016;21;0;0;1316,8
1;4;1;2016;22;0;0;1023,8
1;4;1;2016;23;0;0;506
2;5;1;2016;0;0;0;204,6
2;5;1;2016;1;0;0;183,7
2;5;1;2016;2;0;0;149,3
2;5;1;2016;3;0;0;0
2;5;1;2016;4;0;0;0
2;5;1;2016;5;0;0;0
2;5;1;2016;6;0;0;0
