Day of week;Date;Month;Year ;Hour;Gv2_load;Gv2_delt;Gv2_flow;Hsb_load;Hsb_delt;Hsb_flow;Pfa_load;Pfa_delt;Pfa_flow;Ser_load;Ser_delt;Ser_flow;Fir_load;Fir_delt;Fir_flow
5;1;1;2016;0;37,78675079;1,351960343;24;50;10,73360621;4;50;1,874865713;22,9;23;4,247276434;4,65;0;0;0
5;1;1;2016;1;12,5955836;1,351960343;8;50;10,73360621;4;0;0;0;13,9;2,56683228;4,65;0;0;0
5;1;1;2016;2;12,5955836;1,351960343;8;30;8,586884964;3;0;0;0;14;2,585298699;4,65;0;0;0
5;1;1;2016;3;12,5955836;1,351960343;8;40;8,586884964;4;0;0;0;13,9;2,56683228;4,65;0;0;0
5;1;1;2016;4;12,5955836;1,351960343;8;30;8,586884964;3;0;0;0;14;2,585298699;4,65;0;0;0
5;1;1;2016;5;12,5955836;1,351960343;8;37,5;10,73360621;3;0;0;0;13,9;2,56683228;4,65;0;0;0
5;1;1;2016;6;12,5955836;1,351960343;8;25;10,73360621;2;0;0;0;13,9;2,56683228;4,65;0;0;0
5;1;1;2016;7;12,5955836;1,351960343;8;37,5;10,73360621;3;0;0;0;14;2,585298699;4,65;0;0;0
5;1;1;2016;8;204,6782334;1,351960342;130;20;5,724589976;3;0;0;0;13,9;2,56683228;4,65;0;0;0
5;1;1;2016;9;12,5955836;1,351960343;8;20;5,724589976;3;0;0;0;13,9;2,56683228;4,65;0;0;0
5;1;1;2016;10;53,53123028;1,351960342;34;33,33333333;5,724589976;5;0;0;0;14;2,585298699;4,65;0;0;0
5;1;1;2016;11;102,3391167;1,351960342;65;26,66666667;5,724589976;4;0;0;0;13,9;2,56683228;4,65;0;0;0
5;1;1;2016;12;18,1745098;1,200480192;13;36,36363636;7,806259059;4;0;0;0;14;2,585298699;4,65;0;0;0
5;1;1;2016;13;26,5627451;1,200480192;19;27,27272727;7,806259059;3;0;0;0;13,9;2,56683228;4,65;0;0;0
5;1;1;2016;14;58,71764706;1,200480192;42;36,36363636;7,806259059;4;0;0;0;13,9;2,56683228;4,65;0;0;0
5;1;1;2016;15;23,76666667;1,200480192;17;23,07692308;6,605296126;3;0;0;0;14;2,585298699;4,65;0;0;0
