Day of week,Date,Month,Year ,Hour,ar1_energy,ar1_flow,ar2_energy,ar2_flow,ar3_energy,ar3_flow,af1_energy,af1_flow,af2_energy,af2_flow,af3_energy,af3_flow,af31_energy,af32_energy,af33_energy,dist_nwk_flow
5,1,1,2016,0,0,0,83,1174,0,0,0,-0.1,9,449.5,0,0,0,19,0,55.55
5,1,1,2016,1,0,0,82,1186,0,0,0,-0.1,10,443.6,0,0,0,17,0,16.65
5,1,1,2016,2,0,0,18,0,0,0,0,-0.1,2,0,0,0,4,4,0,15.65
5,1,1,2016,3,0,0,0,0,0,0,0,-0.1,0,0,0,0,5,0,0,16.65
5,1,1,2016,4,0,0,0,0,0,0,0,-0.1,0,0,0,0,5,0,0,15.65
5,1,1,2016,5,0,0,0,0,0,0,0,-0.1,0,0,0,0,5,0,0,15.65
5,1,1,2016,6,0,0,0,0,0,0,0,-0.1,0,0,0,0,5,0,0,14.65
5,1,1,2016,7,0,0,0,0,0,0,0,-0.1,0,0,0,0,5,0,0,15.65
5,1,1,2016,8,0,0,51,1180.6,0,0,0,-0.1,8,447.8,0,0,12,9,0,137.65
5,1,1,2016,9,0,0,82,1180,0,0,0,-0.1,10,450,0,0,0,17,0,15.65
5,1,1,2016,10,0,0,81,1179,0,0,0,-0.1,10,445.6,0,0,0,18,0,43.65
5,1,1,2016,11,0,0,82,1181,0,0,0,-0.1,10,445.5,0,0,0,20,0,73.65
5,1,1,2016,12,0,0,82,1187.3,0,0,0,-0.1,10,445.1,0,0,0,17,0,21.65
5,1,1,2016,13,0,0,82,1184.3,0,0,0,-0.1,9,446.5,0,0,0,18,0,26.65
5,1,1,2016,14,0,0,82,1179.3,0,0,0,-0.1,10,451.3,0,0,0,18,0,50.65
5,1,1,2016,15,0,0,81,1177,0,0,0,-0.1,10,444.3,0,0,0,18,0,24.65
5,1,1,2016,16,0,0,82,1182,0,0,0,-0.1,10,449.3,0,0,0,17,0,21.65
5,1,1,2016,17,0,0,82,1176.6,0,0,0,-0.1,10,451.1,0,0,0,20,0,74.65
5,1,1,2016,18,0,0,83,1184,0,0,0,-0.1,9,440.6,0,0,0,18,0,23.65
5,1,1,2016,19,0,0,82,1183.3,0,0,0,-0.1,10,464,0,0,0,18,0,37.65
5,1,1,2016,20,0,0,82,1177.3,0,0,0,-0.1,10,441.6,0,0,0,19,0,64.65
5,1,1,2016,21,0,0,83,1182.6,0,0,0,-0.1,10,441.6,0,0,0,17,0,23.65
5,1,1,2016,22,0,0,82,1175.3,0,0,0,-0.1,9,458.6,0,0,0,19,0,46.65
5,1,1,2016,23,0,0,82,1180,0,0,0,-0.1,10,440.8,0,0,0,18,0,39.65
6,2,1,2016,0,0,0,82,1181.6,0,0,0,-0.1,10,447,0,0,0,16,3,61.45
6,2,1,2016,1,0,0,82,1174,0,0,0,-0.1,10,449.5,0,0,0,0,18,52.55
6,2,1,2016,2,0,0,82,0,0,0,0,-0.1,10,0,0,0,0,0,18,39.45
6,2,1,2016,3,0,0,11,0,0,0,0,-0.1,1,0,0,0,5,0,2,41.65
6,2,1,2016,4,0,0,0,0,0,0,0,-0.1,0,0,0,0,5,0,0,37.25
6,2,1,2016,5,0,0,0,0,0,0,0,-0.1,0,0,0,0,6,0,0,32.35
6,2,1,2016,6,0,0,0,0,0,0,0,-0.1,0,0,0,0,5,0,0,32.05
6,2,1,2016,7,0,0,0,0,0,0,0,-0.1,0,0,0,0,6,0,0,41.75
6,2,1,2016,8,0,0,42,1181,0,0,0,-0.1,8,451,0,0,6,14,0,233.85
6,2,1,2016,9,0,0,82,1182.3,0,0,0,-0.1,10,450.5,0,0,0,20,0,95.15
6,2,1,2016,10,0,0,82,1182.6,0,0,0,-0.1,10,453,0,0,0,21,0,116.45
6,2,1,2016,11,0,0,83,1182.6,0,0,0,-0.1,9,452,0,0,0,19,0,87.35
6,2,1,2016,12,0,0,83,1177.6,0,0,0,-0.1,10,454,0,0,0,21,0,125.35
6,2,1,2016,13,0,0,82,1176.6,0,0,0,-0.1,10,458.6,0,0,0,22,0,141.95
6,2,1,2016,14,0,0,83,1178.3,0,0,0,-0.1,10,463,0,0,0,23,0,162.25
6,2,1,2016,15,0,0,83,1178.6,0,0,0,-0.1,10,453.8,0,0,0,22,0,159.05
6,2,1,2016,16,0,0,83,1181,0,0,0,-0.1,9,457.8,0,0,0,21,0,119.65
6,2,1,2016,17,0,0,83,1170.3,0,0,0,-0.1,10,454.6,0,0,0,22,0,142.65
6,2,1,2016,18,0,0,83,1176.3,0,0,0,-0.1,10,456.1,0,0,0,23,0,164.65
6,2,1,2016,19,0,0,83,1188,0,0,0,-0.1,10,462.8,0,0,0,24,0,191.65
6,2,1,2016,20,0,0,83,1181.3,0,0,0,-0.1,10,462.3,0,0,0,24,0,184.65
